# file...... Meter_645_C_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_C:measured_power.real,xfmr_meter_645_C_1:measured_power.real,xfmr_meter_645_C_2:measured_power.real,xfmr_meter_645_C_3:measured_power.real,xfmr_meter_645_C_4:measured_power.real,xfmr_meter_645_C_5:measured_power.real,house_meter_645_C_1:measured_power.real,house_meter_645_C_2:measured_power.real,house_meter_645_C_3:measured_power.real,house_meter_645_C_4:measured_power.real,house_meter_645_C_5:measured_power.real,house_meter_645_C_6:measured_power.real,house_meter_645_C_7:measured_power.real,house_meter_645_C_8:measured_power.real,house_meter_645_C_9:measured_power.real,house_meter_645_C_10:measured_power.real,house_meter_645_C_11:measured_power.real,house_meter_645_C_12:measured_power.real,house_meter_645_C_13:measured_power.real,house_meter_645_C_14:measured_power.real,house_meter_645_C_15:measured_power.real,house_meter_645_C_16:measured_power.real,house_meter_645_C_17:measured_power.real,house_meter_645_C_18:measured_power.real,house_meter_645_C_19:measured_power.real
2021-01-06 00:00:00 UTC,6.4755e+04,1.1142e+04,2.4528e+04,1.2625e+04,7.0876e+03,9.3732e+03,2.8002e+02,2.4001e+02,2.0001e+02,3.6003e+02,2.8014e+03,2.4813e+03,2.7616e+03,2.0008e+03,2.5614e+03,3.6027e+03,3.8430e+03,2.6815e+03,2.3211e+03,4.2036e+03,2.9218e+03,2.3211e+03,1.2403e+03,6.8010e+02,1.8807e+03
2021-01-06 00:15:00 UTC,6.8588e+04,1.0500e+04,2.7028e+04,1.5802e+04,8.0500e+03,7.2075e+03,2.4001e+02,2.0001e+02,2.8002e+02,3.6003e+02,1.9208e+03,2.5213e+03,2.1209e+03,2.8417e+03,2.4012e+03,4.1235e+03,3.5226e+03,5.4862e+03,2.6815e+03,3.7229e+03,2.8016e+03,2.2010e+03,3.5626e+03,7.2011e+02,1.4004e+03
2021-01-06 00:30:00 UTC,6.6923e+04,9.9774e+03,2.3923e+04,1.5198e+04,7.8093e+03,1.0015e+04,1.6001e+02,2.4001e+02,2.4001e+02,5.2006e+02,1.7206e+03,2.5213e+03,2.4412e+03,2.1209e+03,1.8007e+03,4.0434e+03,3.4424e+03,3.3223e+03,2.4813e+03,3.4024e+03,2.9218e+03,2.4412e+03,4.6444e+03,7.6012e+02,1.7606e+03
2021-01-06 00:45:00 UTC,6.0379e+04,9.2953e+03,2.3600e+04,9.8833e+03,8.5473e+03,9.0523e+03,1.2000e+02,2.4001e+02,1.6001e+02,5.2006e+02,1.7206e+03,1.8807e+03,1.8807e+03,2.7616e+03,2.2811e+03,4.0834e+03,3.3623e+03,2.7215e+03,2.5613e+03,3.1621e+03,2.8817e+03,2.4813e+03,1.0002e+03,4.9605e+02,6.5609e+02
2021-01-06 01:00:00 UTC,7.0259e+04,9.6168e+03,2.3560e+04,1.1343e+04,1.6405e+04,9.3329e+03,1.6001e+02,1.6001e+02,1.6001e+02,2.4001e+02,1.7206e+03,2.3611e+03,2.6014e+03,2.2010e+03,2.4412e+03,4.1235e+03,3.3223e+03,2.5213e+03,2.7215e+03,3.0419e+03,3.1220e+03,2.2010e+03,1.3204e+03,6.0007e+02,6.4008e+02
2021-01-06 01:15:00 UTC,6.0297e+04,9.6974e+03,2.3963e+04,8.3301e+03,8.6924e+03,9.6138e+03,2.0001e+02,1.6001e+02,1.6001e+02,2.4001e+02,1.6005e+03,2.6014e+03,1.7606e+03,2.9618e+03,2.6014e+03,4.0033e+03,2.8417e+03,2.5613e+03,2.6414e+03,3.5626e+03,3.4825e+03,2.2010e+03,1.2003e+03,5.6006e+02,6.4008e+02
2021-01-06 01:30:00 UTC,6.2990e+04,1.1865e+04,2.4285e+04,1.0579e+04,7.4483e+03,8.8114e+03,2.4001e+02,2.4001e+02,1.2000e+02,3.6003e+02,2.3211e+03,2.4813e+03,2.7616e+03,3.3223e+03,2.4412e+03,4.0834e+03,3.3623e+03,2.2811e+03,2.6815e+03,3.4825e+03,3.4024e+03,2.4813e+03,1.1603e+03,6.0007e+02,6.4008e+02
2021-01-06 01:45:00 UTC,6.9255e+04,9.8975e+03,2.3037e+04,1.3197e+04,1.2064e+04,1.1059e+04,2.4001e+02,2.0001e+02,2.0001e+02,2.8002e+02,1.7206e+03,2.5213e+03,2.5213e+03,2.2010e+03,1.8807e+03,4.0033e+03,3.3223e+03,2.2010e+03,2.7616e+03,3.1621e+03,3.2422e+03,2.4012e+03,8.4815e+02,2.0008e+03,3.6668e+03
2021-01-06 02:00:00 UTC,7.0626e+04,9.8579e+03,2.3158e+04,1.8255e+04,1.2387e+04,6.9674e+03,1.2000e+02,2.4001e+02,2.4001e+02,2.0001e+02,1.6806e+03,2.2811e+03,1.9208e+03,3.1621e+03,2.2010e+03,3.9232e+03,3.3623e+03,2.4412e+03,2.8817e+03,3.0419e+03,3.1220e+03,2.1209e+03,1.0002e+03,4.6444e+03,2.5213e+03
2021-01-06 02:15:00 UTC,6.3030e+04,9.6972e+03,2.3641e+04,1.3792e+04,6.7268e+03,9.1730e+03,1.6001e+02,2.0001e+02,2.0001e+02,1.6001e+02,1.6406e+03,2.0409e+03,2.6014e+03,2.6815e+03,2.7215e+03,3.8831e+03,3.2422e+03,2.5613e+03,2.6414e+03,3.2422e+03,3.1621e+03,2.1209e+03,1.1203e+03,1.2803e+03,7.2011e+02
2021-01-06 02:30:00 UTC,5.9175e+04,9.9783e+03,2.4124e+04,9.2127e+03,7.9300e+03,7.9296e+03,1.6001e+02,2.0001e+02,1.2000e+02,2.0001e+02,2.0409e+03,2.5213e+03,1.8007e+03,2.9217e+03,2.5213e+03,3.9632e+03,2.9218e+03,2.6014e+03,2.7215e+03,3.5225e+03,3.2021e+03,2.6014e+03,1.3604e+03,6.4008e+02,7.2011e+02
2021-01-06 02:45:00 UTC,5.6838e+04,9.8978e+03,2.4889e+04,7.7532e+03,4.9636e+03,9.3333e+03,1.6001e+02,1.6001e+02,1.6001e+02,2.0001e+02,2.0008e+03,2.5213e+03,2.6414e+03,2.0409e+03,2.4412e+03,3.9632e+03,3.4024e+03,2.8016e+03,2.7215e+03,3.5626e+03,3.4825e+03,2.4412e+03,1.7366e+03,5.3606e+02,4.8005e+02
2021-01-06 03:00:00 UTC,6.0661e+04,1.0139e+04,2.4728e+04,9.0924e+03,9.1325e+03,7.5689e+03,2.4001e+02,1.6001e+02,1.6001e+02,2.4001e+02,1.6005e+03,2.6815e+03,1.9208e+03,3.1220e+03,2.6414e+03,4.0834e+03,3.2822e+03,2.5613e+03,2.8417e+03,3.2021e+03,3.5225e+03,2.5213e+03,1.8807e+03,5.6006e+02,6.4008e+02
2021-01-06 03:15:00 UTC,7.3079e+04,9.8974e+03,2.3520e+04,1.9024e+04,9.6586e+03,1.0978e+04,2.4001e+02,2.0001e+02,2.4001e+02,2.8002e+02,1.6806e+03,2.4012e+03,2.3211e+03,2.5213e+03,2.2410e+03,4.2036e+03,3.2021e+03,2.6414e+03,2.8016e+03,3.0820e+03,3.2822e+03,2.0008e+03,5.2857e+03,6.4008e+02,5.6006e+02
2021-01-06 03:30:00 UTC,6.9334e+04,1.1022e+04,2.3923e+04,1.3671e+04,1.3950e+04,6.7673e+03,1.6001e+02,2.4001e+02,2.0001e+02,1.6001e+02,2.3611e+03,2.2410e+03,2.5613e+03,3.0819e+03,2.2010e+03,4.1235e+03,3.2822e+03,2.6815e+03,2.7616e+03,3.3623e+03,3.2422e+03,2.2010e+03,2.5613e+03,6.0007e+02,5.6006e+02
2021-01-06 03:45:00 UTC,5.9884e+04,8.9346e+03,2.4486e+04,6.2296e+03,8.2926e+03,1.1941e+04,1.2000e+02,1.6001e+02,1.6001e+02,2.0001e+02,1.6406e+03,2.2010e+03,1.8807e+03,2.5613e+03,2.4412e+03,4.0434e+03,3.1220e+03,2.7616e+03,2.7215e+03,3.5626e+03,3.1220e+03,2.6414e+03,8.4014e+02,5.5206e+02,5.2006e+02
2021-01-06 04:00:00 UTC,5.9419e+04,1.0219e+04,2.4930e+04,7.7687e+03,9.2931e+03,7.2084e+03,1.6001e+02,2.0001e+02,1.6001e+02,1.6001e+02,2.0008e+03,2.3611e+03,2.4412e+03,2.7215e+03,2.5613e+03,4.2036e+03,2.6014e+03,2.8016e+03,3.1621e+03,3.4424e+03,3.5226e+03,2.5613e+03,1.1203e+03,7.2011e+02,7.2011e+02
2021-01-06 04:15:00 UTC,6.4235e+04,1.0620e+04,2.4406e+04,7.2476e+03,1.0541e+04,1.1420e+04,2.0001e+02,4.0003e+02,1.6001e+02,2.0001e+02,2.2410e+03,2.5213e+03,2.4412e+03,2.4412e+03,2.4813e+03,4.2036e+03,2.7215e+03,2.8417e+03,2.8417e+03,3.2422e+03,3.5626e+03,2.4412e+03,1.0802e+03,6.0007e+02,6.4008e+02
2021-01-06 04:30:00 UTC,6.6599e+04,1.0138e+04,2.4406e+04,1.1179e+04,1.1903e+04,8.9718e+03,2.4001e+02,4.4004e+02,1.6001e+02,2.4001e+02,1.7606e+03,2.4813e+03,1.9208e+03,2.8817e+03,2.5213e+03,4.2437e+03,3.0019e+03,3.0820e+03,2.8016e+03,3.0820e+03,3.4825e+03,2.1209e+03,1.2403e+03,2.1610e+03,6.0007e+02
2021-01-06 04:45:00 UTC,7.7795e+04,1.0379e+04,2.5292e+04,1.8470e+04,1.2755e+04,1.0898e+04,2.4001e+02,2.4001e+02,2.4001e+02,2.4001e+02,1.6806e+03,2.5613e+03,2.2010e+03,2.9618e+03,2.5614e+03,4.1636e+03,3.1220e+03,3.1220e+03,2.9218e+03,3.4024e+03,3.4424e+03,2.4813e+03,1.0562e+03,4.1155e+03,2.6014e+03
2021-01-06 05:00:00 UTC,8.2009e+04,1.0741e+04,2.8962e+04,1.9341e+04,1.3952e+04,9.0120e+03,1.6001e+02,4.8005e+02,2.0001e+02,1.6001e+02,2.2410e+03,2.3211e+03,2.4813e+03,2.6815e+03,2.7215e+03,4.1636e+03,3.2422e+03,3.5626e+03,2.8016e+03,3.7229e+03,3.2021e+03,5.4461e+03,1.1603e+03,2.7215e+03,4.4841e+03
2021-01-06 05:15:00 UTC,6.4929e+04,1.0420e+04,2.7590e+04,1.0217e+04,6.2860e+03,1.0416e+04,1.2000e+02,4.8005e+02,1.6001e+02,1.6001e+02,1.8007e+03,2.1209e+03,2.6414e+03,2.9218e+03,2.6414e+03,4.2838e+03,3.4825e+03,3.0820e+03,2.8417e+03,3.1621e+03,3.6828e+03,4.3239e+03,1.1203e+03,6.4008e+02,1.2403e+03
2021-01-06 05:30:00 UTC,7.0225e+04,1.0138e+04,2.6663e+04,1.0702e+04,1.1502e+04,1.1219e+04,1.6001e+02,4.8005e+02,1.2000e+02,1.6001e+02,1.9208e+03,2.6014e+03,2.0809e+03,2.6014e+03,2.2811e+03,4.2838e+03,3.2822e+03,3.2422e+03,2.8417e+03,3.1220e+03,3.8030e+03,3.7229e+03,1.0802e+03,7.2011e+02,5.2006e+02
2021-01-06 05:45:00 UTC,6.1473e+04,1.2026e+04,2.5897e+04,6.6626e+03,8.1155e+03,8.7719e+03,2.0001e+02,4.8005e+02,1.6001e+02,2.8002e+02,2.3611e+03,2.7616e+03,2.6414e+03,3.1220e+03,2.3612e+03,3.9632e+03,2.9618e+03,3.2422e+03,2.8016e+03,3.3223e+03,3.4825e+03,3.6828e+03,8.4014e+02,5.4406e+02,4.5604e+02
2021-01-06 06:00:00 UTC,7.0746e+04,1.2670e+04,2.6139e+04,1.2789e+04,7.9695e+03,1.1178e+04,2.0001e+02,5.2006e+02,2.0001e+02,2.4001e+02,1.6005e+03,4.4441e+03,2.7215e+03,2.7215e+03,2.3211e+03,3.9632e+03,3.1621e+03,3.1220e+03,2.8417e+03,3.5226e+03,3.2422e+03,3.8831e+03,2.6414e+03,4.8005e+02,6.4008e+02
2021-01-06 06:15:00 UTC,6.8748e+04,1.4399e+04,2.5977e+04,1.2991e+04,8.8132e+03,6.5665e+03,2.0001e+02,5.6006e+02,2.4001e+02,1.6001e+02,1.9608e+03,3.6027e+03,2.7215e+03,4.9250e+03,2.7616e+03,3.8030e+03,3.0019e+03,3.4024e+03,3.1220e+03,3.4825e+03,3.2822e+03,3.0419e+03,5.2056e+03,5.2006e+02,5.6006e+02
2021-01-06 06:30:00 UTC,7.5764e+04,1.2590e+04,2.6099e+04,8.4911e+03,1.4635e+04,1.3949e+04,1.6001e+02,5.2006e+02,1.2000e+02,1.6001e+02,2.2410e+03,2.8417e+03,2.0809e+03,4.4441e+03,2.6815e+03,3.9232e+03,3.3223e+03,3.5226e+03,3.2021e+03,3.2822e+03,3.6828e+03,2.4012e+03,2.2010e+03,4.8005e+02,6.4008e+02
2021-01-06 06:45:00 UTC,6.2614e+04,1.2952e+04,2.8558e+04,6.2859e+03,6.8072e+03,8.0109e+03,1.6001e+02,5.2006e+02,1.6001e+02,2.0001e+02,1.6406e+03,3.4024e+03,2.8417e+03,4.0033e+03,2.6014e+03,4.2437e+03,4.2032e+03,3.4024e+03,3.2822e+03,3.9232e+03,3.9232e+03,2.8817e+03,8.9617e+02,4.8805e+02,5.2006e+02
2021-01-06 07:00:00 UTC,8.9235e+04,1.3232e+04,3.6112e+04,1.0903e+04,1.1984e+04,1.7002e+04,1.6001e+02,5.6006e+02,1.6001e+02,2.0001e+02,2.6414e+03,3.3623e+03,2.8016e+03,3.3223e+03,2.4813e+03,4.7246e+03,8.8482e+03,2.9618e+03,4.9651e+03,5.4462e+03,3.4024e+03,3.1220e+03,1.1203e+03,5.6006e+02,5.6006e+02
2021-01-06 07:15:00 UTC,7.9236e+04,1.3511e+04,3.6479e+04,9.0527e+03,8.4112e+03,1.1781e+04,3.2002e+02,1.1203e+03,2.0001e+02,3.6003e+02,2.4813e+03,2.8817e+03,2.8817e+03,3.2422e+03,2.2811e+03,7.2911e+03,7.9271e+03,3.2422e+03,4.8850e+03,4.7247e+03,3.2422e+03,2.7215e+03,1.1203e+03,8.0013e+02,6.0007e+02
2021-01-06 07:30:00 UTC,9.3208e+04,2.1717e+04,3.3854e+04,1.2146e+04,1.1541e+04,1.3949e+04,4.0427e+03,1.2803e+03,8.4015e+02,4.8005e+02,5.1255e+03,2.4412e+03,4.6044e+03,2.8417e+03,2.4412e+03,6.2883e+03,8.5697e+03,3.0419e+03,3.3624e+03,3.8832e+03,3.2021e+03,2.9218e+03,1.6005e+03,6.8010e+02,6.8010e+02
2021-01-06 07:45:00 UTC,9.3179e+04,2.0957e+04,2.9822e+04,1.0979e+04,1.6468e+04,1.4954e+04,3.0891e+03,1.3204e+03,1.1603e+03,6.8010e+02,4.3239e+03,3.0019e+03,3.8431e+03,3.4825e+03,2.5213e+03,6.1680e+03,5.1321e+03,3.4825e+03,3.5226e+03,3.4024e+03,3.5226e+03,1.9608e+03,1.7526e+03,7.6012e+02,5.7607e+02
2021-01-06 08:00:00 UTC,1.0456e+05,2.2642e+04,2.9529e+04,1.9181e+04,1.6526e+04,1.6682e+04,2.6008e+03,1.3604e+03,1.1203e+03,8.8016e+02,3.9232e+03,3.4425e+03,3.4425e+03,5.8071e+03,2.6815e+03,5.2458e+03,3.5226e+03,5.0453e+03,3.4024e+03,3.2823e+03,3.5627e+03,2.6815e+03,2.5614e+03,4.5243e+03,8.4015e+02
2021-01-06 08:15:00 UTC,9.9531e+04,1.8452e+04,3.1508e+04,1.4551e+04,1.6686e+04,1.8332e+04,3.6017e+03,1.3604e+03,1.2003e+03,3.6003e+02,3.4024e+03,2.8417e+03,2.4813e+03,3.1621e+03,2.9618e+03,5.4061e+03,4.6445e+03,5.5264e+03,4.0835e+03,2.9618e+03,3.4024e+03,2.4012e+03,2.2410e+03,2.6014e+03,1.1603e+03
2021-01-06 08:30:00 UTC,9.3342e+04,2.0627e+04,3.1346e+04,1.4755e+04,1.2222e+04,1.4391e+04,4.8436e+03,1.3604e+03,1.0802e+03,5.6007e+02,3.7629e+03,2.7215e+03,2.6815e+03,3.5626e+03,2.6815e+03,5.5264e+03,3.9633e+03,4.2037e+03,5.3259e+03,3.9232e+03,3.2422e+03,2.3612e+03,2.0008e+03,6.0007e+02,4.5243e+03
2021-01-06 08:45:00 UTC,8.3275e+04,1.7181e+04,2.9366e+04,1.3510e+04,1.1315e+04,1.1902e+04,2.4567e+03,1.2003e+03,1.0002e+03,4.4004e+02,2.8016e+03,2.9618e+03,3.1220e+03,3.1621e+03,3.3223e+03,5.1255e+03,3.6027e+03,3.6027e+03,3.9633e+03,3.4024e+03,3.2422e+03,3.0019e+03,4.0033e+03,4.5604e+02,2.6334e+03
2021-01-06 09:00:00 UTC,9.3275e+04,1.6845e+04,3.3770e+04,1.7167e+04,1.4835e+04,1.0658e+04,1.7204e+03,1.2803e+03,1.1603e+03,1.0002e+03,2.7616e+03,2.2010e+03,2.2010e+03,4.4842e+03,5.7670e+03,4.8449e+03,3.8030e+03,3.9633e+03,5.9675e+03,3.8832e+03,3.1621e+03,2.2410e+03,4.5243e+03,6.4009e+02,1.8807e+03
2021-01-06 09:15:00 UTC,9.4467e+04,1.6120e+04,3.1306e+04,1.6526e+04,1.6163e+04,1.4351e+04,1.3204e+03,1.2803e+03,1.3204e+03,1.1603e+03,2.1209e+03,2.8817e+03,2.6815e+03,3.3223e+03,4.6445e+03,5.0453e+03,3.0820e+03,3.8831e+03,5.7669e+03,3.3223e+03,3.2422e+03,2.2010e+03,1.5605e+03,7.6012e+02,1.6005e+03
2021-01-06 09:30:00 UTC,9.5035e+04,1.7005e+04,3.3405e+04,1.5356e+04,1.2182e+04,1.7085e+04,1.5205e+03,1.2403e+03,1.0802e+03,1.1203e+03,3.2021e+03,2.9218e+03,1.9208e+03,3.9633e+03,4.3640e+03,5.5264e+03,3.7629e+03,4.4040e+03,5.8471e+03,4.0033e+03,3.3624e+03,2.0008e+03,1.9608e+03,5.6006e+02,2.0809e+03
2021-01-06 09:45:00 UTC,8.5587e+04,1.7206e+04,3.0741e+04,1.1315e+04,1.2817e+04,1.3508e+04,1.8007e+03,1.2403e+03,1.0402e+03,1.2003e+03,2.2410e+03,4.1636e+03,2.8417e+03,2.6414e+03,3.6027e+03,5.2858e+03,2.8417e+03,4.0434e+03,5.7268e+03,4.1235e+03,3.3623e+03,1.6406e+03,1.4324e+03,5.0405e+02,1.1203e+03
2021-01-06 10:00:00 UTC,9.7161e+04,1.5596e+04,3.2757e+04,1.9662e+04,1.5717e+04,1.3427e+04,2.2010e+03,1.3604e+03,1.0402e+03,1.3604e+03,1.9608e+03,3.0820e+03,2.1209e+03,2.4412e+03,3.4825e+03,4.4842e+03,3.4825e+03,4.4441e+03,5.7268e+03,4.7647e+03,3.3223e+03,2.9218e+03,1.8007e+03,5.6006e+02,1.6005e+03
2021-01-06 10:15:00 UTC,1.0855e+05,2.1790e+04,3.2151e+04,2.1273e+04,1.5724e+04,1.7609e+04,2.8417e+03,3.4813e+03,1.1603e+03,2.1209e+03,2.4012e+03,4.0434e+03,2.8817e+03,2.8016e+03,2.9618e+03,5.5264e+03,4.3220e+03,4.2438e+03,5.2858e+03,4.2037e+03,3.0820e+03,2.4012e+03,1.8007e+03,6.0007e+02,1.4404e+03
2021-01-06 10:30:00 UTC,1.0316e+05,1.8330e+04,3.5057e+04,1.4994e+04,2.0868e+04,1.3912e+04,1.5205e+03,4.4023e+03,1.2403e+03,1.3604e+03,2.0409e+03,2.5213e+03,2.1610e+03,3.0419e+03,3.8431e+03,5.0052e+03,7.0853e+03,3.7630e+03,5.0854e+03,4.8831e+03,2.9618e+03,2.2811e+03,1.6806e+03,5.6007e+02,1.5205e+03
2021-01-06 10:45:00 UTC,1.0067e+05,1.5692e+04,3.5309e+04,1.3114e+04,2.0066e+04,1.6488e+04,1.1603e+03,2.9769e+03,1.2403e+03,1.1603e+03,1.9208e+03,2.1209e+03,2.3211e+03,2.7616e+03,3.4024e+03,5.1656e+03,4.3700e+03,3.8030e+03,5.4863e+03,7.8465e+03,3.0019e+03,2.0809e+03,1.2563e+03,5.7607e+02,1.2403e+03
