# file...... 1Meter_633_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_A_20:measured_power.real,house_meter_633_A_21:measured_power.real,house_meter_633_A_22:measured_power.real,house_meter_633_A_23:measured_power.real,house_meter_633_A_24:measured_power.real,house_meter_633_A_25:measured_power.real,house_meter_633_A_26:measured_power.real,house_meter_633_A_27:measured_power.real,house_meter_633_A_28:measured_power.real,house_meter_633_A_29:measured_power.real,house_meter_633_A_30:measured_power.real,house_meter_633_A_31:measured_power.real,house_meter_633_A_32:measured_power.real,house_meter_633_A_33:measured_power.real,house_meter_633_A_34:measured_power.real,house_meter_633_A_35:measured_power.real,house_meter_633_A_36:measured_power.real,house_meter_633_A_37:measured_power.real,house_meter_633_A_38:measured_power.real,house_meter_633_A_39:measured_power.real,house_meter_633_A_40:measured_power.real
2021-01-06 00:00:00 UTC,1.0802e+03,3.2002e+02,1.9608e+03,1.0802e+03,5.6006e+02,2.0001e+02,2.4001e+02,2.4001e+02,2.4001e+02,1.7206e+03,3.6003e+02,3.2002e+02,3.2002e+02,1.6001e+02,3.6024e+03,2.0001e+02,1.2000e+02,5.0452e+03,4.9650e+03,5.6064e+03,5.9271e+03
2021-01-06 00:15:00 UTC,3.6003e+02,3.2002e+02,1.8807e+03,1.4404e+03,5.2005e+02,1.6001e+02,3.6003e+02,1.6001e+02,1.6001e+02,1.1203e+03,3.6003e+02,3.6003e+02,3.2002e+02,2.8002e+02,2.5611e+03,2.8002e+02,1.6001e+02,6.8495e+03,4.9249e+03,4.2837e+03,4.7245e+03
2021-01-06 00:30:00 UTC,3.2002e+02,5.6006e+02,1.9207e+03,1.4804e+03,6.0007e+02,2.8002e+02,1.6001e+02,1.6001e+02,2.4001e+02,5.6006e+02,2.0001e+02,2.4001e+02,4.4004e+02,1.6001e+02,2.4001e+02,2.4001e+02,3.2002e+02,6.0875e+03,8.6151e+03,5.0452e+03,4.5642e+03
2021-01-06 00:45:00 UTC,4.4004e+02,8.0013e+02,2.1209e+03,1.3204e+03,8.0013e+02,1.6001e+02,2.4001e+02,2.8002e+02,3.6003e+02,4.8005e+02,3.6003e+02,2.8002e+02,3.6003e+02,1.6001e+02,1.6001e+02,2.4001e+02,1.6001e+02,4.3238e+03,6.0474e+03,6.7693e+03,8.1335e+03
2021-01-06 01:00:00 UTC,1.6405e+03,1.2003e+03,2.1609e+03,1.4004e+03,7.6012e+02,2.0001e+02,3.2002e+02,2.0001e+02,1.6001e+02,3.2002e+02,3.2002e+02,3.6003e+02,3.6003e+02,2.4001e+02,2.0001e+02,2.4001e+02,2.0001e+02,5.2857e+03,5.6866e+03,4.4440e+03,5.2857e+03
2021-01-06 01:15:00 UTC,1.8807e+03,1.7606e+03,3.7228e+03,1.2403e+03,8.0013e+02,2.0001e+02,2.0001e+02,1.2000e+02,2.0001e+02,2.8002e+02,2.8002e+02,6.8009e+02,2.0001e+02,2.4001e+02,2.4001e+02,2.8002e+02,2.0001e+02,6.2078e+03,4.9650e+03,4.8849e+03,4.5242e+03
2021-01-06 01:30:00 UTC,1.8007e+03,6.4008e+02,2.2811e+03,2.7615e+03,2.3211e+03,2.4001e+02,2.0001e+02,3.2002e+02,3.2002e+02,3.6003e+02,2.4001e+02,2.0001e+02,3.2002e+02,1.6001e+02,2.4001e+02,1.6001e+02,2.4001e+02,5.2857e+03,1.0784e+04,8.6954e+03,6.3683e+03
2021-01-06 01:45:00 UTC,2.0809e+03,3.6003e+02,2.1609e+03,1.0802e+03,6.0007e+02,1.6001e+02,3.2002e+02,1.2000e+02,2.0001e+02,3.2002e+02,4.0003e+02,4.4004e+02,4.0003e+02,2.0001e+02,1.6001e+02,3.2002e+02,1.6001e+02,4.6043e+03,1.0181e+04,8.6552e+03,5.7668e+03
2021-01-06 02:00:00 UTC,1.8007e+03,2.8002e+02,1.8407e+03,1.2803e+03,4.4004e+02,1.6001e+02,2.4001e+02,1.6001e+02,2.4001e+02,2.4001e+02,2.8002e+02,4.0003e+02,2.8002e+02,2.4001e+02,3.6003e+02,2.0001e+02,1.6001e+02,4.4841e+03,8.5749e+03,4.3238e+03,4.6844e+03
2021-01-06 02:15:00 UTC,2.6414e+03,4.4004e+02,1.9608e+03,1.3204e+03,6.4008e+02,2.8002e+02,1.6001e+02,3.2002e+02,2.8002e+02,3.2002e+02,2.0001e+02,3.2002e+02,2.4001e+02,1.2000e+02,1.6001e+02,2.0001e+02,2.8002e+02,7.3309e+03,8.4144e+03,4.6043e+03,4.7245e+03
2021-01-06 02:30:00 UTC,2.2410e+03,6.4008e+02,1.8007e+03,1.3204e+03,4.0003e+02,1.6001e+02,3.2002e+02,1.6001e+02,2.4001e+02,3.6003e+02,3.6003e+02,2.8002e+02,3.2002e+02,2.4001e+02,2.8002e+02,3.2002e+02,1.2000e+02,4.4039e+03,6.0073e+03,5.2857e+03,5.8870e+03
2021-01-06 02:45:00 UTC,1.6005e+03,6.4008e+02,1.9207e+03,1.4004e+03,6.4008e+02,2.0001e+02,2.4001e+02,1.6001e+02,2.8002e+02,2.4001e+02,2.8002e+02,2.8002e+02,4.0003e+02,2.0001e+02,3.2002e+02,2.8002e+02,2.0001e+02,5.6465e+03,5.3659e+03,6.2078e+03,6.7693e+03
2021-01-06 03:00:00 UTC,1.4404e+03,7.2010e+02,1.9207e+03,1.2403e+03,5.6006e+02,2.4001e+02,1.6001e+02,2.8002e+02,2.4001e+02,2.8002e+02,2.4001e+02,4.0003e+02,2.4001e+02,1.6001e+02,2.0001e+02,2.0001e+02,2.8002e+02,6.9699e+03,8.2539e+03,4.5242e+03,4.4841e+03
2021-01-06 03:15:00 UTC,8.4014e+02,5.6006e+02,2.1609e+03,1.2803e+03,6.4008e+02,1.2000e+02,3.2002e+02,1.2000e+02,2.8002e+02,3.6003e+02,3.6003e+02,2.0001e+02,2.4001e+02,2.4001e+02,2.4001e+02,2.8002e+02,1.2000e+02,8.0933e+03,4.6444e+03,4.4440e+03,4.8047e+03
2021-01-06 03:30:00 UTC,6.0007e+02,5.2005e+02,2.0809e+03,1.4004e+03,5.2005e+02,2.0001e+02,2.0001e+02,1.6001e+02,2.4001e+02,2.8002e+02,2.8002e+02,2.8002e+02,4.0003e+02,2.0001e+02,3.6003e+02,3.2002e+02,2.0001e+02,5.2055e+03,7.0100e+03,9.1370e+03,5.8469e+03
