# file...... Meter_645_B_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power,xfmr_meter_645_B_1:measured_power,xfmr_meter_645_B_2:measured_power,xfmr_meter_645_B_3:measured_power,xfmr_meter_645_B_4:measured_power,xfmr_meter_645_B_5:measured_power,house_meter_645_B_1:measured_power,house_meter_645_B_2:measured_power,house_meter_645_B_3:measured_power,house_meter_645_B_4:measured_power,house_meter_645_B_5:measured_power,house_meter_645_B_6:measured_power,house_meter_645_B_7:measured_power,house_meter_645_B_8:measured_power,house_meter_645_B_9:measured_power,house_meter_645_B_10:measured_power,house_meter_645_B_11:measured_power,house_meter_645_B_12:measured_power,house_meter_645_B_13:measured_power,house_meter_645_B_14:measured_power,house_meter_645_B_15:measured_power,house_meter_645_B_16:measured_power,house_meter_645_B_17:measured_power,house_meter_645_B_18:measured_power,house_meter_645_B_19:measured_power,house_meter_645_B_20:measured_power,house_meter_645_B_21:measured_power,house_meter_645_B_22:measured_power,house_meter_645_B_23:measured_power
2021-01-06 00:00:00 UTC,+35861.5+76.7009j,+3201.49+1.89321j,+7969.21+11.7279j,+5123.98+4.91958j,+17486+57.1472j,+2080.62+0.795776j,+280.016+0.00128603d,+240.012+0.00110229d,+600.072+0.00275631d,+240.012+0.00110229d,+440.039+0.0020211d,+360.026+0.00165355d,+480.046+0.00220489d,+560.063+0.00257249d,+1160.27+0.00533525d,+760.116+0.00349467d,+1480.44+0.00680836d,+800.128+0.00367869d,+600.072+0.00275868d,+880.155+0.00404675d,+1520.46+0.00699253d,+760.116+0.00349467d,+520.054+0.00238952d,+600.072+0.00275727d,+560.063+0.00257339d,+320.02+0.00147029d,+1280.33+0.00588457d,+640.082+0.00294115d,+960.185+0.00441258d
2021-01-06 00:15:00 UTC,+32532.5+64.7596j,+2360.81+1.03387j,+7488.14+10.3823j,+4843.62+4.43121j,+15959.3+48.0779j,+1880.51+0.651892j,+240.012+0.00110567d,+160.005+0.000737082d,+240.012+0.00110567d,+480.046+0.00221166d,+200.008+0.000921373d,+360.026+0.00165863d,+400.032+0.00184296d,+280.016+0.00128998d,+1000.2+0.00461335d,+680.093+0.00313648d,+1400.39+0.00646025d,+960.185+0.00442871d,+800.129+0.00369024d,+640.082+0.00295191d,+1400.39+0.00646025d,+600.072+0.00276735d,+400.032+0.00184379d,+520.054+0.0023971d,+440.039+0.00202822d,+360.026+0.00165937d,+1240.31+0.00571864d,+720.104+0.00331946d,+960.185+0.00442659d
2021-01-06 00:30:00 UTC,+33340.5+74.1662j,+2440.86+1.1025j,+6045.41+6.80422j,+5324.33+5.33427j,+17849.3+60.1971j,+1680.4+0.519711j,+360.026+0.00165757d,+240.012+0.00110497d,+360.026+0.00165757d,+240.012+0.00110497d,+240.012+0.00110497d,+280.016+0.00128916d,+520.054+0.0023945d,+200.008+0.000920783d,+880.155+0.00405575d,+600.072+0.00276482d,+760.116+0.00350244d,+320.021+0.00147432d,+600.072+0.00276482d,+760.116+0.00350244d,+1440.42+0.00663892d,+680.093+0.00313361d,+480.046+0.0022114d,+640.082+0.00294882d,+360.026+0.00165843d,+560.063+0.0025801d,+1360.37+0.00626897d,+680.093+0.0031332d,+1000.2+0.00460854d
2021-01-06 00:45:00 UTC,+32164.4+54.9767j,+3081.43+1.77573j,+7448.24+10.3339j,+6205.65+7.14405j,+13628.5+34.974j,+1800.46+0.593954j,+560.063+0.0025757d,+520.054+0.00239166d,+280.016+0.00128763d,+240.012+0.00110366d,+200.008+0.000919692d,+320.021+0.00147161d,+720.104+0.00331193d,+240.012+0.00110366d,+840.142+0.00386725d,+960.185+0.00442003d,+1080.23+0.00497289d,+520.054+0.00239355d,+280.016+0.00128865d,+1120.25+0.0051572d,+1680.57+0.00773841d,+960.185+0.00442003d,+880.155+0.00405059d,+760.116+0.00349798d,+680.093+0.00312962d,+600.072+0.0027613d,+1280.33+0.00589319d,+720.104+0.0033138d,+1040.22+0.00478752d
2021-01-06 01:00:00 UTC,+34298.5+70.8988j,+2761.09+1.40354j,+6365.82+7.46373j,+6848.06+9.16939j,+16602.9+52.1199j,+1720.42+0.544168j,+360.026+0.00165445d,+280.016+0.00128673d,+240.012+0.00110288d,+240.012+0.00110288d,+480.046+0.00220609d,+480.046+0.00220609d,+280.016+0.00128673d,+400.032+0.00183832d,+680.093+0.0031277d,+840.141+0.00386401d,+1080.23+0.00496873d,+600.072+0.00275961d,+360.026+0.00165552d,+840.141+0.00386401d,+1000.2+0.00460045d,+960.185+0.00441633d,+600.072+0.00275985d,+600.072+0.00275985d,+600.072+0.00275985d,+480.046+0.00220772d,+2601.36+0.0119738d,+680.093+0.00312798d,+1000.2+0.00460085d
2021-01-06 01:15:00 UTC,+28516.9+44.9851j,+2801.15+1.45057j,+5844.94+6.29779j,+5604.83+5.90632j,+12745.6+30.7808j,+1520.33+0.42366j,+240.012+0.00110038d,+400.032+0.00183414d,+480.046+0.00220107d,+320.02+0.00146724d,+240.012+0.00110038d,+200.008+0.000916958d,+320.02+0.00146724d,+600.072+0.00275153d,+600.072+0.00275304d,+640.082+0.00293665d,+1240.31+0.00569181d,+600.072+0.00275304d,+480.046+0.00220228d,+600.072+0.00275304d,+680.092+0.00312026d,+1000.2+0.00458951d,+560.063+0.00256933d,+720.104+0.00330375d,+400.032+0.00183506d,+640.082+0.00293652d,+1600.51+0.00734554d,+680.092+0.00312013d,+760.115+0.00348737d
2021-01-06 01:30:00 UTC,+29121+50.1732j,+2681.03+1.32378j,+4442.78+3.61722j,+6406.44+7.78275j,+13950.3+36.8139j,+1640.38+0.49478j,+320.021+0.00147207d,+320.021+0.00147207d,+280.016+0.00128803d,+560.063+0.00257649d,+320.021+0.00147207d,+280.016+0.00128803d,+320.021+0.00147207d,+280.016+0.00128803d,+560.063+0.00257731d,+520.054+0.00239316d,+680.093+0.00312982d,+480.046+0.00220902d,+440.039+0.00202488d,+640.082+0.00294564d,+640.082+0.00294564d,+480.046+0.00220902d,+720.104+0.00331518d,+720.104+0.00331518d,+440.039+0.0020256d,+560.063+0.00257823d,+1560.49+0.00718652d,+640.082+0.00294668d,+1560.49+0.00718652d
2021-01-06 01:45:00 UTC,+32623.9+74.7711j,+2280.74+0.955734j,+4603.05+3.90838j,+5725.55+6.38388j,+17973.8+62.5353j,+2040.64+0.782695j,+320.021+0.00147261d,+320.021+0.00147261d,+200.008+0.000920314d,+200.008+0.000920314d,+320.021+0.00147261d,+360.026+0.00165672d,+320.021+0.00147261d,+240.012+0.0011044d,+800.128+0.00368413d,+600.072+0.00276276d,+480.046+0.00221005d,+440.039+0.00202583d,+320.021+0.00147323d,+720.104+0.00331556d,+760.116+0.00349984d,+480.046+0.00221005d,+560.063+0.00257904d,+400.032+0.001842d,+520.054+0.00239477d,+360.026+0.00165776d,+1480.44+0.00681982d,+1800.65+0.00829597d,+200.008+0.000920887d
2021-01-06 02:00:00 UTC,+26757.7+43.3531j,+3241.58+1.96758j,+4803.34+4.26404j,+3722.25+2.65802j,+13069.9+33.6676j,+1920.52+0.678006j,+600.072+0.00276326d,+680.093+0.00313184d,+320.021+0.00147349d,+240.012+0.00110506d,+200.008+0.000920864d,+320.021+0.00147349d,+640.082+0.00294754d,+240.012+0.00110506d,+680.093+0.00313272d,+1000.2+0.00460784d,+600.072+0.00276404d,+440.039+0.00202676d,+400.032+0.00184247d,+680.093+0.00313272d,+560.063+0.0025797d,+440.039+0.00202676d,+400.032+0.00184211d,+400.032+0.00184211d,+560.063+0.0025792d,+360.026+0.00165786d,+1240.31+0.00571342d,+240.012+0.00110516d,+280.016+0.00128938d
2021-01-06 02:15:00 UTC,+28490.1+56.0986j,+3081.36+1.74951j,+3601.83+2.37906j,+4843.83+4.5109j,+15322.6+46.8151j,+1640.38+0.493727j,+520.054+0.00239245d,+280.016+0.00128806d,+320.021+0.0014721d,+240.012+0.00110402d,+520.054+0.00239245d,+480.046+0.00220837d,+400.032+0.00184022d,+320.021+0.0014721d,+440.039+0.00202448d,+320.021+0.00147224d,+400.032+0.00184039d,+480.046+0.00220857d,+560.063+0.00257679d,+560.063+0.00257679d,+440.039+0.00202448d,+400.032+0.00184039d,+440.039+0.00202493d,+560.063+0.00257737d,+240.012+0.00110438d,+480.046+0.00220907d,+1080.23+0.0049722d,+280.016+0.00128847d,+280.016+0.00128847d
