# file...... 1Meter_611_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_24:measured_power,house_meter_611_C_25:measured_power,house_meter_611_C_26:measured_power,house_meter_611_C_27:measured_power,house_meter_611_C_28:measured_power,house_meter_611_C_29:measured_power,house_meter_611_C_30:measured_power,house_meter_611_C_31:measured_power,house_meter_611_C_32:measured_power,house_meter_611_C_33:measured_power,house_meter_611_C_34:measured_power,house_meter_611_C_35:measured_power,house_meter_611_C_36:measured_power,house_meter_611_C_37:measured_power,house_meter_611_C_38:measured_power,house_meter_611_C_39:measured_power,house_meter_611_C_40:measured_power
2021-01-06 00:00:00 UTC,+520.056+0.00248524d,+920.177+0.00440895d,+1080.24+0.00517624d,+2521.33+0.0120888d,+4684.59+0.0224812d,+720.108+0.00345005d,+7050.4+0.0338682d,+1080.24+0.00517624d,+760.121+0.00364181d,+1560.51+0.00747627d,+2120.94+0.0101636d,+2681.5+0.0128529d,+1792.67+0.00858938d,+2601.41+0.0124686d,+1920.77+0.00920364d,+2080.9+0.00997161d,+2120.94+0.0101636d
2021-01-06 00:15:00 UTC,+680.096+0.00324431d,+880.161+0.00419872d,+760.12+0.0036259d,+840.147+0.00400777d,+1520.48+0.00725523d,+800.133+0.00381683d,+1400.41+0.00668195d,+1000.21+0.00477163d,+760.12+0.0036259d,+2080.9+0.00996307d,+2040.87+0.00977123d,+8776.11+0.0421367d,+1709.41+0.00818314d,+3923.21+0.0187983d,+1800.68+0.00862038d,+2120.94+0.0101549d,+2160.97+0.0103468d
2021-01-06 00:30:00 UTC,+640.085+0.00304828d,+720.108+0.00342897d,+1120.26+0.00533529d,+880.161+0.00419138d,+2160.97+0.0102962d,+640.085+0.00304782d,+880.161+0.00419138d,+640.085+0.00304782d,+840.146+0.00400077d,+5446.18+0.0260694d,+2000.83+0.00956367d,+2761.59+0.0132041d,+1720.62+0.00822332d,+2481.28+0.0118625d,+2801.63+0.0133958d,+2040.87+0.00975519d,+5887.23+0.0281857d
2021-01-06 00:45:00 UTC,+680.096+0.00323611d,+1120.26+0.00533228d,+920.176+0.00437954d,+680.096+0.00323657d,+2040.86+0.00971793d,+560.065+0.00266521d,+1000.21+0.00476061d,+800.133+0.00380801d,+720.107+0.00342704d,+2040.87+0.00974589d,+2160.97+0.01032d,+2201.01+0.0105113d,+1800.67+0.00859802d,+5366+0.0256602d,+5446.18+0.0260444d,+1960.8+0.00936323d,+2080.9+0.00993723d
2021-01-06 01:00:00 UTC,+600.075+0.00286201d,+1000.21+0.00476951d,+800.133+0.00381513d,+960.191+0.00457861d,+1760.64+0.00839831d,+560.065+0.00267019d,+720.108+0.00343345d,+680.096+0.00324262d,+680.096+0.00324262d,+1520.48+0.0072736d,+5606.56+0.0268662d,+2040.87+0.00976512d,+2160.97+0.0103403d,+2601.41+0.0124501d,+2761.59+0.0132176d,+4083.48+0.0195552d,+2120.94+0.0101486d
2021-01-06 01:15:00 UTC,+720.108+0.00343566d,+800.133+0.00381811d,+840.147+0.00400911d,+1080.24+0.00515534d,+920.176+0.00439115d,+800.133+0.00381811d,+1960.8+0.00936114d,+720.108+0.00343612d,+640.085+0.00305418d,+2080.9+0.00996917d,+2761.59+0.013234d,+2040.87+0.00977721d,+8615.53+0.0413883d,+2721.55+0.0130418d,+1560.51+0.00747444d,+3843.08+0.018425d,+2241.05+0.0107371d
2021-01-06 01:30:00 UTC,+560.065+0.00265926d,+800.133+0.00380525d,+1080.24+0.00513798d,+920.175+0.00437636d,+800.133+0.00380525d,+3041.92+0.0144801d,+5165.54+0.0246107d,+920.175+0.00437636d,+960.191+0.00456675d,+1280.34+0.00609442d,+2841.68+0.0135352d,+2160.97+0.01029d,+2481.28+0.0118168d,+2761.58+0.0131532d,+1640.56+0.00781023d,+2040.86+0.00971759d,+2160.97+0.01029d
2021-01-06 01:45:00 UTC,+560.065+0.00266306d,+760.12+0.0036159d,+840.146+0.00399672d,+520.056+0.00247367d,+520.056+0.00247367d,+560.065+0.00266401d,+1240.32+0.00590139d,+1080.24+0.00513941d,+760.12+0.0036159d,+2160.97+0.0103215d,+2841.68+0.0135766d,+4965.13+0.0237427d,+2641.45+0.0126189d,+3843.07+0.0183686d,+2761.59+0.0131935d,+2120.94+0.0101301d,+3322.3+0.015876d
2021-01-06 02:00:00 UTC,+2641.45+0.0125947d,+960.191+0.00457519d,+880.161+0.00419371d,+2120.93+0.0101108d,+520.056+0.00247755d,+720.108+0.00343088d,+840.146+0.00400299d,+720.108+0.00343088d,+600.075+0.00285885d,+1320.36+0.0063127d,+2241.05+0.0107186d,+2761.59+0.0132112d,+1920.77+0.00918556d,+3923.21+0.0187774d,+5285.83+0.0253136d,+2040.87+0.00976039d,+5005.23+0.023967d
2021-01-06 02:15:00 UTC,+640.085+0.00304601d,+960.191+0.00457419d,+800.133+0.00381144d,+3081.97+0.0146949d,+880.161+0.0041928d,+560.065+0.00266761d,+840.146+0.00400212d,+3162.08+0.0150774d,+600.075+0.00285823d,+5887.22+0.02817d,+2040.87+0.00974977d,+2080.9+0.00994119d,+1840.7+0.00879281d,+4524.26+0.021636d,+2801.63+0.0133884d,+2000.83+0.00955836d,+2241.05+0.010707d
