# file...... 1Meter_684_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_24:measured_power,house_meter_684_C_25:measured_power,house_meter_684_C_26:measured_power,house_meter_684_C_27:measured_power,house_meter_684_C_28:measured_power,house_meter_684_C_29:measured_power,house_meter_684_C_30:measured_power,house_meter_684_C_31:measured_power,house_meter_684_C_32:measured_power,house_meter_684_C_33:measured_power,house_meter_684_C_34:measured_power,house_meter_684_C_35:measured_power,house_meter_684_C_36:measured_power,house_meter_684_C_37:measured_power,house_meter_684_C_38:measured_power,house_meter_684_C_39:measured_power,house_meter_684_C_40:measured_power
2021-01-06 03:00:00 UTC,+280.016+0.00132875d,+1040.22+0.0049457d,+3522.57+0.0167652d,+3202.13+0.015238d,+400.033+0.00190143d,+1160.28+0.00551677d,+1080.24+0.00513604d,+2441.23+0.0116135d,+640.085+0.00304275d,+920.175+0.00437864d,+720.107+0.00342633d,+4243.74+0.0202216d,+2441.24+0.0116239d,+2481.28+0.0118148d,+2401.2+0.0114331d,+2241.04+0.0106698d,+2801.63+0.0133419d
2021-01-06 03:15:00 UTC,+640.085+0.00304346d,+280.016+0.00133321d,+3322.29+0.0158381d,+3522.58+0.0167943d,+680.096+0.0032386d,+1080.24+0.00514494d,+1240.32+0.00590775d,+2561.36+0.0122067d,+560.065+0.00266688d,+480.048+0.0022871d,+1000.21+0.00476633d,+3322.29+0.0158471d,+1920.77+0.0091566d,+2441.24+0.0116403d,+2160.97+0.0103027d,+2201.01+0.0104938d,+2761.58+0.0131695d
2021-01-06 03:30:00 UTC,+720.107+0.00341799d,+560.065+0.002662d,+3202.13+0.0152365d,+3762.94+0.0179091d,+480.048+0.0022816d,+360.027+0.00171108d,+1040.22+0.0049452d,+2721.53+0.0129471d,+560.065+0.002662d,+480.048+0.00228272d,+960.191+0.0045668d,+3522.57+0.0167717d,+720.107+0.00342459d,+2441.24+0.011618d,+2281.08+0.0108551d,+2241.04+0.0106644d,+2641.45+0.0125718d
2021-01-06 03:45:00 UTC,+280.016+0.00133076d,+800.133+0.00380931d,+3602.69+0.0171718d,+3522.58+0.0167894d,+560.065+0.00266612d,+400.033+0.00190418d,+920.176+0.00438103d,+2721.54+0.0129671d,+840.146+0.00399987d,+440.04+0.00209501d,+1720.61+0.00819611d,+2881.72+0.0137337d,+680.096+0.00323823d,+2401.2+0.0114413d,+1800.67+0.00857776d,+2521.32+0.0120143d,+1840.7+0.00876859d
2021-01-06 04:00:00 UTC,+880.16+0.00418355d,+320.021+0.00152276d,+3602.69+0.0171661d,+3202.13+0.015255d,+600.075+0.00285568d,+400.033+0.00190355d,+960.191+0.0045701d,+2401.2+0.0114355d,+1160.28+0.00552289d,+760.12+0.00361763d,+2000.83+0.00952742d,+2601.4+0.0123903d,+960.191+0.0045702d,+2601.4+0.0123903d,+720.107+0.00342714d,+2681.49+0.0127722d,+440.04+0.002094d
2021-01-06 04:15:00 UTC,+400.033+0.00190282d,+1000.21+0.00476792d,+3162.08+0.0150869d,+3362.35+0.0160438d,+520.056+0.00247858d,+800.133+0.00381386d,+1680.59+0.0080135d,+1720.61+0.0082045d,+2521.32+0.0120266d,+840.146+0.00399968d,+560.065+0.00266599d,+1360.38+0.00647777d,+880.161+0.00419025d,+1040.22+0.0049526d,+880.161+0.00419025d,+2000.83+0.00952993d,+600.075+0.00285649d
2021-01-06 04:30:00 UTC,+440.04+0.00210276d,+440.04+0.00210645d,+3282.25+0.0157306d,+3722.89+0.0178457d,+400.033+0.00191491d,+1040.23+0.00498075d,+2241.05+0.0107358d,+800.134+0.00383077d,+2321.12+0.0111198d,+720.108+0.00344236d,+520.056+0.00248584d,+880.161+0.00420775d,+1200.3+0.00573899d,+880.161+0.00420775d,+960.192+0.0045905d,+520.056+0.00248584d,+640.085+0.00305972d
2021-01-06 04:45:00 UTC,+920.176+0.00439786d,+320.021+0.00153114d,+3762.96+0.0180297d,+3162.09+0.0151469d,+560.065+0.0026799d,+560.065+0.0026799d,+1920.77+0.00919604d,+760.12+0.00363746d,+2321.12+0.0111147d,+560.065+0.00267623d,+760.12+0.00363248d,+920.176+0.00439766d,+960.192+0.00458897d,+760.12+0.00363248d,+800.133+0.00382376d,+640.085+0.0030587d,+720.108+0.00344121d
2021-01-06 05:00:00 UTC,+280.016+0.00133755d,+1000.21+0.00478639d,+3282.25+0.0157218d,+3362.36+0.0161061d,+400.033+0.00191384d,+680.096+0.0032541d,+600.075+0.00287112d,+1040.23+0.00497797d,+2120.94+0.0101543d,+600.075+0.00286744d,+640.085+0.00305867d,+960.192+0.00458893d,+1000.21+0.00478025d,+800.133+0.00382372d,+600.075+0.00286744d,+400.033+0.00191139d,+680.096+0.00324992d
2021-01-06 05:15:00 UTC,+800.133+0.00382224d,+360.027+0.00172136d,+3202.14+0.0153283d,+3762.95+0.018017d,+440.04+0.00210399d,+640.085+0.00306074d,+600.075+0.00286937d,+1040.23+0.00497495d,+560.065+0.00267801d,+480.048+0.00229316d,+480.048+0.00229316d,+1040.23+0.00497025d,+880.161+0.00420518d,+840.147+0.00401393d,+840.147+0.00401393d,+440.04+0.00210201d,+600.075+0.00286666d
