# file...... Meter_632_A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_A:measured_power,xfmr_meter_632_A_1:measured_power,xfmr_meter_632_A_2:measured_power,xfmr_meter_632_A_3:measured_power,xfmr_meter_632_A_4:measured_power,xfmr_meter_632_A_5:measured_power,house_meter_632_A_1:measured_power,house_meter_632_A_2:measured_power,house_meter_632_A_3:measured_power,house_meter_632_A_4:measured_power,house_meter_632_A_5:measured_power,house_meter_632_A_6:measured_power,house_meter_632_A_7:measured_power,house_meter_632_A_8:measured_power,house_meter_632_A_9:measured_power,house_meter_632_A_10:measured_power,house_meter_632_A_11:measured_power,house_meter_632_A_12:measured_power,house_meter_632_A_13:measured_power,house_meter_632_A_14:measured_power,house_meter_632_A_15:measured_power,house_meter_632_A_16:measured_power,house_meter_632_A_17:measured_power,house_meter_632_A_18:measured_power,house_meter_632_A_19:measured_power,house_meter_632_A_20:measured_power,house_meter_632_A_21:measured_power,house_meter_632_A_22:measured_power,house_meter_632_A_23:measured_power
2021-01-06 00:00:00 UTC,+98663.8+553.288j,+12100.8+27.0472j,+9532.85+16.7598j,+6566.21+7.99446j,+42472.2+339.549j,+27990.5+160.404j,+1160.27+0.0053889d,+1640.54+0.00762101d,+2000.81+0.00929594d,+1320.35+0.00613279d,+1400.4+0.00650479d,+1680.57+0.00780707d,+1440.42+0.0066908d,+1440.42+0.0066908d,+1480.32+0.00500568d,+1280.33+0.00594401d,+1480.44+0.0068736d,+1280.33+0.00594401d,+960.186+0.00445714d,+760.117+0.00352815d,+1160.27+0.00538637d,+1120.25+0.00520051d,+1280.33+0.0059408d,+760.117+0.00352624d,+840.143+0.00389761d,+600.073+0.0027836d,+840.143+0.00389761d,+920.171+0.00426902d,+680.093+0.0031549d
2021-01-06 00:15:00 UTC,+87670.4+422.386j,+12302+28.0788j,+7768.73+11.1851j,+6325.72+7.38943j,+36884.2+255.145j,+24388.9+119.412j,+1120.25+0.00518845d,+1240.31+0.00574477d,+2681.45+0.012427d,+1360.37+0.00630117d,+1760.63+0.00815644d,+1320.35+0.0061157d,+1360.37+0.00630117d,+1440.42+0.00667215d,+1120.25+0.00518416d,+1200.29+0.00555473d,+1400.4+0.0064813d,+1200.29+0.00555473d,+720.105+0.00333187d,+560.063+0.0025912d,+800.129+0.00370226d,+760.116+0.00351706d,+920.171+0.00425679d,+920.171+0.00425679d,+600.073+0.00277563d,+600.073+0.00277563d,+960.186+0.00444197d,+680.093+0.00314586d,+600.073+0.00277563d
2021-01-06 00:30:00 UTC,+88425.2+413.689j,+11378.4+23.891j,+10295.1+19.56j,+5925+6.47852j,+34455.3+221.619j,+26370.6+140.992j,+1040.22+0.00482139d,+1400.4+0.00649175d,+1960.78+0.00909154d,+1400.4+0.00649175d,+1520.47+0.0070487d,+1160.27+0.0053781d,+1560.49+0.00723437d,+1320.35+0.0061205d,+2440.61+0.00578141d,+1200.29+0.00556258d,+1400.4+0.00649047d,+1440.42+0.00667607d,+720.105+0.00333658d,+960.186+0.00444942d,+1120.25+0.00519149d,+1000.2+0.00463492d,+840.142+0.00388986d,+680.093+0.00314863d,+1000.2+0.00463124d,+520.055+0.00240754d,+680.093+0.00314863d,+680.093+0.00314863d,+680.093+0.00314863d
2021-01-06 00:45:00 UTC,+100593+572.122j,+10896.9+21.9217j,+11059.6+23.4632j,+6526.07+7.86659j,+43281+351.692j,+28828.5+165.583j,+1000.2+0.00463988d,+1320.35+0.00612584d,+1800.66+0.00835585d,+1520.47+0.00705485d,+1240.31+0.00575429d,+1160.27+0.00538279d,+1520.47+0.00705485d,+1320.35+0.00612584d,+4082.12+0.011946d,+1160.27+0.00538295d,+1320.35+0.00612602d,+1480.44+0.00686924d,+720.105+0.00334025d,+680.093+0.0031546d,+840.143+0.00389724d,+760.117+0.0035259d,+880.156+0.00407955d,+920.171+0.00426509d,+800.129+0.0037085d,+760.117+0.00352299d,+920.171+0.00426509d,+760.117+0.00352299d,+480.047+0.00222467d
2021-01-06 01:00:00 UTC,+89648.9+436.656j,+10335.1+19.7163j,+11621.4+25.8135j,+5884.93+6.39917j,+36723.6+253.885j,+25082.9+129.637j,+1000.2+0.00464394d,+1360.37+0.00631714d,+1440.42+0.00668906d,+1520.47+0.00706102d,+1240.31+0.00575933d,+1120.25+0.00520159d,+1480.44+0.00687504d,+1160.27+0.00538749d,+4042.08+0.011795d,+1200.29+0.00557472d,+1040.22+0.00483095d,+1920.75+0.00892345d,+600.073+0.00278634d,+840.143+0.00390145d,+1200.29+0.00557472d,+760.117+0.00352971d,+880.157+0.00408305d,+640.083+0.00296906d,+880.157+0.00408305d,+560.063+0.0025978d,+560.063+0.0025978d,+800.129+0.00371169d,+800.129+0.00371169d
2021-01-06 01:15:00 UTC,+96337.5+542.729j,+9773.57+17.6541j,+11099.9+23.7507j,+5965.08+6.58891j,+42879.2+347.067j,+26618.6+146.168j,+1000.2+0.00464914d,+1120.25+0.00520742d,+1080.24+0.00502132d,+1480.44+0.00688274d,+1280.33+0.00595191d,+1120.25+0.00520742d,+1480.44+0.00688274d,+1200.29+0.00557965d,+3801.82+0.011015d,+1280.33+0.00595336d,+1000.2+0.00465027d,+2321.09+0.0107973d,+520.055+0.00241743d,+480.047+0.00223142d,+920.171+0.00427804d,+760.117+0.00353369d,+800.13+0.00371627d,+920.171+0.00427403d,+600.073+0.00278687d,+600.073+0.00278687d,+880.157+0.0040881d,+760.117+0.00353038d,+520.055+0.00241517d
2021-01-06 01:30:00 UTC,+85886+388.482j,+9492.78+16.6144j,+11259.2+23.8728j,+5884.97+6.40796j,+31709+187.946j,+27539.3+152.565j,+1000.2+0.004636d,+1200.29+0.00556387d,+1000.2+0.004636d,+1600.52+0.0074203d,+1200.29+0.00556387d,+1120.25+0.0051927d,+1240.31+0.00574947d,+1120.25+0.0051927d,+3241.26+0.00892594d,+1280.33+0.005937d,+1000.2+0.00463749d,+2281.05+0.0105817d,+760.117+0.00352398d,+760.117+0.00352398d,+1080.24+0.00500874d,+840.143+0.00389512d,+960.186+0.00444753d,+760.117+0.00352053d,+920.171+0.00426211d,+560.063+0.00259376d,+480.046+0.00222312d,+680.093+0.0031498d,+920.171+0.00426211d
2021-01-06 01:45:00 UTC,+89229.7+465.663j,+8811.24+14.4011j,+9814.46+18.0702j,+6085.26+6.82627j,+40281.4+303.554j,+24236.4+121.52j,+1120.25+0.0051882d,+320.021+0.00148162d,+1000.2+0.00463198d,+1360.37+0.00630087d,+1280.33+0.00592994d,+1280.33+0.00592994d,+1080.24+0.00500278d,+1360.37+0.00630087d,+2360.57+0.00554699d,+1200.29+0.00556007d,+1000.2+0.00463283d,+2321.09+0.0107568d,+680.093+0.00314971d,+480.046+0.00222306d,+960.186+0.00444741d,+800.129+0.00370582d,+800.129+0.0037033d,+840.142+0.00388856d,+560.063+0.00259193d,+800.129+0.0037033d,+760.116+0.00351805d,+640.083+0.00296235d,+680.093+0.00314758d
2021-01-06 02:00:00 UTC,+97304.8+597.979j,+7929.33+11.7442j,+9373.09+16.4304j,+5243.93+5.0746j,+45311.2+386.175j,+29445.9+176.904j,+1120.25+0.00518218d,+0+0d,+960.186+0.00444143d,+960.186+0.00444143d,+1320.35+0.0061083d,+1240.31+0.00573782d,+1080.24+0.00499698d,+1240.31+0.00573782d,+1040.22+0.00481305d,+1160.27+0.00536879d,+960.186+0.0044426d,+2401.16+0.0111162d,+840.142+0.00388699d,+840.142+0.00388699d,+1200.29+0.00555406d,+920.171+0.00425739d,+600.073+0.00277394d,+800.129+0.00369903d,+600.073+0.00277394d,+720.104+0.00332897d,+400.032+0.00184907d,+760.116+0.00351399d,+840.142+0.00388408d
2021-01-06 02:15:00 UTC,+85119.9+429.497j,+7769+11.3035j,+8250.48+12.8802j,+5764.72+6.12992j,+37287.6+260.496j,+26047.2+137.497j,+1080.24+0.00500451d,+0+0d,+840.142+0.00389183d,+920.171+0.00426269d,+1280.33+0.00593199d,+1200.29+0.00556097d,+1120.25+0.00518999d,+1320.35+0.00611751d,+1080.24+0.00500495d,+1160.27+0.00537595d,+960.186+0.00444852d,+2281.05+0.0105737d,+600.073+0.00277972d,+440.039+0.00203826d,+1040.22+0.00481946d,+680.093+0.0031505d,+680.093+0.00314908d,+760.117+0.00351973d,+520.055+0.00240788d,+840.142+0.00389041d,+840.142+0.00389041d,+600.073+0.00277846d,+640.083+0.00296376d
