# file...... 1Meter_645_B_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_B_24:measured_power,house_meter_645_B_25:measured_power,house_meter_645_B_26:measured_power,house_meter_645_B_27:measured_power,house_meter_645_B_28:measured_power,house_meter_645_B_29:measured_power,house_meter_645_B_30:measured_power,house_meter_645_B_31:measured_power,house_meter_645_B_32:measured_power,house_meter_645_B_33:measured_power,house_meter_645_B_34:measured_power,house_meter_645_B_35:measured_power,house_meter_645_B_36:measured_power,house_meter_645_B_37:measured_power,house_meter_645_B_38:measured_power,house_meter_645_B_39:measured_power,house_meter_645_B_40:measured_power
2021-01-06 00:00:00 UTC,+240.012+0.00110267d,+2040.84+0.00940387d,+1320.35+0.00608221d,+1960.77+0.00903465d,+3041.86+0.0140221d,+4003.22+0.0184608d,+680.093+0.00313205d,+1400.37+0.00609303d,+3001.81+0.0138372d,+240.012+0.00110206d,+240.012+0.00110206d,+200.008+0.000918363d,+200.008+0.000918363d,+280.016+0.00128577d,+400.032+0.00183695d,+200.008+0.000918363d,+320.02+0.00146949d
2021-01-06 00:15:00 UTC,+200.008+0.000921787d,+1680.57+0.00776556d,+1440.42+0.00665523d,+1920.74+0.00887621d,+3522.5+0.0162888d,+3923.1+0.0181442d,+680.093+0.00314131d,+1360.37+0.00628519d,+1400.39+0.0064702d,+200.008+0.000921293d,+200.008+0.000921293d,+160.005+0.000737018d,+280.016+0.00128987d,+240.012+0.00110558d,+360.026+0.00165848d,+200.008+0.000921293d,+240.012+0.00110558d
2021-01-06 00:30:00 UTC,+240.012+0.00110554d,+2841.63+0.0131326d,+1400.39+0.0064682d,+1840.68+0.00850333d,+1800.65+0.00831827d,+5125.29+0.0237085d,+2321.08+0.0107247d,+1360.37+0.00628325d,+1120.25+0.00517369d,+240.012+0.00110481d,+200.008+0.000920656d,+240.012+0.00110481d,+240.012+0.00110481d,+120.003+0.000552367d,+280.016+0.00128898d,+160.005+0.000736507d,+200.008+0.000920656d
2021-01-06 00:45:00 UTC,+240.012+0.00110428d,+1400.39+0.00645482d,+1400.39+0.00645482d,+1920.74+0.0088551d,+1800.65+0.00830105d,+3883.03+0.0179159d,+720.104+0.00331826d,+1360.37+0.00627024d,+1120.25+0.00516298d,+240.012+0.0011034d,+240.012+0.0011034d,+240.012+0.0011034d,+240.012+0.0011034d,+200.008+0.00091948d,+200.008+0.00091948d,+280.016+0.00128733d,+160.005+0.000735566d
2021-01-06 01:00:00 UTC,+280.016+0.00128768d,+1280.33+0.00590051d,+2681.44+0.0123646d,+3322.22+0.0153233d,+2801.58+0.0129192d,+3923.09+0.0180991d,+760.116+0.00350233d,+720.104+0.00331792d,+1080.23+0.00497795d,+280.016+0.00128649d,+280.016+0.00128649d,+200.008+0.000918875d,+160.005+0.000735081d,+240.012+0.00110268d,+240.012+0.00110268d,+200.008+0.000918875d,+120.003+0.000551297d
2021-01-06 01:15:00 UTC,+240.012+0.00110093d,+1280.33+0.00588288d,+1400.39+0.00643487d,+1880.71+0.0086436d,+1800.65+0.00827539d,+3883.02+0.0178604d,+680.093+0.00312416d,+720.104+0.00330801d,+1080.23+0.00496309d,+240.012+0.00110012d,+160.005+0.00073338d,+160.005+0.00073338d,+160.005+0.00073338d,+280.016+0.00128351d,+200.008+0.000916747d,+160.005+0.00073338d,+160.005+0.00073338d
2021-01-06 01:30:00 UTC,+200.008+0.000920597d,+2441.2+0.0112618d,+1440.42+0.00664231d,+1960.77+0.00904376d,+1480.44+0.00682699d,+3923.09+0.018109d,+680.093+0.00313521d,+960.185+0.00442693d,+1040.22+0.00479607d,+280.016+0.00128779d,+200.008+0.000919805d,+160.005+0.000735826d,+160.005+0.000735826d,+200.008+0.000919805d,+280.016+0.00128779d,+160.005+0.000735826d,+200.008+0.000919805d
2021-01-06 01:45:00 UTC,+400.032+0.001842d,+1360.37+0.00628036d,+1080.23+0.0049865d,+1880.71+0.0086844d,+1360.37+0.00628036d,+4003.23+0.0185012d,+5846.89+0.0270419d,+1400.39+0.00646523d,+1000.2+0.00461691d,+560.063+0.00257732d,+160.005+0.000736201d,+240.012+0.00110436d,+280.016+0.00128845d,+160.005+0.000736201d,+280.016+0.00128845d,+120.003+0.000552138d,+240.012+0.00110436d
2021-01-06 02:00:00 UTC,+240.012+0.00110516d,+1320.35+0.00609265d,+1000.2+0.00461475d,+1400.39+0.00646221d,+2281.05+0.0105298d,+4964.96+0.022944d,+760.116+0.0035067d,+320.021+0.00147612d,+1000.2+0.00461475d,+320.021+0.00147314d,+240.012+0.0011048d,+240.012+0.0011048d,+280.016+0.00128896d,+200.008+0.000920644d,+280.016+0.00128896d,+200.008+0.000920644d,+160.005+0.000736498d
2021-01-06 02:15:00 UTC,+1480.44+0.0068154d,+1320.35+0.00608958d,+1040.22+0.00479704d,+1160.27+0.00535093d,+1120.25+0.00516629d,+3642.67+0.016816d,+5806.79+0.0268299d,+240.012+0.00110647d,+960.185+0.00442782d,+200.008+0.000919758d,+240.012+0.00110374d,+200.008+0.000919758d,+280.016+0.00128772d,+160.005+0.000735789d,+200.008+0.000919758d,+200.008+0.000919758d,+160.005+0.000735789d
