# file...... 1Meter_632_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_A_20:measured_power.real,house_meter_632_A_21:measured_power.real,house_meter_632_A_22:measured_power.real,house_meter_632_A_23:measured_power.real,house_meter_632_A_24:measured_power.real,house_meter_632_A_25:measured_power.real,house_meter_632_A_26:measured_power.real,house_meter_632_A_27:measured_power.real,house_meter_632_A_28:measured_power.real,house_meter_632_A_29:measured_power.real,house_meter_632_A_30:measured_power.real,house_meter_632_A_31:measured_power.real,house_meter_632_A_32:measured_power.real,house_meter_632_A_33:measured_power.real,house_meter_632_A_34:measured_power.real,house_meter_632_A_35:measured_power.real,house_meter_632_A_36:measured_power.real,house_meter_632_A_37:measured_power.real,house_meter_632_A_38:measured_power.real,house_meter_632_A_39:measured_power.real,house_meter_632_A_40:measured_power.real
2021-01-06 00:00:00 UTC,6.0007e+02,8.4014e+02,9.2017e+02,6.8009e+02,6.4008e+02,4.0433e+03,6.8496e+03,6.0876e+03,4.0834e+03,3.2002e+02,6.6891e+03,8.6954e+03,5.4861e+03,6.5688e+03,9.5385e+03,6.9699e+03,3.5626e+03,3.6003e+02,3.2002e+02,2.0001e+02,3.6003e+02
2021-01-06 00:15:00 UTC,6.0007e+02,9.6019e+02,6.8009e+02,6.0007e+02,1.0402e+03,3.5225e+03,4.2437e+03,4.6444e+03,5.5663e+03,2.4001e+02,7.4513e+03,4.7646e+03,6.2880e+03,6.1677e+03,6.2078e+03,6.6490e+03,3.8831e+03,5.2005e+02,2.8002e+02,2.8002e+02,3.2002e+02
2021-01-06 00:30:00 UTC,5.2005e+02,6.8009e+02,6.8009e+02,6.8009e+02,8.4014e+02,3.6828e+03,4.8848e+03,5.4861e+03,5.2857e+03,2.8002e+02,4.6845e+03,4.7245e+03,5.2857e+03,6.9297e+03,6.3682e+03,8.1736e+03,3.3222e+03,6.0007e+02,3.6003e+02,2.8002e+02,2.4001e+02
2021-01-06 00:45:00 UTC,7.6012e+02,9.2017e+02,7.6012e+02,4.8005e+02,1.0002e+03,5.9673e+03,6.9298e+03,4.4039e+03,4.0834e+03,2.0001e+02,7.8526e+03,6.6490e+03,6.9699e+03,5.4861e+03,9.7795e+03,4.9650e+03,4.1635e+03,2.8002e+02,2.8002e+02,2.0001e+02,3.5626e+03
2021-01-06 01:00:00 UTC,5.6006e+02,5.6006e+02,8.0013e+02,8.0013e+02,7.6012e+02,5.2857e+03,2.7616e+03,5.0452e+03,6.5287e+03,4.8005e+02,5.6465e+03,3.6427e+03,7.1705e+03,6.5688e+03,4.8047e+03,9.1370e+03,3.5225e+03,3.6003e+02,2.4001e+02,1.6001e+02,2.0001e+02
2021-01-06 01:15:00 UTC,6.0007e+02,8.8016e+02,7.6012e+02,5.2005e+02,8.8016e+02,3.9231e+03,7.6520e+03,7.0903e+03,2.9217e+03,3.6003e+02,6.7694e+03,7.1705e+03,6.7694e+03,6.9298e+03,9.3779e+03,6.3282e+03,2.4813e+03,6.0007e+02,3.2002e+02,2.4001e+02,2.4001e+02
2021-01-06 01:30:00 UTC,5.6006e+02,4.8005e+02,6.8009e+02,9.2017e+02,6.0007e+02,3.6427e+03,4.0834e+03,3.2822e+03,5.0452e+03,4.4004e+02,5.6866e+03,5.0853e+03,4.3238e+03,4.4440e+03,6.7693e+03,7.4513e+03,7.2507e+03,7.2011e+02,3.6003e+02,2.4001e+02,2.0001e+02
2021-01-06 01:45:00 UTC,8.0013e+02,7.6012e+02,6.4008e+02,6.8009e+02,1.0002e+03,4.6043e+03,5.1654e+03,7.3711e+03,5.3659e+03,2.8002e+02,5.7668e+03,4.6043e+03,6.9298e+03,6.7292e+03,8.5348e+03,5.8469e+03,1.9207e+03,4.0003e+02,2.4001e+02,2.0001e+02,2.8002e+02
2021-01-06 02:00:00 UTC,7.2010e+02,4.0003e+02,7.6012e+02,8.4014e+02,5.2005e+02,6.0073e+03,6.1677e+03,5.3258e+03,3.6427e+03,4.8005e+02,8.8560e+03,9.4582e+03,5.1253e+03,6.0073e+03,7.9328e+03,1.0020e+04,4.0433e+03,6.4008e+02,2.8002e+02,2.4001e+02,1.6001e+02
2021-01-06 02:15:00 UTC,8.4014e+02,8.4014e+02,6.0007e+02,6.4008e+02,8.8016e+02,3.9632e+03,5.1654e+03,4.5642e+03,5.0452e+03,4.0003e+02,4.3238e+03,6.1276e+03,7.5315e+03,4.8047e+03,9.0165e+03,6.1677e+03,4.3639e+03,9.2017e+02,2.8002e+02,2.0001e+02,2.0001e+02
