# file...... Meter_611_C_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power.real,xfmr_meter_611_C_1:measured_power.real,xfmr_meter_611_C_2:measured_power.real,xfmr_meter_611_C_3:measured_power.real,xfmr_meter_611_C_4:measured_power.real,xfmr_meter_611_C_5:measured_power.real,house_meter_611_C_1:measured_power.real,house_meter_611_C_2:measured_power.real,house_meter_611_C_3:measured_power.real,house_meter_611_C_4:measured_power.real,house_meter_611_C_5:measured_power.real,house_meter_611_C_6:measured_power.real,house_meter_611_C_7:measured_power.real,house_meter_611_C_8:measured_power.real,house_meter_611_C_9:measured_power.real,house_meter_611_C_10:measured_power.real,house_meter_611_C_11:measured_power.real,house_meter_611_C_12:measured_power.real,house_meter_611_C_13:measured_power.real,house_meter_611_C_14:measured_power.real,house_meter_611_C_15:measured_power.real,house_meter_611_C_16:measured_power.real,house_meter_611_C_17:measured_power.real,house_meter_611_C_18:measured_power.real,house_meter_611_C_19:measured_power.real
2021-01-06 00:00:00 UTC,5.0158e+04,1.4403e+03,7.1707e+03,5.7653e+03,1.8868e+04,1.6914e+04,2.4001e+02,2.4001e+02,1.2000e+02,2.0001e+02,1.6001e+02,1.6001e+02,1.6001e+02,1.6001e+02,4.8005e+02,3.2002e+02,5.2006e+02,4.4004e+02,6.8010e+02,5.6007e+02,3.4825e+03,6.8010e+02,3.6003e+02,4.0003e+02,3.6003e+02
2021-01-06 00:15:00 UTC,4.8122e+04,2.3611e+03,4.7233e+03,8.3737e+03,7.9695e+03,2.4694e+04,2.0001e+02,1.6001e+02,1.6001e+02,1.6001e+02,2.8002e+02,1.6001e+02,1.1203e+03,1.2000e+02,7.2011e+02,4.4004e+02,6.4009e+02,2.8002e+02,4.8005e+02,6.8010e+02,8.0013e+02,6.8010e+02,5.6007e+02,3.6003e+02,6.0007e+02
2021-01-06 00:30:00 UTC,4.8688e+04,2.8016e+03,4.0825e+03,8.6942e+03,7.8897e+03,2.5219e+04,2.8002e+02,2.4001e+02,1.2000e+02,2.8002e+02,2.0001e+02,1.2000e+02,1.3604e+03,2.0001e+02,4.4004e+02,9.2018e+02,5.6007e+02,3.2002e+02,3.2002e+02,4.8005e+02,5.6007e+02,4.8005e+02,7.2011e+02,4.8005e+02,4.8005e+02
2021-01-06 00:45:00 UTC,4.4505e+04,2.9217e+03,3.5219e+03,7.0877e+03,7.8495e+03,2.3124e+04,2.4001e+02,2.0001e+02,1.3204e+03,4.0003e+02,2.4001e+02,1.2000e+02,1.6001e+02,2.4001e+02,2.4001e+02,4.4004e+02,2.8002e+02,6.8010e+02,5.6006e+02,4.0003e+02,4.4004e+02,4.8005e+02,4.4004e+02,4.0003e+02,1.0802e+03
2021-01-06 01:00:00 UTC,5.1244e+04,7.7758e+03,4.2827e+03,9.0559e+03,7.1679e+03,2.2962e+04,1.6001e+02,7.6012e+02,3.2002e+02,2.4001e+02,1.0802e+03,2.4001e+02,4.7246e+03,2.4001e+02,7.2011e+02,3.2002e+02,3.2002e+02,6.8010e+02,4.4004e+02,5.2006e+02,6.8010e+02,6.0007e+02,3.6003e+02,3.6003e+02,6.8010e+02
2021-01-06 01:15:00 UTC,5.3187e+04,6.8914e+03,5.5252e+03,7.0480e+03,7.7693e+03,2.5953e+04,1.6001e+02,1.2000e+02,2.8002e+02,2.4001e+02,1.6001e+02,2.4012e+03,3.2822e+03,2.4001e+02,6.8010e+02,4.8005e+02,5.6007e+02,2.0001e+02,4.4004e+02,1.8807e+03,7.2011e+02,5.6007e+02,6.0007e+02,4.8005e+02,6.8010e+02
2021-01-06 01:30:00 UTC,4.8580e+04,7.7334e+03,4.0825e+03,5.6448e+03,1.3714e+04,1.7405e+04,1.2000e+02,1.0802e+03,8.0001e+01,1.6001e+02,2.0001e+02,2.0001e+02,3.3623e+03,2.5213e+03,6.4008e+02,6.8010e+02,5.6006e+02,2.4001e+02,3.6003e+02,4.8005e+02,6.4008e+02,4.8005e+02,6.4008e+02,5.6006e+02,4.8005e+02
2021-01-06 01:45:00 UTC,4.7876e+04,7.2911e+03,5.2046e+03,4.3630e+03,6.2859e+03,2.4731e+04,2.0001e+02,9.6019e+02,1.6001e+02,2.4001e+02,2.4001e+02,3.0820e+03,2.0409e+03,3.6003e+02,4.8005e+02,6.4008e+02,4.0003e+02,6.0007e+02,1.8007e+03,2.4001e+02,4.4004e+02,6.0007e+02,2.8002e+02,2.4001e+02,1.6001e+02
2021-01-06 02:00:00 UTC,5.7605e+04,1.4570e+04,3.8422e+03,7.2495e+03,7.3686e+03,2.4574e+04,3.6003e+02,9.2018e+02,1.2000e+02,2.8002e+02,8.0001e+01,7.6923e+03,2.6014e+03,2.4813e+03,3.2002e+02,3.6003e+02,3.6003e+02,6.8010e+02,6.4008e+02,3.6003e+02,5.2006e+02,6.0007e+02,2.0001e+02,3.6003e+02,4.8005e+02
2021-01-06 02:15:00 UTC,5.8875e+04,1.3399e+04,5.1644e+03,5.9252e+03,1.0901e+04,2.3486e+04,2.0001e+02,1.3204e+03,2.0001e+02,1.2003e+03,2.4001e+02,6.4487e+03,2.5213e+03,1.2403e+03,6.4008e+02,4.4004e+02,4.8005e+02,1.6806e+03,2.4001e+02,6.4008e+02,6.0007e+02,4.4004e+02,6.0007e+02,5.6007e+02,6.8010e+02
2021-01-06 02:30:00 UTC,4.8912e+04,1.0340e+04,3.4418e+03,6.6070e+03,7.6889e+03,2.0834e+04,1.6001e+02,1.4805e+03,2.4001e+02,2.0001e+02,2.0001e+02,2.7616e+03,2.8817e+03,2.4012e+03,6.4008e+02,5.2006e+02,4.8005e+02,1.6001e+02,2.8002e+02,5.2006e+02,3.6003e+02,4.8005e+02,6.8010e+02,1.7206e+03,4.0003e+02
2021-01-06 02:45:00 UTC,5.2940e+04,1.1390e+04,6.2065e+03,5.4852e+03,5.4844e+03,2.4373e+04,1.2000e+02,1.4004e+03,2.0001e+02,2.4001e+02,2.0001e+02,5.0453e+03,3.9232e+03,2.4001e+02,6.4008e+02,1.6406e+03,3.6003e+02,4.8005e+02,5.6006e+02,3.6003e+02,4.0003e+02,1.7606e+03,1.7606e+03,1.6001e+02,2.0001e+02
2021-01-06 03:00:00 UTC,5.2919e+04,1.1304e+04,4.3227e+03,6.8884e+03,8.6132e+03,2.1791e+04,5.6007e+02,1.2403e+03,2.4001e+02,2.0001e+02,2.4001e+02,2.5213e+03,3.1220e+03,3.1621e+03,4.8005e+02,4.0003e+02,4.8005e+02,6.8010e+02,6.8010e+02,5.2006e+02,4.0003e+02,6.8010e+02,2.8002e+02,3.2002e+02,4.4004e+02
2021-01-06 03:15:00 UTC,6.0166e+04,1.1668e+04,8.4918e+03,6.3661e+03,7.3682e+03,2.6271e+04,5.6007e+02,1.2403e+03,2.2410e+03,2.8002e+02,2.0001e+02,5.0854e+03,1.9208e+03,1.2000e+02,1.5205e+03,4.4004e+02,1.7606e+03,4.4004e+02,3.6003e+02,4.8005e+02,1.9208e+03,1.5605e+03,4.0003e+02,7.6012e+02,6.0007e+02
2021-01-06 03:30:00 UTC,5.6655e+04,1.6971e+04,4.0427e+03,6.2062e+03,9.2539e+03,2.0180e+04,1.6001e+02,3.0820e+03,1.6001e+02,2.3612e+03,1.2000e+02,2.6414e+03,5.0854e+03,3.3223e+03,3.2002e+02,6.4008e+02,3.6003e+02,2.4001e+02,2.0001e+02,3.6003e+02,6.4008e+02,1.2803e+03,5.6006e+02,6.0007e+02,3.6003e+02
2021-01-06 03:45:00 UTC,6.0247e+04,1.7776e+04,5.0450e+03,4.2428e+03,9.0126e+03,2.4170e+04,1.2403e+03,1.1203e+03,2.4813e+03,2.0001e+02,5.6007e+02,6.0877e+03,3.5626e+03,2.4813e+03,6.4008e+02,4.0003e+02,3.2002e+02,4.0003e+02,4.8005e+02,3.6003e+02,2.0001e+02,2.2410e+03,4.4004e+02,2.0001e+02,3.6003e+02
2021-01-06 04:00:00 UTC,5.5845e+04,1.3389e+04,5.2849e+03,6.5671e+03,8.8948e+03,2.1710e+04,8.8016e+02,1.7606e+03,1.6001e+02,2.3612e+03,6.8010e+02,2.6014e+03,2.4813e+03,2.4412e+03,6.8010e+02,2.0001e+02,4.4004e+02,6.0007e+02,7.2011e+02,5.6007e+02,2.0001e+02,1.8807e+03,3.6003e+02,5.6007e+02,4.8005e+02
2021-01-06 04:15:00 UTC,5.6688e+04,1.2675e+04,4.4028e+03,6.1657e+03,5.4844e+03,2.7960e+04,8.4015e+02,1.1203e+03,4.0003e+02,1.6001e+02,2.4001e+02,1.3204e+03,6.1278e+03,2.4412e+03,5.2006e+02,4.8005e+02,6.4009e+02,4.8005e+02,4.4004e+02,6.4009e+02,7.2011e+02,4.8005e+02,5.6007e+02,6.4009e+02,4.0003e+02
2021-01-06 04:30:00 UTC,7.1516e+04,3.3797e+04,4.3632e+03,7.3283e+03,5.8049e+03,2.0221e+04,1.1603e+03,4.0434e+03,2.0809e+03,3.2823e+03,2.4012e+03,3.9633e+03,1.5974e+04,7.2011e+02,3.2002e+02,6.4009e+02,4.4004e+02,3.6003e+02,2.0001e+02,3.2002e+02,6.4009e+02,1.4404e+03,4.4004e+02,4.0003e+02,1.2003e+03
