# file...... 1Meter_633_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_C_24:measured_power,house_meter_633_C_25:measured_power,house_meter_633_C_26:measured_power,house_meter_633_C_27:measured_power,house_meter_633_C_28:measured_power,house_meter_633_C_29:measured_power,house_meter_633_C_30:measured_power,house_meter_633_C_31:measured_power,house_meter_633_C_32:measured_power,house_meter_633_C_33:measured_power,house_meter_633_C_34:measured_power,house_meter_633_C_35:measured_power,house_meter_633_C_36:measured_power,house_meter_633_C_37:measured_power,house_meter_633_C_38:measured_power,house_meter_633_C_39:measured_power,house_meter_633_C_40:measured_power
2021-01-06 00:00:00 UTC,+2761.57+0.0130508d,+880.159+0.00415813d,+3162.06+0.0149525d,+2801.62+0.0132461d,+2881.71+0.0136253d,+1840.7+0.00869943d,+3162.06+0.0149525d,+5566.39+0.0263481d,+1600.53+0.0075636d,+2401.19+0.0113486d,+2160.96+0.0102122d,+2080.89+0.00983353d,+2080.89+0.00983353d,+5165.5+0.0244413d,+2561.35+0.0121064d,+2321.11+0.0109698d,+2000.82+0.00945484d
2021-01-06 00:15:00 UTC,+4043.37+0.0191157d,+320.021+0.0015094d,+4123.5+0.0194792d,+4003.3+0.0189105d,+4123.5+0.0194792d,+1800.67+0.00849814d,+1800.67+0.00849814d,+2641.43+0.0124704d,+1560.5+0.00736396d,+6007.44+0.0284363d,+2321.11+0.0109703d,+1920.76+0.00907662d,+1840.7+0.00869799d,+1720.61+0.00813013d,+5686.67+0.0269143d,+1960.79+0.00926594d,+5526.3+0.0261536d
2021-01-06 00:30:00 UTC,+4083.43+0.0192657d,+320.021+0.00150673d,+2521.3+0.0118816d,+4043.36+0.0190662d,+4003.29+0.0188769d,+1680.58+0.00791696d,+2040.85+0.00961559d,+2481.26+0.0116927d,+1880.73+0.00886055d,+2841.66+0.0134047d,+2040.86+0.00962396d,+5285.75+0.024959d,+6127.73+0.0289449d,+1880.73+0.00886826d,+1400.4+0.00660207d,+1880.73+0.00886826d,+2160.96+0.0101908d
2021-01-06 00:45:00 UTC,+4003.29+0.0188671d,+320.021+0.00150474d,+280.016+0.00131661d,+2641.43+0.0124318d,+4003.29+0.0188519d,+1560.5+0.00734119d,+1720.61+0.00809493d,+1800.66+0.00847185d,+1400.4+0.0065876d,+1880.73+0.00886537d,+5325.83+0.0251405d,+3923.16+0.0185085d,+4724.59+0.0222968d,+2160.96+0.0101875d,+2080.89+0.0098097d,+1960.79+0.00924307d,+1680.58+0.00792126d
2021-01-06 01:00:00 UTC,+4083.42+0.0192298d,+280.016+0.00131816d,+400.033+0.00188323d,+320.021+0.00150651d,+4043.36+0.0190633d,+3522.55+0.0166043d,+4564.28+0.0215239d,+2681.48+0.0126354d,+3001.85+0.0141468d,+1880.73+0.00886248d,+3001.85+0.014152d,+2120.92+0.00999534d,+1520.47+0.00716382d,+1680.58+0.00791869d,+1840.7+0.00867371d,+6769.43+0.0319636d,+1960.79+0.00924007d
2021-01-06 01:15:00 UTC,+4043.35+0.0190361d,+280.016+0.00131917d,+320.021+0.00150767d,+320.021+0.00150767d,+4203.63+0.0198355d,+4844.83+0.0228672d,+2761.57+0.0130232d,+6769.43+0.0319765d,+2361.14+0.011133d,+2281.07+0.0107443d,+2080.89+0.00980065d,+2000.82+0.00942324d,+2241.03+0.0105556d,+2241.03+0.0105556d,+1720.61+0.00810259d,+2000.82+0.00942324d,+1960.79+0.00923455d
2021-01-06 01:30:00 UTC,+4003.28+0.0188167d,+280.016+0.00131673d,+240.012+0.00112859d,+240.012+0.00112859d,+4083.42+0.0192316d,+4442.14+0.0110816d,+1680.58+0.00790717d,+4482.06+0.0105697d,+4965.06+0.0233923d,+1600.52+0.00752272d,+2321.1+0.0109128d,+1840.69+0.00865241d,+1800.66+0.0084641d,+1720.61+0.00808752d,+2000.82+0.00940571d,+1800.66+0.0084641d,+1960.79+0.00921737d
2021-01-06 01:45:00 UTC,+4043.35+0.0190277d,+360.027+0.00169562d,+240.012+0.00113033d,+280.016+0.00131875d,+3963.23+0.0186933d,+5643.81+0.0154981d,+2080.89+0.00980733d,+6684.78+0.0163998d,+3322.27+0.015666d,+1960.79+0.00923883d,+1760.64+0.00829507d,+2241.03+0.0105605d,+2120.92+0.00999401d,+7170.58+0.0338588d,+1920.76+0.00905006d,+2321.11+0.0109382d,+1920.76+0.00905006d
2021-01-06 02:00:00 UTC,+1640.55+0.00771089d,+280.016+0.00131856d,+280.016+0.00131856d,+360.027+0.00169538d,+4003.29+0.0188799d,+5403.54+0.015024d,+2040.85+0.00961708d,+6244.3+0.0158075d,+1880.73+0.00886192d,+3322.27+0.0156636d,+2040.85+0.009617d,+1400.4+0.0065973d,+1840.7+0.00867309d,+1720.61+0.00810685d,+6127.72+0.0289239d,+1880.73+0.00886185d,+2120.92+0.00999463d
2021-01-06 02:15:00 UTC,+320.021+0.00150094d,+320.021+0.00150557d,+320.021+0.00150557d,+320.021+0.00150557d,+4083.42+0.0192405d,+5163.01+0.0133995d,+4403.98+0.0207536d,+5042.64+0.0120317d,+1600.53+0.00753375d,+4724.58+0.0222632d,+1880.73+0.00885201d,+3202.1+0.0150795d,+2160.96+0.0101722d,+2160.96+0.0101722d,+2000.82+0.00941773d,+2120.92+0.00998354d,+2000.82+0.00941773d
