# file...... 1Meter_652_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_20:measured_power.real,house_meter_652_A_21:measured_power.real,house_meter_652_A_22:measured_power.real,house_meter_652_A_23:measured_power.real,house_meter_652_A_24:measured_power.real,house_meter_652_A_25:measured_power.real,house_meter_652_A_26:measured_power.real,house_meter_652_A_27:measured_power.real,house_meter_652_A_28:measured_power.real,house_meter_652_A_29:measured_power.real,house_meter_652_A_30:measured_power.real,house_meter_652_A_31:measured_power.real,house_meter_652_A_32:measured_power.real,house_meter_652_A_33:measured_power.real,house_meter_652_A_34:measured_power.real,house_meter_652_A_35:measured_power.real,house_meter_652_A_36:measured_power.real,house_meter_652_A_37:measured_power.real,house_meter_652_A_38:measured_power.real,house_meter_652_A_39:measured_power.real,house_meter_652_A_40:measured_power.real
2021-01-06 02:30:00 UTC,1.8007e+03,1.0002e+03,1.8407e+03,2.6014e+03,2.4813e+03,1.6406e+03,4.8048e+03,4.3639e+03,6.9700e+03,7.8126e+03,2.8417e+03,1.4282e+04,1.3478e+04,4.3238e+03,7.0903e+03,1.5605e+03,8.2681e+02,2.4001e+02,5.6006e+02,1.2000e+02,1.1603e+03
2021-01-06 02:45:00 UTC,1.7206e+03,8.4014e+02,1.8807e+03,2.0809e+03,2.4813e+03,2.4012e+03,9.2017e+02,4.3238e+03,5.8069e+03,8.6554e+03,2.4813e+03,4.4841e+03,1.3558e+04,2.8817e+03,1.3236e+04,2.2811e+03,6.6491e+03,1.2000e+02,4.4040e+03,2.0001e+02,1.3204e+03
2021-01-06 03:00:00 UTC,1.7206e+03,4.4004e+02,1.8007e+03,2.6414e+03,3.8030e+03,1.8807e+03,7.6012e+02,3.2422e+03,7.0101e+03,8.7357e+03,7.5718e+03,2.7616e+03,2.5213e+03,2.8817e+03,1.3558e+04,2.6414e+03,7.6012e+02,1.1203e+03,2.5213e+03,2.4001e+02,1.9608e+03
2021-01-06 03:15:00 UTC,2.9618e+03,3.6003e+02,1.7606e+03,2.4813e+03,2.3611e+03,1.8807e+03,7.2011e+02,7.6520e+03,5.8470e+03,8.4145e+03,1.0864e+04,2.8016e+03,8.4014e+02,5.5663e+03,4.7646e+03,7.5717e+03,7.6012e+02,2.0001e+02,1.8807e+03,3.2002e+02,1.5205e+03
2021-01-06 03:30:00 UTC,1.9207e+03,3.6003e+02,2.2410e+03,2.1209e+03,2.5213e+03,2.9618e+03,7.5316e+03,4.1635e+03,8.6152e+03,5.4461e+03,2.8416e+03,2.4813e+03,6.8009e+02,6.0875e+03,8.4014e+02,2.6414e+03,7.6012e+02,2.4001e+02,2.5613e+03,1.6001e+02,2.0809e+03
2021-01-06 03:45:00 UTC,1.8807e+03,3.6003e+02,3.1220e+03,2.7215e+03,3.2421e+03,1.4804e+03,9.2017e+02,3.3623e+03,6.4084e+03,5.0051e+03,2.8416e+03,1.4523e+04,7.2011e+02,2.8416e+03,6.4008e+02,1.7606e+03,4.5242e+03,2.8002e+02,2.6014e+03,6.4008e+02,5.1254e+03
2021-01-06 04:00:00 UTC,1.7206e+03,4.4004e+02,2.6815e+03,2.4412e+03,3.0018e+03,1.8007e+03,2.3211e+03,4.5242e+03,6.1277e+03,4.5643e+03,2.8417e+03,4.4040e+03,1.2472e+04,2.8016e+03,6.8009e+02,3.4424e+03,3.2021e+03,2.0001e+02,2.4813e+03,1.8807e+03,2.1209e+03
2021-01-06 04:15:00 UTC,1.8407e+03,6.8009e+02,1.9608e+03,2.3211e+03,3.8430e+03,2.6815e+03,7.6012e+02,3.4024e+03,4.9651e+03,4.8048e+03,6.0475e+03,2.8817e+03,1.4081e+04,2.7215e+03,9.8600e+03,7.4916e+03,6.8009e+02,1.6001e+02,1.8407e+03,5.6006e+02,2.0409e+03
2021-01-06 04:30:00 UTC,1.8807e+03,6.4008e+02,1.9208e+03,2.6815e+03,2.3611e+03,2.2410e+03,1.7206e+03,8.2140e+03,1.0865e+04,5.3660e+03,1.4484e+04,2.7616e+03,1.3357e+04,8.7358e+03,1.4001e+04,2.7215e+03,8.4015e+02,2.0001e+02,1.2003e+03,2.6414e+03,1.2003e+03
2021-01-06 04:45:00 UTC,1.8007e+03,4.0003e+02,2.0809e+03,2.5213e+03,2.2410e+03,3.0419e+03,7.5718e+03,3.3623e+03,4.8849e+03,6.8898e+03,2.8417e+03,2.3211e+03,1.2673e+04,1.6806e+03,1.3196e+04,2.5613e+03,8.0013e+02,4.4004e+02,2.6815e+03,4.8005e+02,1.9608e+03
