# file...... Meter_633_B_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_B:measured_power.real,xfmr_meter_633_B_1:measured_power.real,xfmr_meter_633_B_2:measured_power.real,xfmr_meter_633_B_3:measured_power.real,xfmr_meter_633_B_4:measured_power.real,xfmr_meter_633_B_5:measured_power.real,house_meter_633_B_1:measured_power.real,house_meter_633_B_2:measured_power.real,house_meter_633_B_3:measured_power.real,house_meter_633_B_4:measured_power.real,house_meter_633_B_5:measured_power.real,house_meter_633_B_6:measured_power.real,house_meter_633_B_7:measured_power.real,house_meter_633_B_8:measured_power.real,house_meter_633_B_9:measured_power.real,house_meter_633_B_10:measured_power.real,house_meter_633_B_11:measured_power.real,house_meter_633_B_12:measured_power.real,house_meter_633_B_13:measured_power.real,house_meter_633_B_14:measured_power.real,house_meter_633_B_15:measured_power.real,house_meter_633_B_16:measured_power.real,house_meter_633_B_17:measured_power.real,house_meter_633_B_18:measured_power.real,house_meter_633_B_19:measured_power.real
2021-01-06 00:00:00 UTC,7.5524e+04,3.8649e+04,3.9628e+03,9.8973e+03,1.8650e+04,4.3631e+03,4.3638e+03,4.3238e+03,4.6443e+03,4.7245e+03,5.4861e+03,5.6464e+03,5.1654e+03,4.1234e+03,2.4001e+02,3.2002e+02,3.2002e+02,7.6012e+02,2.8002e+02,1.6005e+03,1.2000e+02,3.2002e+02,2.4001e+02,1.6001e+02,2.4001e+02
2021-01-06 00:15:00 UTC,7.5787e+04,4.1159e+04,3.0415e+03,9.0142e+03,1.8369e+04,4.2030e+03,5.8469e+03,4.4039e+03,6.0073e+03,5.2456e+03,3.9231e+03,4.7646e+03,5.6064e+03,5.1654e+03,1.2000e+02,2.8002e+02,3.6003e+02,4.8005e+02,3.2002e+02,1.0002e+03,1.2000e+02,3.6003e+02,2.0001e+02,3.2002e+02,2.8002e+02
2021-01-06 00:30:00 UTC,7.4452e+04,4.0471e+04,4.3235e+03,9.2551e+03,1.6479e+04,3.9228e+03,6.1677e+03,6.3682e+03,4.2036e+03,4.2436e+03,5.3257e+03,5.0852e+03,4.7245e+03,4.1635e+03,1.2000e+02,4.8005e+02,3.2002e+02,1.9207e+03,2.4001e+02,3.2002e+02,4.8005e+02,4.4004e+02,3.2002e+02,3.2002e+02,1.2000e+02
2021-01-06 00:45:00 UTC,6.7517e+04,3.6305e+04,3.8832e+03,8.2520e+03,1.5394e+04,3.6824e+03,4.4841e+03,5.6063e+03,4.3638e+03,4.4440e+03,4.0834e+03,4.9249e+03,4.3238e+03,3.9231e+03,8.0001e+01,2.8002e+02,3.2002e+02,2.0408e+03,2.4001e+02,3.2002e+02,3.2002e+02,2.8002e+02,3.6003e+02,2.4001e+02,1.2000e+02
2021-01-06 01:00:00 UTC,7.1620e+04,4.1972e+04,3.4427e+03,8.4923e+03,1.4270e+04,3.4421e+03,6.4083e+03,4.4841e+03,5.4460e+03,4.4440e+03,3.7629e+03,8.2136e+03,5.4059e+03,3.6026e+03,8.0001e+01,2.8002e+02,3.2002e+02,1.9608e+03,1.2000e+02,1.6001e+02,2.4001e+02,2.8002e+02,2.8002e+02,2.0001e+02,1.2000e+02
2021-01-06 01:15:00 UTC,6.7217e+04,3.8933e+04,3.4425e+03,7.4501e+03,1.4149e+04,3.2418e+03,5.6464e+03,4.3638e+03,5.6063e+03,4.4440e+03,3.8830e+03,5.0451e+03,5.8068e+03,3.9632e+03,1.2000e+02,4.0003e+02,4.0003e+02,1.8006e+03,2.0001e+02,1.2000e+02,2.4001e+02,1.6001e+02,1.2000e+02,1.2000e+02,1.6001e+02
2021-01-06 01:30:00 UTC,6.8589e+04,3.9986e+04,3.9233e+03,7.4898e+03,1.3466e+04,3.7223e+03,4.4440e+03,4.4039e+03,4.6043e+03,6.8094e+03,5.3658e+03,5.8870e+03,4.2837e+03,4.0032e+03,1.2000e+02,3.6003e+02,6.0007e+02,2.0408e+03,2.4001e+02,1.6001e+02,2.8002e+02,1.2000e+02,1.2000e+02,1.6001e+02,1.6001e+02
2021-01-06 01:45:00 UTC,6.5552e+04,4.0637e+04,2.1607e+03,7.2091e+03,1.2262e+04,3.2819e+03,4.3638e+03,8.3341e+03,4.7245e+03,4.4039e+03,3.8430e+03,6.1276e+03,5.0051e+03,3.6427e+03,2.8002e+02,3.2002e+02,4.4004e+02,3.2002e+02,2.8002e+02,1.2000e+02,2.4001e+02,1.6001e+02,1.2000e+02,1.6001e+02,3.6003e+02
2021-01-06 02:00:00 UTC,6.9606e+04,4.0998e+04,2.1607e+03,1.0862e+04,1.2382e+04,3.2018e+03,6.2479e+03,4.2436e+03,6.0073e+03,4.2837e+03,5.2456e+03,4.5642e+03,6.4885e+03,3.7228e+03,2.4001e+02,2.4001e+02,6.4008e+02,3.2002e+02,1.2000e+02,2.0001e+02,2.0001e+02,2.0001e+02,1.6001e+02,1.6001e+02,2.8002e+02
2021-01-06 02:15:00 UTC,6.9561e+04,4.0230e+04,1.5604e+03,1.2509e+04,1.1579e+04,3.6822e+03,4.3638e+03,4.6844e+03,4.2436e+03,4.2436e+03,7.6117e+03,4.7245e+03,4.4440e+03,5.7266e+03,3.6003e+02,2.0001e+02,2.4001e+02,1.2000e+02,1.2000e+02,1.2000e+02,2.0001e+02,2.0001e+02,1.2000e+02,1.4004e+03,3.2002e+02
