# file...... 1Meter_684_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_A_20:measured_power.real,house_meter_684_A_21:measured_power.real,house_meter_684_A_22:measured_power.real,house_meter_684_A_23:measured_power.real,house_meter_684_A_24:measured_power.real,house_meter_684_A_25:measured_power.real,house_meter_684_A_26:measured_power.real,house_meter_684_A_27:measured_power.real,house_meter_684_A_28:measured_power.real,house_meter_684_A_29:measured_power.real,house_meter_684_A_30:measured_power.real,house_meter_684_A_31:measured_power.real,house_meter_684_A_32:measured_power.real,house_meter_684_A_33:measured_power.real,house_meter_684_A_34:measured_power.real,house_meter_684_A_35:measured_power.real,house_meter_684_A_36:measured_power.real,house_meter_684_A_37:measured_power.real,house_meter_684_A_38:measured_power.real,house_meter_684_A_39:measured_power.real,house_meter_684_A_40:measured_power.real
2021-01-06 00:00:00 UTC,7.6012e+02,1.9604e+03,4.4004e+02,1.0002e+03,3.6003e+02,7.2011e+02,8.0013e+02,4.0003e+02,1.8807e+03,8.8016e+02,7.6012e+02,7.2011e+02,8.4014e+02,1.4004e+03,1.1203e+03,5.2005e+02,4.4004e+02,4.4004e+02,4.8005e+02,2.4001e+02,5.6006e+02
2021-01-06 00:15:00 UTC,1.0002e+03,1.0402e+03,8.0013e+02,6.0007e+02,6.8009e+02,6.8009e+02,1.2403e+03,4.0003e+02,1.9207e+03,7.2010e+02,6.8009e+02,6.0007e+02,8.0013e+02,1.2803e+03,1.0002e+03,6.0007e+02,5.6006e+02,2.4001e+02,4.0003e+02,2.2407e+03,4.4004e+02
2021-01-06 00:30:00 UTC,7.6012e+02,8.4014e+02,4.0003e+02,8.0013e+02,4.0003e+02,7.6012e+02,6.0007e+02,4.0003e+02,1.9207e+03,8.0013e+02,9.6019e+02,6.4008e+02,9.2017e+02,1.2003e+03,2.3606e+03,6.4008e+02,2.4001e+02,2.0001e+02,8.8016e+02,1.8805e+03,6.4008e+02
2021-01-06 00:45:00 UTC,7.2010e+02,8.8016e+02,8.4014e+02,6.4008e+02,6.4008e+02,8.0013e+02,8.0013e+02,4.0003e+02,1.9207e+03,5.2005e+02,1.0402e+03,5.6006e+02,5.2005e+02,1.0802e+03,4.6826e+03,4.8005e+02,3.6003e+02,2.4001e+02,4.4004e+02,1.8405e+03,4.4004e+02
2021-01-06 01:00:00 UTC,4.4004e+02,6.0007e+02,4.8005e+02,8.0013e+02,5.6006e+02,6.4008e+02,1.0002e+03,8.4014e+02,1.8807e+03,8.4014e+02,6.4008e+02,6.0007e+02,8.0013e+02,1.2003e+03,3.8821e+03,6.0007e+02,5.2005e+02,2.8002e+02,3.2002e+02,1.8004e+03,4.4004e+02
2021-01-06 01:15:00 UTC,6.8009e+02,7.2011e+02,6.4008e+02,6.0007e+02,6.8009e+02,6.0007e+02,4.0003e+02,4.0003e+02,2.0008e+03,7.6012e+02,7.2011e+02,5.6006e+02,5.6006e+02,1.1203e+03,1.9605e+03,6.0007e+02,3.6003e+02,5.2005e+02,3.2002e+02,8.4008e+02,5.2005e+02
2021-01-06 01:30:00 UTC,4.8005e+02,4.8005e+02,8.0013e+02,9.2017e+02,4.4004e+02,4.8005e+02,6.8009e+02,2.8002e+02,1.8407e+03,9.6019e+02,7.6012e+02,6.0007e+02,5.2005e+02,8.8016e+02,1.0402e+03,5.2005e+02,3.2002e+02,5.2005e+02,3.2002e+02,4.8005e+02,3.6003e+02
2021-01-06 01:45:00 UTC,7.6012e+02,7.6012e+02,1.2003e+03,7.6012e+02,6.8009e+02,4.8005e+02,8.8016e+02,5.2005e+02,1.6806e+03,4.0003e+02,4.8005e+02,5.6006e+02,9.6019e+02,1.3204e+03,1.2803e+03,8.0013e+02,4.4004e+02,2.0001e+02,7.2010e+02,3.6003e+02,5.6006e+02
2021-01-06 02:00:00 UTC,4.8005e+02,6.4008e+02,9.6019e+02,9.6019e+02,4.8005e+02,4.0003e+02,4.8005e+02,6.8009e+02,1.8807e+03,1.0002e+03,5.2005e+02,5.6006e+02,5.6006e+02,8.4014e+02,9.6019e+02,6.0007e+02,3.6003e+02,2.4001e+02,4.8005e+02,2.4001e+02,5.6006e+02
2021-01-06 02:15:00 UTC,2.4412e+03,8.0013e+02,2.3611e+03,5.2005e+02,6.8009e+02,4.0003e+02,5.2005e+02,4.4004e+02,1.8007e+03,6.4008e+02,7.2010e+02,5.6006e+02,5.2005e+02,5.2005e+02,1.2803e+03,5.2005e+02,4.0003e+02,2.0001e+02,4.4004e+02,3.2002e+02,2.4001e+02
