# file...... 1Meter_652_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_24:measured_power,house_meter_652_A_25:measured_power,house_meter_652_A_26:measured_power,house_meter_652_A_27:measured_power,house_meter_652_A_28:measured_power,house_meter_652_A_29:measured_power,house_meter_652_A_30:measured_power,house_meter_652_A_31:measured_power,house_meter_652_A_32:measured_power,house_meter_652_A_33:measured_power,house_meter_652_A_34:measured_power,house_meter_652_A_35:measured_power,house_meter_652_A_36:measured_power,house_meter_652_A_37:measured_power,house_meter_652_A_38:measured_power,house_meter_652_A_39:measured_power,house_meter_652_A_40:measured_power
2021-01-06 03:00:00 UTC,+3802.95+0.0178202d,+1880.72+0.0088386d,+760.118+0.00357059d,+3242.15+0.0152452d,+7010.08+0.0330138d,+8735.67+0.0411696d,+7571.76+0.0356673d,+2761.56+0.0129828d,+2521.3+0.0118521d,+2881.7+0.0135261d,+13557.8+0.063917d,+2641.43+0.0123971d,+760.118+0.00356474d,+1120.26+0.00525446d,+2521.3+0.0118327d,+240.012+0.00112535d,+1960.79+0.00920005d
2021-01-06 03:15:00 UTC,+2361.13+0.0110283d,+1880.72+0.00882178d,+720.106+0.00337615d,+7651.99+0.0359777d,+5847+0.0274707d,+8414.51+0.0395752d,+10864.2+0.0511481d,+2801.6+0.0131462d,+840.144+0.00393913d,+5566.32+0.0260687d,+4764.63+0.0223068d,+7571.71+0.0354895d,+760.118+0.00355287d,+200.008+0.000934647d,+1880.72+0.00879471d,+320.021+0.00149555d,+1520.47+0.00710905d
2021-01-06 03:30:00 UTC,+2521.29+0.0117594d,+2961.79+0.0138719d,+7531.59+0.0353412d,+4163.54+0.01951d,+8615.18+0.0404437d,+5446.06+0.0255332d,+2841.65+0.0133086d,+2481.26+0.011619d,+680.094+0.00318234d,+6087.54+0.0284456d,+840.143+0.00391741d,+2641.42+0.0123254d,+760.117+0.00354415d,+240.012+0.00111885d,+2561.33+0.0119513d,+160.005+0.000745864d,+2080.88+0.00970759d
2021-01-06 03:45:00 UTC,+3242.14+0.0151533d,+1480.45+0.00694002d,+920.173+0.00431259d,+3362.31+0.0157739d,+6408.4+0.0301019d,+5005.12+0.0234968d,+2841.65+0.0133285d,+14523.3+0.0684476d,+720.106+0.00337466d,+2841.64+0.0132865d,+640.083+0.00299012d,+1760.63+0.00822847d,+4524.17+0.021168d,+280.016+0.00130789d,+2601.38+0.0121619d,+640.083+0.00299012d,+5125.36+0.0239867d
2021-01-06 04:00:00 UTC,+3001.84+0.0140599d,+1800.66+0.008468d,+2321.1+0.0109178d,+4524.2+0.0212998d,+6127.71+0.0288681d,+4564.27+0.0214888d,+2841.65+0.0133692d,+4403.98+0.0207328d,+12472+0.0589104d,+2801.6+0.0131258d,+680.094+0.00318355d,+3442.42+0.0161323d,+3202.09+0.0150046d,+200.008+0.000936064d,+2481.26+0.0116234d,+1880.72+0.00880806d,+2120.92+0.00993395d
2021-01-06 04:15:00 UTC,+3843.03+0.0180947d,+2681.48+0.0126794d,+760.119+0.00359137d,+3402.38+0.0160929d,+4965.08+0.0234995d,+4804.76+0.0227392d,+6047.54+0.0286355d,+2881.71+0.0136273d,+14081+0.0668971d,+2721.52+0.0128343d,+9860.03+0.0466357d,+7491.55+0.0353987d,+680.095+0.00320455d,+160.005+0.000753767d,+1840.7+0.00867734d,+560.064+0.00263884d,+2040.86+0.00962172d
2021-01-06 04:30:00 UTC,+2361.15+0.0111504d,+2241.04+0.0106748d,+1720.61+0.00819405d,+8214.03+0.0392234d,+10864.6+0.0519376d,+5365.98+0.0255931d,+14483.8+0.0693438d,+2761.58+0.0131571d,+13357.2+0.06392d,+8735.79+0.0415052d,+14000.7+0.0666652d,+2721.53+0.0128983d,+840.146+0.00397864d,+200.008+0.000946918d,+1200.3+0.00568505d,+2641.44+0.0125183d,+1200.3+0.00568505d
2021-01-06 04:45:00 UTC,+2241.03+0.0105347d,+3041.91+0.0143825d,+7571.83+0.0358675d,+3362.33+0.0158996d,+4884.92+0.023114d,+6889.79+0.0326275d,+2841.66+0.0134346d,+2321.11+0.0109712d,+12673.2+0.0601597d,+1680.58+0.00791202d,+13195.9+0.0624205d,+2561.35+0.012063d,+800.131+0.00376559d,+440.04+0.00207062d,+2681.48+0.0126293d,+480.047+0.00225891d,+1960.79+0.00923228d
2021-01-06 05:00:00 UTC,+3242.16+0.0152747d,+3963.24+0.0187595d,+760.119+0.00359317d,+3162.06+0.0149622d,+6408.48+0.0303643d,+6689.24+0.0316983d,+2961.81+0.0140135d,+12753.7+0.060588d,+720.107+0.00340397d,+2801.62+0.0132456d,+13477.6+0.0640021d,+1840.7+0.00869909d,+6649.12+0.031486d,+280.016+0.0013225d,+2801.62+0.0132456d,+2601.39+0.012298d,+3322.27+0.0157106d
2021-01-06 05:15:00 UTC,+3162.04+0.0148187d,+1160.28+0.00544891d,+760.118+0.0035691d,+5165.47+0.024298d,+6127.7+0.0288357d,+6288.11+0.0295925d,+2921.75+0.0137311d,+6047.5+0.0284574d,+1480.45+0.00695343d,+2681.47+0.012578d,+5766.8+0.0270847d,+2281.06+0.0106981d,+2000.82+0.00938267d,+240.012+0.00112471d,+2761.56+0.0129541d,+360.026+0.00168718d,+4243.68+0.0199187d
