# file...... Meter_684_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_C:measured_power,xfmr_meter_684_C_1:measured_power,xfmr_meter_684_C_2:measured_power,xfmr_meter_684_C_3:measured_power,xfmr_meter_684_C_4:measured_power,xfmr_meter_684_C_5:measured_power,house_meter_684_C_1:measured_power,house_meter_684_C_2:measured_power,house_meter_684_C_3:measured_power,house_meter_684_C_4:measured_power,house_meter_684_C_5:measured_power,house_meter_684_C_6:measured_power,house_meter_684_C_7:measured_power,house_meter_684_C_8:measured_power,house_meter_684_C_9:measured_power,house_meter_684_C_10:measured_power,house_meter_684_C_11:measured_power,house_meter_684_C_12:measured_power,house_meter_684_C_13:measured_power,house_meter_684_C_14:measured_power,house_meter_684_C_15:measured_power,house_meter_684_C_16:measured_power,house_meter_684_C_17:measured_power,house_meter_684_C_18:measured_power,house_meter_684_C_19:measured_power,house_meter_684_C_20:measured_power,house_meter_684_C_21:measured_power,house_meter_684_C_22:measured_power,house_meter_684_C_23:measured_power
2021-01-06 02:30:00 UTC,+56243.2+148.31j,+14758.7+44.0044j,+5765.16+6.41344j,+5364.4+5.5254j,+12506.7+31.1405j,+17848+60.883j,+4844.87+0.0230863d,+2641.45+0.0125752d,+2921.77+0.0139114d,+2120.93+0.010095d,+600.075+0.00285438d,+520.056+0.00247368d,+640.085+0.00304475d,+440.04+0.00209301d,+680.096+0.00322969d,+1040.22+0.00494062d,+520.056+0.00246952d,+360.027+0.0017095d,+520.056+0.00246952d,+1640.4+0.00558672d,+520.056+0.00246952d,+480.048+0.0022795d,+360.027+0.00170937d,+240.012+0.0011395d,+520.056+0.00246933d,+1040.22+0.00494025d,+1000.21+0.00475013d,+640.085+0.0030394d,+1120.17+0.00352879d
2021-01-06 02:45:00 UTC,+59337.3+162.682j,+15685.4+50.369j,+6446.36+7.98298j,+5925.34+6.73384j,+13471.9+36.5169j,+17808+60.7048j,+2080.9+0.00990874d,+3001.87+0.0142996d,+2841.68+0.0135357d,+5646.62+0.0269277d,+400.033+0.00190353d,+600.075+0.00285566d,+520.056+0.00247478d,+560.065+0.00266521d,+520.056+0.0024705d,+1320.36+0.00627439d,+560.065+0.00266061d,+600.075+0.00285072d,+640.085+0.00304084d,+1600.4+0.00566678d,+640.085+0.00304084d,+560.065+0.00266061d,+520.056+0.00247026d,+360.027+0.00171001d,+920.175+0.00437155d,+320.021+0.00151997d,+1040.22+0.00494212d,+720.107+0.00342079d,+1120.26+0.00532254d
2021-01-06 03:00:00 UTC,+59915.6+177.786j,+17543.7+65.7553j,+5725.17+6.35729j,+4844.1+4.71068j,+13510.5+36.0779j,+18291.8+64.4843j,+2120.93+0.010096d,+7973.21+0.0380465d,+3362.35+0.0160137d,+2080.9+0.00990531d,+400.033+0.00190288d,+400.033+0.00190288d,+480.048+0.00228356d,+680.096+0.00323545d,+440.04+0.00208859d,+1040.22+0.0049385d,+560.065+0.0026584d,+400.033+0.00189867d,+680.096+0.0032283d,+1720.45+0.00594351d,+520.056+0.00246845d,+360.027+0.00170876d,+1160.28+0.00550783d,+480.048+0.00227814d,+280.016+0.00132875d,+400.033+0.00189836d,+1600.53+0.00759909d,+280.016+0.00132875d,+360.027+0.00170848d
2021-01-06 03:15:00 UTC,+58781.8+166.885j,+18381+68.686j,+5524.8+5.92283j,+5284.4+5.4205j,+13270.3+35.1901j,+16320.9+51.2828j,+2040.87+0.0097334d,+3803.01+0.0181508d,+6528.87+0.0311961d,+2241.04+0.010689d,+720.108+0.00343249d,+440.04+0.00209727d,+560.065+0.00266945d,+2000.83+0.00954231d,+560.065+0.00266302d,+960.191+0.00456631d,+360.027+0.00171173d,+400.033+0.00190197d,+760.12+0.00361455d,+1640.4+0.00559403d,+400.033+0.00190197d,+440.04+0.00209222d,+440.04+0.00209212d,+240.012+0.00114101d,+400.033+0.00190188d,+1120.26+0.00532765d,+1000.21+0.00475648d,+1080.24+0.00513725d,+360.027+0.00171165d
2021-01-06 03:30:00 UTC,+54196+136.405j,+15120.1+45.9496j,+6045.57+7.01013j,+5003.9+4.83527j,+12709+32.7358j,+15317.2+45.5621j,+2120.93+0.0100919d,+3803+0.0181083d,+4163.6+0.0198282d,+2841.67+0.0135254d,+680.096+0.00323414d,+680.096+0.00323414d,+360.027+0.00171185d,+440.04+0.00209236d,+480.048+0.00227876d,+1120.26+0.00531923d,+600.074+0.00284867d,+600.074+0.00284867d,+520.056+0.00246872d,+1560.37+0.00548131d,+480.048+0.00227876d,+680.096+0.00322865d,+320.021+0.00151873d,+440.04+0.00208841d,+720.107+0.00341799d,+360.027+0.00170861d,+1120.26+0.00531819d,+320.021+0.00151873d,+1000.21+0.00474803d
2021-01-06 03:45:00 UTC,+53351.7+132.432j,+15119.2+45.65j,+5444.69+5.76161j,+5084.41+5.15311j,+13391.3+36.0374j,+14311.7+39.5253j,+2000.83+0.00953348d,+3162.08+0.0150738d,+3722.88+0.0177513d,+3682.82+0.01756d,+360.027+0.00171427d,+520.056+0.00247642d,+440.04+0.00209533d,+1200.3+0.00571724d,+400.033+0.00190135d,+1080.24+0.00513581d,+560.065+0.00266215d,+400.033+0.00190135d,+400.033+0.00190135d,+1600.4+0.00567008d,+520.056+0.00247194d,+480.048+0.00228173d,+760.12+0.00361313d,+240.012+0.00114062d,+840.146+0.00399365d,+400.033+0.00190122d,+1680.58+0.00799148d,+640.085+0.00304241d,+240.012+0.00114062d
2021-01-06 04:00:00 UTC,+56451.3+153.685j,+19506.3+76.3882j,+5845.43+6.65022j,+5644.76+6.0771j,+12668.1+32.2683j,+12786.3+31.9499j,+5766.92+0.0275384d,+3602.7+0.0171882d,+3162.08+0.0150833d,+4003.33+0.0191028d,+560.065+0.00266866d,+520.056+0.00247798d,+600.075+0.00285935d,+1240.32+0.00591167d,+720.107+0.00342269d,+960.191+0.00456427d,+400.033+0.00190112d,+520.056+0.00247164d,+480.048+0.00228145d,+1840.52+0.00649418d,+480.048+0.00228145d,+440.04+0.00209128d,+600.075+0.00285192d,+720.107+0.00342256d,+400.033+0.00190105d,+760.12+0.00361279d,+1080.24+0.00513499d,+800.133+0.00380304d,+400.033+0.00190105d
2021-01-06 04:15:00 UTC,+56024.3+166.532j,+21848.9+98.1657j,+6606.51+8.32631j,+4603.26+4.08421j,+14795+42.7095j,+8170.28+12.8689j,+2120.94+0.0101285d,+7652.21+0.0366275d,+2721.54+0.013d,+5606.55+0.026813d,+560.065+0.00267286d,+600.075+0.00286385d,+480.048+0.00229091d,+2040.87+0.00974582d,+600.075+0.00285565d,+880.161+0.00418902d,+640.085+0.00304611d,+680.096+0.00323657d,+560.065+0.00266521d,+1560.36+0.00524072d,+1080.24+0.00514171d,+600.075+0.00285565d,+240.012+0.00114158d,+800.133+0.00380658d,+400.033+0.00190282d,+600.075+0.00285458d,+880.161+0.00418745d,+360.027+0.0017125d,+920.175+0.0043779d
2021-01-06 04:30:00 UTC,+47650.3+107.741j,+14916.5+43.9099j,+7168.84+10.3094j,+4964.31+4.97276j,+14274.5+40.6405j,+6325.97+7.6602j,+2120.94+0.0101612d,+3522.59+0.0168862d,+2921.78+0.0140026d,+2120.94+0.0101612d,+520.056+0.00248987d,+520.056+0.00248987d,+520.056+0.00248987d,+2641.46+0.0126577d,+680.096+0.00325155d,+440.04+0.00210363d,+680.096+0.00325155d,+440.04+0.00210363d,+400.033+0.00191234d,+1960.63+0.00736367d,+2160.97+0.010338d,+400.033+0.00191234d,+480.048+0.00229398d,+240.012+0.00114682d,+440.04+0.00210276d,+360.027+0.00172035d,+1720.62+0.00822646d,+1000.21+0.00478067d,+280.016+0.00133799d
2021-01-06 04:45:00 UTC,+55250.5+147.797j,+18905.8+73.3981j,+10461.7+23.0832j,+6366.09+7.77523j,+13391.1+36.0684j,+6125.5+7.1403j,+2521.33+0.0120869d,+3722.9+0.0178561d,+6930.05+0.0332832d,+2120.94+0.0101658d,+520.056+0.00249101d,+400.033+0.00191601d,+600.075+0.00287438d,+2040.87+0.00978172d,+640.085+0.0030612d,+1000.21+0.0047842d,+440.04+0.00210431d,+360.027+0.00172162d,+440.04+0.00210431d,+4163.22+0.0177733d,+3001.88+0.0143706d,+400.033+0.00191296d,+1160.28+0.00554595d,+640.085+0.00305884d,+960.192+0.00458918d,+840.147+0.00401523d,+960.192+0.00458918d,+320.021+0.00152912d,+560.065+0.00267635d
