# file...... Meter_633_C_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_C:measured_power.real,xfmr_meter_633_C_1:measured_power.real,xfmr_meter_633_C_2:measured_power.real,xfmr_meter_633_C_3:measured_power.real,xfmr_meter_633_C_4:measured_power.real,xfmr_meter_633_C_5:measured_power.real,house_meter_633_C_1:measured_power.real,house_meter_633_C_2:measured_power.real,house_meter_633_C_3:measured_power.real,house_meter_633_C_4:measured_power.real,house_meter_633_C_5:measured_power.real,house_meter_633_C_6:measured_power.real,house_meter_633_C_7:measured_power.real,house_meter_633_C_8:measured_power.real,house_meter_633_C_9:measured_power.real,house_meter_633_C_10:measured_power.real,house_meter_633_C_11:measured_power.real,house_meter_633_C_12:measured_power.real,house_meter_633_C_13:measured_power.real,house_meter_633_C_14:measured_power.real,house_meter_633_C_15:measured_power.real,house_meter_633_C_16:measured_power.real,house_meter_633_C_17:measured_power.real,house_meter_633_C_18:measured_power.real,house_meter_633_C_19:measured_power.real
2021-01-06 00:00:00 UTC,8.6658e+04,6.2465e+03,1.8054e+04,1.9577e+04,2.1955e+04,2.0825e+04,6.8009e+02,3.6003e+02,4.0003e+02,5.2006e+02,3.6003e+02,1.7206e+03,5.6006e+02,1.6406e+03,5.4461e+03,1.9608e+03,1.2803e+03,4.0003e+02,1.4404e+03,3.0419e+03,1.4805e+03,2.9618e+03,3.2422e+03,1.1203e+03,2.8817e+03
2021-01-06 00:15:00 UTC,8.8502e+04,7.5715e+03,8.6125e+03,2.4816e+04,2.0425e+04,2.7076e+04,4.8005e+02,3.2002e+02,4.0003e+02,5.6006e+02,3.6003e+02,1.4804e+03,5.2006e+02,3.4424e+03,2.6014e+03,3.2002e+02,1.2803e+03,4.0003e+02,1.5205e+03,5.6006e+02,1.5205e+03,4.0003e+02,4.4841e+03,4.4004e+02,4.2437e+03
2021-01-06 00:30:00 UTC,7.8882e+04,5.5254e+03,8.7730e+03,2.1878e+04,1.9016e+04,2.3689e+04,4.0003e+02,4.0003e+02,3.6003e+02,4.0003e+02,3.2002e+02,2.1209e+03,5.2006e+02,1.0002e+03,2.3611e+03,3.2002e+02,1.2403e+03,3.2002e+02,2.1610e+03,5.2006e+02,1.4804e+03,3.6003e+02,4.3238e+03,4.8005e+02,4.1636e+03
2021-01-06 00:45:00 UTC,6.7670e+04,3.6020e+03,8.4118e+03,1.8097e+04,1.3751e+04,2.3807e+04,3.2002e+02,2.8002e+02,3.6003e+02,3.2002e+02,4.0003e+02,5.6006e+02,4.8005e+02,8.8016e+02,2.3611e+03,3.2002e+02,1.5205e+03,3.2002e+02,1.4804e+03,5.2006e+02,1.5205e+03,3.6003e+02,4.0434e+03,5.6006e+02,4.0434e+03
2021-01-06 01:00:00 UTC,6.5217e+04,3.8422e+03,9.1744e+03,1.2509e+04,1.8860e+04,2.0831e+04,3.6003e+02,3.6003e+02,4.4004e+02,3.6003e+02,4.0003e+02,5.6006e+02,5.2006e+02,8.4014e+02,2.4012e+03,3.6003e+02,1.2803e+03,3.2002e+02,1.4404e+03,5.2006e+02,2.5213e+03,3.2002e+02,1.1203e+03,4.0003e+02,1.4004e+03
2021-01-06 01:15:00 UTC,6.0883e+04,3.6019e+03,8.6935e+03,1.0103e+04,2.1925e+04,1.6559e+04,3.6003e+02,3.2002e+02,3.6003e+02,3.6003e+02,3.6003e+02,4.8005e+02,4.8005e+02,8.8016e+02,2.3611e+03,2.8002e+02,2.6815e+03,3.6003e+02,1.4804e+03,4.8005e+02,6.8009e+02,3.6003e+02,2.4001e+02,2.8002e+02,3.6003e+02
2021-01-06 01:30:00 UTC,6.0106e+04,4.7640e+03,9.8579e+03,9.9424e+03,2.0469e+04,1.5072e+04,2.8002e+02,2.8002e+02,3.2002e+02,3.2002e+02,1.8007e+03,4.8005e+02,4.8005e+02,8.0013e+02,3.8430e+03,4.0003e+02,7.2011e+02,1.8407e+03,1.5605e+03,6.0007e+02,6.4008e+02,2.4001e+02,3.2002e+02,3.2002e+02,4.0003e+02
2021-01-06 01:45:00 UTC,6.3751e+04,3.8422e+03,5.6456e+03,1.0143e+04,2.2644e+04,2.1475e+04,3.2002e+02,3.6003e+02,4.4004e+02,3.6003e+02,4.0003e+02,5.2006e+02,4.8005e+02,9.6019e+02,1.7606e+03,2.8002e+02,3.6003e+02,3.2002e+02,1.5605e+03,4.4004e+02,6.0007e+02,3.2002e+02,3.6003e+02,3.6003e+02,3.6003e+02
2021-01-06 02:00:00 UTC,5.9962e+04,5.3653e+03,5.9662e+03,7.5733e+03,2.0550e+04,2.0507e+04,4.4004e+02,3.2002e+02,3.6003e+02,3.2002e+02,3.6003e+02,4.4004e+02,2.1610e+03,9.6019e+02,5.2006e+02,3.6003e+02,4.4004e+02,3.6003e+02,1.4004e+03,2.0008e+03,6.0007e+02,2.8002e+02,2.8002e+02,4.0003e+02,3.2002e+02
2021-01-06 02:15:00 UTC,5.5108e+04,3.2015e+03,5.6056e+03,4.6850e+03,2.1314e+04,2.0301e+04,2.4001e+02,3.2002e+02,3.2002e+02,2.8002e+02,3.6003e+02,5.2006e+02,4.4004e+02,7.2011e+02,4.0003e+02,2.8002e+02,2.8002e+02,2.4001e+02,1.4404e+03,4.8005e+02,6.0007e+02,1.8807e+03,2.4001e+02,4.0003e+02,2.8002e+02
2021-01-06 02:30:00 UTC,5.9403e+04,5.0851e+03,5.5662e+03,2.6010e+03,1.8347e+04,2.7803e+04,2.0001e+02,3.6003e+02,4.8005e+02,3.6003e+02,3.2002e+02,4.4004e+02,5.6006e+02,2.3611e+03,4.0003e+02,3.6003e+02,3.6003e+02,3.6003e+02,2.6014e+03,5.6006e+02,6.4008e+02,2.8002e+02,2.8002e+02,2.8002e+02,3.6003e+02
