# file...... Meter_652A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power,xfmr_meter_652_A_1:measured_power,xfmr_meter_652_A_2:measured_power,xfmr_meter_652_A_3:measured_power,xfmr_meter_652_A_4:measured_power,xfmr_meter_652_A_5:measured_power,house_meter_652_A_1:measured_power,house_meter_652_A_2:measured_power,house_meter_652_A_3:measured_power,house_meter_652_A_4:measured_power,house_meter_652_A_5:measured_power,house_meter_652_A_6:measured_power,house_meter_652_A_7:measured_power,house_meter_652_A_8:measured_power,house_meter_652_A_9:measured_power,house_meter_652_A_10:measured_power,house_meter_652_A_11:measured_power,house_meter_652_A_12:measured_power,house_meter_652_A_13:measured_power,house_meter_652_A_14:measured_power,house_meter_652_A_15:measured_power,house_meter_652_A_16:measured_power,house_meter_652_A_17:measured_power,house_meter_652_A_18:measured_power,house_meter_652_A_19:measured_power,house_meter_652_A_20:measured_power,house_meter_652_A_21:measured_power,house_meter_652_A_22:measured_power,house_meter_652_A_23:measured_power
2021-01-06 02:30:00 UTC,+104614+744.035j,+9133.03+15.9663j,+9453.48+16.9148j,+13507.6+34.5769j,+56598.6+620.514j,+15920+54.0081j,+1240.31+0.00580587d,+2681.47+0.0125592d,+760.118+0.00355739d,+720.095+0.00301642d,+960.188+0.00449409d,+1040.22+0.00486884d,+760.118+0.00355739d,+960.188+0.00449409d,+840.144+0.00393227d,+1480.45+0.00693101d,+720.106+0.00337027d,+640.084+0.00299565d,+1880.72+0.00880641d,+1080.24+0.00505652d,+1960.78+0.0091816d,+840.144+0.00393227d,+200.008+0.000936587d,+1720.6+0.00806217d,+1840.69+0.00862528d,+1800.66+0.00843756d,+1000.2+0.00468524d,+1840.69+0.00862528d,+2601.38+0.0121936d
2021-01-06 02:45:00 UTC,+107442+637.243j,+11099.2+23.554j,+9533.82+17.2499j,+12704.4+30.594j,+42869.4+360.86j,+31233.5+203.266j,+2361.14+0.0110669d,+2681.47+0.0125699d,+1600.52+0.00749947d,+760.118+0.00356042d,+840.144+0.00393539d,+760.118+0.00356042d,+880.158+0.00412289d,+1200.29+0.00562323d,+640.084+0.00299716d,+840.144+0.00393425d,+760.118+0.00355939d,+760.118+0.00355939d,+2040.85+0.00956165d,+1600.52+0.00749731d,+1880.72+0.00881085d,+1000.2+0.0046841d,+200.008+0.000936908d,+1720.6+0.00806491d,+1760.63+0.00825267d,+1720.6+0.00806491d,+840.144+0.00393655d,+1880.72+0.008816d,+2080.88+0.00975507d
2021-01-06 03:00:00 UTC,+96734.6+465.578j,+9093.07+15.8772j,+12543.6+29.7116j,+14673.7+41.231j,+34636+232.928j,+25787.3+144.581j,+880.158+0.00411517d,+2761.55+0.0129215d,+800.13+0.00374088d,+1360.38+0.00636168d,+720.106+0.00336663d,+960.188+0.0044895d,+880.144+0.00375806d,+720.106+0.00336663d,+1880.72+0.00880247d,+640.083+0.00299431d,+1600.52+0.00749018d,+1200.29+0.00561626d,+1720.6+0.00805254d,+2801.6+0.0131175d,+1800.66+0.00842749d,+880.158+0.00411778d,+680.094+0.00318278d,+1800.66+0.0084308d,+1760.63+0.00824325d,+1720.6+0.0080557d,+440.039+0.00205915d,+1800.66+0.0084308d,+2641.42+0.0123715d
2021-01-06 03:15:00 UTC,+95096.5+482.033j,+7729.8+11.5963j,+10256.2+19.9973j,+15234.6+43.6332j,+39220.3+301.716j,+22654.6+103.775j,+680.094+0.00317001d,+2641.42+0.0123218d,+640.083+0.00298347d,+600.064+0.00244887d,+680.094+0.00317001d,+1040.22+0.00484932d,+760.117+0.00354313d,+680.094+0.00317001d,+840.143+0.00391809d,+600.073+0.00279823d,+640.083+0.00298485d,+640.083+0.00298485d,+1880.72+0.00877463d,+1480.45+0.006906d,+1840.69+0.00858773d,+2321.1+0.0108312d,+1520.47+0.00709932d,+1840.69+0.00859559d,+1920.75+0.00896975d,+2961.79+0.0138372d,+360.026+0.00168023d,+1760.63+0.00822147d,+2481.25+0.0115899d
2021-01-06 03:30:00 UTC,+81209.2+345.401j,+8291.14+13.2772j,+9493.75+17.0633j,+13146.5+32.7818j,+34872.7+233.097j,+15404.4+48.2239j,+960.187+0.00447152d,+2761.55+0.0128697d,+680.094+0.00316679d,+560.064+0.00260775d,+800.13+0.00372591d,+680.094+0.00316679d,+960.172+0.00411442d,+880.157+0.0040987d,+600.073+0.0027947d,+880.157+0.0040996d,+640.083+0.00298109d,+720.105+0.00335389d,+1720.6+0.00801696d,+1000.2+0.00465898d,+2040.85+0.00951034d,+1880.72+0.00876358d,+240.012+0.00111839d,+1840.69+0.00858266d,+1880.72+0.00876945d,+1920.75+0.00895625d,+360.026+0.0016777d,+2241.02+0.010451d,+2120.91+0.0098904d
2021-01-06 03:45:00 UTC,+89645.5+409.534j,+9133.06+15.9422j,+11139.4+23.7159j,+15477.3+45.7041j,+35437.1+256.229j,+18457.7+66.8454j,+920.172+0.00429167d,+2641.42+0.0123282d,+800.13+0.00373161d,+720.105+0.00335829d,+1560.49+0.00728002d,+760.117+0.00354495d,+760.117+0.00354495d,+960.187+0.00447837d,+720.105+0.00335953d,+960.187+0.00448002d,+720.105+0.00335953d,+640.083+0.0029861d,+1880.72+0.00877831d,+1360.38+0.00634825d,+1880.72+0.00877831d,+2961.78+0.0138303d,+480.047+0.00224114d,+1720.6+0.00803684d,+1920.75+0.00897246d,+1880.72+0.00878532d,+360.026+0.00168073d,+3121.98+0.014591d,+2721.51+0.0127172d
2021-01-06 04:00:00 UTC,+89477+429.176j,+8812.45+14.9817j,+9694.36+17.8452j,+14873.7+41.9825j,+39251.5+299.011j,+16844.1+54.1609j,+760.118+0.003553d,+2641.42+0.0123562d,+600.073+0.00280473d,+800.118+0.00338478d,+600.073+0.00280473d,+1080.24+0.00504999d,+1640.55+0.00767113d,+680.094+0.00317885d,+720.106+0.00336647d,+640.083+0.00299227d,+640.083+0.00299227d,+720.106+0.00336647d,+1840.69+0.00860909d,+1320.36+0.00617412d,+1800.66+0.00842172d,+2000.82+0.00935862d,+680.094+0.0031824d,+1920.75+0.00899241d,+1960.78+0.00917998d,+1720.6+0.00805471d,+440.039+0.00205889d,+2681.47+0.0125578d,+2441.22+0.0114315d
2021-01-06 04:15:00 UTC,+98102.9+524.307j,+8972.86+15.5617j,+9333.33+16.6055j,+14513.3+40.5722j,+39833.5+314.754j,+25448.9+135.4j,+1440.42+0.00676853d,+2681.47+0.0126066d,+760.118+0.00357079d,+640.084+0.00300676d,+600.074+0.00281877d,+1200.29+0.00563961d,+960.174+0.00415076d,+680.095+0.00319476d,+600.074+0.00281895d,+640.084+0.00300696d,+840.144+0.00394712d,+600.074+0.00281895d,+1880.72+0.00883968d,+1320.36+0.00620444d,+1880.72+0.00883968d,+1560.5+0.00733361d,+320.021+0.00150462d,+1800.66+0.00847123d,+1720.61+0.00809433d,+1840.69+0.00865969d,+680.095+0.00319803d,+1960.79+0.00922513d,+2321.1+0.010922d
2021-01-06 04:30:00 UTC,+121527+972.735j,+8050.54+12.6351j,+8892.05+15.0916j,+13427.5+34.4322j,+59462.4+692.368j,+31692.6+215.566j,+800.131+0.0037724d,+2561.35+0.0120848d,+640.084+0.00301762d,+640.084+0.00301762d,+720.106+0.00339499d,+680.095+0.0032063d,+720.106+0.00339499d,+1280.34+0.00603762d,+800.131+0.00377299d,+680.095+0.0032068d,+720.106+0.00339552d,+640.084+0.00301809d,+1880.73+0.00887243d,+1200.3+0.00566088d,+1840.7+0.00868344d,+1120.26+0.00528322d,+440.04+0.00207643d,+1760.64+0.00831249d,+1720.61+0.00812337d,+1880.73+0.00887991d,+640.084+0.00302063d,+1920.76+0.00906907d,+2681.48+0.0126649d
2021-01-06 04:45:00 UTC,+100704+574.923j,+7769.94+11.7813j,+10618.5+21.9604j,+14592.7+40.622j,+43829.2+372.058j,+23892.8+126.945j,+760.118+0.00356654d,+2641.43+0.0124033d,+640.084+0.00300318d,+680.084+0.00283763d,+680.095+0.00319095d,+560.064+0.00262765d,+840.144+0.00394215d,+960.188+0.00450565d,+640.084+0.00300476d,+880.158+0.00413215d,+640.084+0.00300476d,+720.106+0.00338052d,+2000.82+0.00939771d,+1360.38+0.00638793d,+3282.21+0.0154244d,+1080.24+0.0050719d,+560.064+0.00263097d,+1920.76+0.00902799d,+3041.9+0.0143042d,+1800.66+0.00846312d,+400.033+0.00187908d,+2080.89+0.00978129d,+2521.3+0.0118536d
