# file...... 1Meter_633_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_A_24:measured_power,house_meter_633_A_25:measured_power,house_meter_633_A_26:measured_power,house_meter_633_A_27:measured_power,house_meter_633_A_28:measured_power,house_meter_633_A_29:measured_power,house_meter_633_A_30:measured_power,house_meter_633_A_31:measured_power,house_meter_633_A_32:measured_power,house_meter_633_A_33:measured_power,house_meter_633_A_34:measured_power,house_meter_633_A_35:measured_power,house_meter_633_A_36:measured_power,house_meter_633_A_37:measured_power,house_meter_633_A_38:measured_power,house_meter_633_A_39:measured_power,house_meter_633_A_40:measured_power
2021-01-06 00:00:00 UTC,+560.063+0.00260087d,+200.008+0.000928134d,+240.012+0.00111379d,+240.012+0.00111379d,+240.012+0.00111379d,+1720.6+0.00798927d,+360.026+0.0016708d,+320.021+0.00148512d,+320.021+0.00148512d,+160.005+0.0007455d,+3602.41+0.015381d,+200.008+0.000931896d,+120.003+0.000559113d,+5045.18+0.0235531d,+4965.01+0.0231781d,+5606.39+0.0261791d,+5927.15+0.0276805d
2021-01-06 00:15:00 UTC,+520.055+0.00240742d,+160.005+0.000740179d,+360.026+0.0016656d,+160.005+0.000740179d,+160.005+0.000740179d,+1120.25+0.00518427d,+360.026+0.0016656d,+360.026+0.0016656d,+320.021+0.0014805d,+280.016+0.00130042d,+2561.14+0.0101909d,+280.016+0.00130042d,+160.005+0.000743041d,+6849.52+0.0318946d,+4924.92+0.0229148d,+4283.72+0.0199263d,+4724.52+0.0219807d
2021-01-06 00:30:00 UTC,+600.073+0.00278094d,+280.016+0.00129657d,+160.005+0.000740846d,+160.005+0.000740846d,+240.012+0.00111132d,+560.063+0.00259359d,+200.008+0.00092608d,+240.012+0.00111132d,+440.039+0.00203767d,+160.005+0.000743979d,+240.008+0.000806013d,+240.012+0.00111602d,+320.021+0.0014881d,+6087.52+0.0283735d,+8615.08+0.0401956d,+5045.17+0.0235052d,+4564.23+0.0212603d
2021-01-06 00:45:00 UTC,+800.129+0.00371282d,+160.005+0.000741724d,+240.012+0.00111264d,+280.016+0.00129811d,+360.026+0.00166908d,+480.047+0.0022256d,+360.026+0.00166908d,+280.016+0.00129811d,+360.026+0.00166908d,+160.005+0.000744932d,+160.005+0.000744932d,+240.012+0.00111745d,+160.005+0.000744932d,+4323.8+0.0201643d,+6047.43+0.0282223d,+6769.32+0.0316005d,+8133.46+0.0379897d
2021-01-06 01:00:00 UTC,+760.117+0.00353188d,+200.008+0.000928012d,+320.021+0.00148493d,+200.008+0.000928012d,+160.005+0.000742391d,+320.021+0.00148493d,+320.021+0.00148493d,+360.026+0.00167058d,+360.026+0.00167058d,+240.012+0.0011176d,+200.008+0.000931314d,+240.012+0.0011176d,+200.008+0.000931314d,+5285.68+0.0246631d,+5686.57+0.026538d,+4444.01+0.0207288d,+5285.68+0.0246631d
2021-01-06 01:15:00 UTC,+800.13+0.00372386d,+200.008+0.000929127d,+200.008+0.000929127d,+120.003+0.000557449d,+200.008+0.000929127d,+280.016+0.00130084d,+280.016+0.00130084d,+680.094+0.00315995d,+200.008+0.000929127d,+240.012+0.00111896d,+240.012+0.00111896d,+280.016+0.00130548d,+200.008+0.000932444d,+6207.85+0.029012d,+4965.02+0.023192d,+4884.85+0.0228168d,+4524.16+0.0211289d
2021-01-06 01:30:00 UTC,+2321.09+0.0107852d,+240.012+0.00111233d,+200.008+0.000926919d,+320.021+0.00148318d,+320.021+0.00148318d,+360.026+0.00166862d,+240.012+0.00111233d,+200.008+0.000926919d,+320.021+0.00148318d,+160.005+0.000745591d,+240.012+0.00111844d,+160.005+0.000745591d,+240.012+0.00111844d,+5285.68+0.0246816d,+10783.7+0.0504679d,+8695.4+0.0406598d,+6368.25+0.0297498d
2021-01-06 01:45:00 UTC,+600.073+0.00278164d,+160.005+0.000740785d,+320.021+0.00148171d,+120.003+0.000555575d,+200.008+0.000926003d,+320.021+0.00148171d,+400.032+0.00185223d,+440.039+0.0020375d,+400.032+0.00185223d,+200.008+0.000930732d,+160.005+0.000744567d,+320.021+0.00148928d,+160.005+0.000744567d,+4604.3+0.0214643d,+10181.1+0.0475702d,+8655.24+0.0404156d,+5766.76+0.0268962d
2021-01-06 02:00:00 UTC,+440.039+0.00203785d,+160.005+0.00073994d,+240.012+0.00110996d,+160.005+0.00073994d,+240.012+0.00110996d,+240.012+0.00110996d,+280.016+0.00129499d,+400.032+0.00185012d,+280.016+0.00129499d,+240.012+0.00111425d,+360.026+0.00167149d,+200.008+0.000928518d,+160.005+0.000742796d,+4484.07+0.020853d,+8574.92+0.0399437d,+4323.79+0.0201063d,+4684.45+0.0217866d
2021-01-06 02:15:00 UTC,+640.083+0.00297068d,+280.016+0.00129732d,+160.005+0.000741272d,+320.021+0.00148269d,+280.016+0.00129732d,+320.021+0.00148269d,+200.008+0.000926612d,+320.021+0.00148269d,+240.012+0.00111196d,+120.003+0.000558368d,+160.005+0.000744509d,+200.008+0.000930658d,+280.016+0.00130299d,+7330.92+0.0342106d,+8414.4+0.0392841d,+4604.3+0.0214627d,+4724.53+0.0220242d
2021-01-06 02:30:00 UTC,+400.032+0.00185806d,+160.005+0.00074209d,+320.021+0.00148432d,+160.005+0.00074209d,+240.012+0.00111319d,+360.026+0.00166991d,+360.026+0.00166991d,+280.016+0.00129875d,+320.021+0.00148432d,+240.012+0.00111736d,+280.016+0.00130361d,+320.021+0.00148988d,+120.003+0.000558636d,+4403.94+0.0205369d,+6007.34+0.0280323d,+5285.68+0.0246576d,+5887.04+0.0274697d
2021-01-06 02:45:00 UTC,+640.083+0.00297429d,+200.008+0.000928253d,+240.012+0.00111393d,+160.005+0.000742585d,+280.016+0.00129962d,+240.012+0.00111393d,+280.016+0.00129962d,+280.016+0.00129962d,+400.032+0.00185673d,+200.008+0.000932174d,+320.021+0.00149159d,+280.016+0.00130511d,+200.008+0.000932174d,+5646.49+0.0263748d,+5365.86+0.0250611d,+6207.84+0.0290036d,+6769.33+0.0316341d
2021-01-06 03:00:00 UTC,+560.063+0.0026026d,+240.012+0.00111406d,+160.005+0.000742669d,+280.016+0.00129977d,+240.012+0.00111406d,+280.016+0.00129977d,+240.012+0.00111406d,+400.032+0.00185694d,+240.012+0.00111406d,+160.005+0.000745818d,+200.008+0.000932295d,+200.008+0.000932295d,+280.016+0.00130528d,+6969.89+0.0325783d,+8253.88+0.0386001d,+4524.16+0.0211255d,+4484.09+0.0209381d
2021-01-06 03:15:00 UTC,+640.083+0.00296737d,+120.003+0.000555659d,+320.021+0.00148194d,+120.003+0.000555659d,+280.016+0.00129666d,+360.026+0.00166722d,+360.026+0.00166722d,+200.008+0.000926143d,+240.012+0.0011114d,+240.012+0.00111566d,+240.012+0.00111566d,+280.016+0.00130164d,+120.003+0.00055779d,+8093.31+0.0377407d,+4644.38+0.0216273d,+4444.01+0.0206926d,+4804.68+0.0223753d
