# file...... Meter_632_A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_A:measured_power.real,xfmr_meter_632_A_1:measured_power.real,xfmr_meter_632_A_2:measured_power.real,xfmr_meter_632_A_3:measured_power.real,xfmr_meter_632_A_4:measured_power.real,xfmr_meter_632_A_5:measured_power.real,house_meter_632_A_1:measured_power.real,house_meter_632_A_2:measured_power.real,house_meter_632_A_3:measured_power.real,house_meter_632_A_4:measured_power.real,house_meter_632_A_5:measured_power.real,house_meter_632_A_6:measured_power.real,house_meter_632_A_7:measured_power.real,house_meter_632_A_8:measured_power.real,house_meter_632_A_9:measured_power.real,house_meter_632_A_10:measured_power.real,house_meter_632_A_11:measured_power.real,house_meter_632_A_12:measured_power.real,house_meter_632_A_13:measured_power.real,house_meter_632_A_14:measured_power.real,house_meter_632_A_15:measured_power.real,house_meter_632_A_16:measured_power.real,house_meter_632_A_17:measured_power.real,house_meter_632_A_18:measured_power.real,house_meter_632_A_19:measured_power.real
2021-01-06 03:00:00 UTC,9.2279e+04,7.2478e+03,9.2128e+03,5.2039e+03,4.3445e+04,2.7169e+04,1.0002e+03,0.0000e+00,8.8016e+02,9.2017e+02,1.0802e+03,1.1203e+03,1.0402e+03,1.2003e+03,1.0002e+03,1.2003e+03,9.6019e+02,2.4012e+03,7.2010e+02,9.6019e+02,1.2003e+03,7.6012e+02,6.4008e+02,6.8009e+02,6.8009e+02
2021-01-06 03:15:00 UTC,8.4803e+04,7.0875e+03,8.3707e+03,5.6045e+03,3.8620e+04,2.5119e+04,9.6019e+02,0.0000e+00,7.6012e+02,1.0402e+03,1.0002e+03,1.0802e+03,1.0402e+03,1.2003e+03,9.2017e+02,1.1203e+03,1.0002e+03,2.3211e+03,5.6006e+02,6.4008e+02,9.2017e+02,8.8016e+02,6.0007e+02,6.8009e+02,4.8005e+02
2021-01-06 03:30:00 UTC,9.1752e+04,7.3280e+03,8.7716e+03,5.1638e+03,4.0725e+04,2.9763e+04,1.0802e+03,0.0000e+00,8.0013e+02,9.6019e+02,1.0002e+03,1.1603e+03,1.0802e+03,1.2403e+03,1.0002e+03,1.1203e+03,9.2017e+02,2.3211e+03,7.2010e+02,8.8016e+02,1.1603e+03,6.4008e+02,6.0007e+02,6.4008e+02,9.2017e+02
2021-01-06 03:45:00 UTC,7.8786e+04,7.3681e+03,7.8495e+03,5.5644e+03,3.5709e+04,2.2294e+04,1.0802e+03,0.0000e+00,7.6012e+02,9.6019e+02,1.1203e+03,1.1203e+03,1.0402e+03,1.2803e+03,1.0802e+03,1.0802e+03,8.8016e+02,2.2010e+03,6.4008e+02,5.2005e+02,9.2017e+02,5.2005e+02,6.4008e+02,6.4008e+02,7.2010e+02
2021-01-06 04:00:00 UTC,9.1368e+04,7.4884e+03,8.6914e+03,5.2840e+03,4.5142e+04,2.4762e+04,1.1203e+03,0.0000e+00,7.6012e+02,9.2017e+02,1.2003e+03,1.1603e+03,1.2003e+03,1.1203e+03,1.0802e+03,1.2003e+03,8.4014e+02,2.2410e+03,8.4014e+02,7.2010e+02,1.1603e+03,6.0007e+02,5.2005e+02,7.6012e+02,7.6012e+02
2021-01-06 04:15:00 UTC,9.4122e+04,7.2478e+03,8.1302e+03,6.0853e+03,4.2277e+04,3.0381e+04,1.0002e+03,0.0000e+00,8.4014e+02,8.8016e+02,1.1203e+03,1.1203e+03,1.1203e+03,1.1603e+03,1.0402e+03,1.2403e+03,9.2017e+02,2.2410e+03,4.8005e+02,5.6006e+02,8.0013e+02,8.4014e+02,6.4008e+02,6.8009e+02,7.2010e+02
2021-01-06 04:30:00 UTC,8.9135e+04,7.1677e+03,8.8518e+03,6.2055e+03,4.1254e+04,2.5656e+04,9.6019e+02,0.0000e+00,9.2017e+02,8.4014e+02,1.0402e+03,1.1203e+03,1.1203e+03,1.1603e+03,9.2017e+02,1.2003e+03,1.0402e+03,2.2410e+03,8.4014e+02,1.0002e+03,1.0802e+03,5.2005e+02,5.6006e+02,8.0013e+02,8.4014e+02
2021-01-06 04:45:00 UTC,9.0896e+04,6.9672e+03,7.9298e+03,6.4058e+03,3.7978e+04,3.1614e+04,1.0002e+03,0.0000e+00,8.4014e+02,8.8016e+02,1.0402e+03,1.0002e+03,1.0402e+03,1.1603e+03,9.6019e+02,1.1603e+03,9.6019e+02,2.3211e+03,5.6006e+02,5.2005e+02,8.0013e+02,6.4008e+02,7.6012e+02,8.8016e+02,6.4008e+02
2021-01-06 05:00:00 UTC,9.6012e+04,6.7668e+03,8.8116e+03,5.3641e+03,4.3805e+04,3.1263e+04,9.2017e+02,0.0000e+00,8.4014e+02,9.2017e+02,9.6019e+02,1.0402e+03,1.0002e+03,1.0802e+03,9.2017e+02,1.3204e+03,9.2017e+02,2.2010e+03,7.6012e+02,7.2010e+02,1.2003e+03,7.6012e+02,7.2010e+02,8.0013e+02,6.0007e+02
2021-01-06 05:15:00 UTC,8.4163e+04,7.1275e+03,6.6864e+03,6.0853e+03,3.7610e+04,2.6653e+04,1.0402e+03,0.0000e+00,8.8016e+02,9.6019e+02,1.0802e+03,1.0002e+03,1.0402e+03,1.1203e+03,9.6019e+02,1.2003e+03,9.2017e+02,8.8016e+02,4.8005e+02,6.4008e+02,8.8016e+02,7.2010e+02,8.0013e+02,7.6012e+02,5.6006e+02
