# file...... 1Meter_633_B_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_B_24:measured_power,house_meter_633_B_25:measured_power,house_meter_633_B_26:measured_power,house_meter_633_B_27:measured_power,house_meter_633_B_28:measured_power,house_meter_633_B_29:measured_power,house_meter_633_B_30:measured_power,house_meter_633_B_31:measured_power,house_meter_633_B_32:measured_power,house_meter_633_B_33:measured_power,house_meter_633_B_34:measured_power,house_meter_633_B_35:measured_power,house_meter_633_B_36:measured_power,house_meter_633_B_37:measured_power,house_meter_633_B_38:measured_power,house_meter_633_B_39:measured_power,house_meter_633_B_40:measured_power
2021-01-06 00:00:00 UTC,+2801.57+0.0128871d,+2761.53+0.0127229d,+1160.27+0.00534215d,+2761.53+0.0127229d,+1040.22+0.00478917d,+3242.11+0.0149399d,+2321.08+0.0106918d,+2681.44+0.0123535d,+2641.4+0.0121688d,+480.046+0.00220394d,+880.155+0.00404152d,+0+0d,+520.054+0.00238765d,+280.016+0.00128547d,+360.026+0.00165283d,+1360.37+0.00624779d,+480.046+0.00220394d
2021-01-06 00:15:00 UTC,+2401.16+0.0110798d,+2761.54+0.0127662d,+1240.31+0.00573028d,+2681.45+0.0123956d,+1040.22+0.00480546d,+3202.06+0.0148054d,+2241.01+0.0103577d,+2761.54+0.0127662d,+2401.16+0.0110986d,+640.082+0.0029489d,+640.082+0.0029489d,+0+0d,+400.032+0.0018428d,+320.021+0.00147417d,+240.012+0.00110557d,+1400.39+0.00645367d,+560.063+0.00258017d
2021-01-06 00:30:00 UTC,+2441.2+0.0112568d,+2160.94+0.00997643d,+1240.31+0.00572403d,+2441.2+0.0112716d,+1120.25+0.00516971d,+2441.2+0.0112716d,+2080.87+0.00960647d,+2641.4+0.012197d,+2321.08+0.0107165d,+600.072+0.00276233d,+320.021+0.00147299d,+0+0d,+360.026+0.00165716d,+360.026+0.00165716d,+240.012+0.00110469d,+1560.49+0.0071862d,+480.046+0.0022097d
2021-01-06 00:45:00 UTC,+1880.71+0.00865579d,+1520.46+0.00700585d,+1240.31+0.00571433d,+1880.71+0.00866701d,+1000.2+0.00460766d,+2321.08+0.0106983d,+2200.97+0.0101442d,+2681.44+0.0123611d,+2521.28+0.011622d,+520.054+0.00239022d,+400.032+0.0018385d,+0+0d,+240.012+0.00110299d,+240.012+0.00110299d,+360.026+0.00165461d,+1480.44+0.00680687d,+440.039+0.0020224d
2021-01-06 01:00:00 UTC,+1720.59+0.00791331d,+1360.37+0.00626222d,+1160.27+0.00534067d,+1800.65+0.00829044d,+1080.23+0.0049721d,+2241.01+0.0103197d,+1360.37+0.00626222d,+2761.53+0.0127194d,+2481.23+0.0114271d,+600.072+0.00275608d,+280.016+0.00128592d,+0+0d,+320.02+0.00146966d,+320.02+0.00146966d,+200.008+0.000918471d,+1320.35+0.006066d,+400.032+0.00183717d
2021-01-06 01:15:00 UTC,+1120.25+0.00513939d,+1200.29+0.00551342d,+1280.33+0.00588126d,+1880.71+0.00864122d,+1080.23+0.00496172d,+2401.15+0.0110348d,+1240.31+0.00569733d,+2641.4+0.01214d,+2401.15+0.0110348d,+520.054+0.00238348d,+240.011+0.00109988d,+0+0d,+360.026+0.00164994d,+240.011+0.00109988d,+280.016+0.00128323d,+1200.29+0.00550258d,+400.032+0.00183331d
2021-01-06 01:30:00 UTC,+1200.29+0.00552382d,+1240.31+0.00571426d,+1240.31+0.00571426d,+1760.62+0.00811311d,+1040.22+0.00479203d,+2000.8+0.00922078d,+1200.29+0.0055298d,+2561.32+0.0118066d,+2401.16+0.0110676d,+840.141+0.0038632d,+320.021+0.00147124d,+0+0d,+280.016+0.0012873d,+240.012+0.00110338d,+480.046+0.00220707d,+1120.25+0.0051518d,+440.039+0.0020231d
2021-01-06 01:45:00 UTC,+1040.22+0.00478794d,+1360.37+0.0062681d,+1040.22+0.00479233d,+1360.37+0.0062681d,+1000.2+0.00460789d,+1800.65+0.00829821d,+1320.35+0.00608359d,+1880.71+0.00866744d,+2481.24+0.0114378d,+520.054+0.00239152d,+280.016+0.00128756d,+0+0d,+240.012+0.00110359d,+320.021+0.00147153d,+360.026+0.00165551d,+1200.29+0.00552116d,+360.026+0.00165551d
2021-01-06 02:00:00 UTC,+1120.25+0.00516426d,+1320.35+0.00608886d,+1200.29+0.00553493d,+1440.42+0.00664288d,+1200.29+0.00553493d,+1800.65+0.0083054d,+1320.35+0.00608886d,+1680.57+0.00775114d,+2401.16+0.0110779d,+480.046+0.00220934d,+240.012+0.00110451d,+0+0d,+240.012+0.00110451d,+200.008+0.000920402d,+400.032+0.00184102d,+1200.29+0.00552573d,+440.039+0.00202518d
2021-01-06 02:15:00 UTC,+1240.31+0.00571372d,+1160.27+0.00534393d,+1200.29+0.00552834d,+1480.44+0.00681944d,+960.185+0.00442203d,+1760.62+0.00811097d,+1320.35+0.00608161d,+1200.29+0.00552834d,+2481.24+0.0114341d,+320.021+0.00147134d,+760.116+0.00349536d,+0+0d,+320.021+0.00147134d,+320.021+0.00147134d,+440.039+0.00202324d,+1080.23+0.00496804d,+440.039+0.00202324d
2021-01-06 02:30:00 UTC,+1080.23+0.00496829d,+1280.33+0.00588947d,+1400.39+0.00644208d,+1320.35+0.00607367d,+1080.23+0.00496865d,+1480.44+0.00681052d,+1160.27+0.00533695d,+1160.27+0.00533695d,+2481.23+0.0114191d,+480.046+0.00220439d,+720.104+0.00330706d,+0+0d,+240.012+0.00110204d,+280.016+0.00128574d,+360.026+0.00165317d,+1200.29+0.00551336d,+320.02+0.00146945d
2021-01-06 02:45:00 UTC,+1160.27+0.0053305d,+1160.27+0.00533254d,+1480.44+0.0068049d,+1440.42+0.00662083d,+1040.22+0.00478056d,+1480.44+0.0068049d,+1240.31+0.00570058d,+1280.33+0.00588461d,+2361.12+0.0108568d,+520.054+0.00238589d,+280.016+0.00128452d,+0+0d,+240.012+0.00110099d,+160.005+0.000733961d,+280.016+0.00128452d,+1080.23+0.00495697d,+480.046+0.00220231d
2021-01-06 03:00:00 UTC,+1160.27+0.00532745d,+1160.27+0.00533235d,+1400.39+0.00643653d,+1400.39+0.00643653d,+1040.22+0.00478039d,+1480.44+0.00680466d,+1320.35+0.00606843d,+1120.25+0.00514836d,+1920.74+0.00883d,+400.032+0.00183512d,+480.046+0.00220224d,+0+0d,+280.016+0.00128449d,+320.02+0.00146802d,+280.016+0.00128449d,+320.02+0.00146802d,+360.026+0.00165156d
2021-01-06 03:15:00 UTC,+1160.27+0.00533098d,+1240.31+0.0057039d,+1360.37+0.00625634d,+1320.35+0.00607219d,+1120.25+0.00515154d,+1400.39+0.00644051d,+1120.25+0.00515154d,+1120.25+0.00515154d,+1560.49+0.00717726d,+440.039+0.00202005d,+240.012+0.00110172d,+0+0d,+240.012+0.00110172d,+240.012+0.00110172d,+280.016+0.00128537d,+400.032+0.00183637d,+360.026+0.00165269d
2021-01-06 03:30:00 UTC,+1160.27+0.00533231d,+1200.29+0.00552099d,+1800.65+0.00828447d,+1360.37+0.00625772d,+1120.25+0.00515268d,+1280.33+0.00588934d,+1120.25+0.00515268d,+1200.29+0.00552099d,+1320.35+0.00607353d,+440.039+0.0020205d,+360.026+0.00165306d,+0+0d,+320.02+0.00146935d,+240.012+0.00110196d,+240.012+0.00110196d,+320.02+0.00146935d,+440.039+0.0020205d
2021-01-06 03:45:00 UTC,+1200.29+0.00551538d,+1120.25+0.00515203d,+1720.59+0.0079149d,+1480.44+0.00680951d,+960.185+0.0044156d,+1400.39+0.00644112d,+1320.35+0.00607276d,+1240.31+0.00570444d,+1320.35+0.00607276d,+440.039+0.0020201d,+360.026+0.00165273d,+0+0d,+160.005+0.000734457d,+280.016+0.00128539d,+280.016+0.00128539d,+280.016+0.00128539d,+320.02+0.00146906d
2021-01-06 04:00:00 UTC,+1120.25+0.00513808d,+1200.29+0.00550994d,+1600.51+0.00734835d,+1280.33+0.00587755d,+1000.2+0.00459106d,+1480.44+0.00679673d,+1160.27+0.00532614d,+1120.25+0.00514236d,+1480.44+0.00679673d,+400.032+0.00183303d,+320.02+0.00146636d,+0+0d,+280.016+0.00128303d,+120.003+0.000549817d,+280.016+0.00128303d,+320.02+0.00146636d,+360.026+0.00164969d
2021-01-06 04:15:00 UTC,+1200.29+0.00551067d,+1280.33+0.00588254d,+1520.46+0.00698653d,+1320.35+0.00606652d,+1240.31+0.00569857d,+1400.39+0.00643449d,+1160.27+0.00533067d,+1120.25+0.00514673d,+1320.35+0.00606652d,+320.02+0.00146764d,+600.072+0.00275229d,+0+0d,+280.016+0.00128416d,+160.005+0.00073375d,+240.012+0.00110068d,+280.016+0.00128416d,+400.032+0.00183464d
2021-01-06 04:30:00 UTC,+1120.25+0.00512196d,+1080.23+0.0049428d,+1440.41+0.00659182d,+1480.44+0.00677508d,+1200.29+0.00549239d,+1440.41+0.00659182d,+1320.35+0.00604206d,+1280.33+0.00585883d,+1320.35+0.00604206d,+480.046+0.00219277d,+560.062+0.00255836d,+0+0d,+160.005+0.000730785d,+200.008+0.000913503d,+320.02+0.00146171d,+280.016+0.00127896d,+360.026+0.00164446d
2021-01-06 04:45:00 UTC,+1040.22+0.00476433d,+1200.29+0.00550287d,+1360.37+0.00623719d,+1320.35+0.0060536d,+1160.27+0.00531932d,+1480.44+0.00678802d,+1080.23+0.00495223d,+1240.31+0.00568644d,+1440.41+0.0066044d,+320.02+0.00146456d,+600.072+0.0027465d,+0+0d,+360.026+0.00164766d,+80.0013+0.000366086d,+280.016+0.00128146d,+280.016+0.00128146d,+400.032+0.00183078d
2021-01-06 05:00:00 UTC,+1240.31+0.00567456d,+1240.31+0.00567915d,+1520.46+0.00696271d,+1280.33+0.00586249d,+1000.2+0.0045793d,+1440.41+0.00659593d,+1360.37+0.00622919d,+1280.33+0.00586249d,+1360.37+0.00622919d,+280.016+0.00127992d,+360.026+0.0016457d,+0+0d,+200.008+0.000914187d,+200.008+0.000914187d,+200.008+0.000914187d,+240.011+0.00109705d,+1520.46+0.00695333d
2021-01-06 05:15:00 UTC,+1200.29+0.00550485d,+1080.23+0.00495716d,+1440.41+0.00661097d,+1400.39+0.00642718d,+1000.2+0.00458974d,+1560.49+0.0071624d,+1840.68+0.00844938d,+1200.29+0.00550835d,+1320.35+0.00605962d,+280.016+0.00128274d,+280.016+0.00128274d,+0+0d,+280.016+0.00128274d,+80.0013+0.000366457d,+280.016+0.00128274d,+240.011+0.00109947d,+1480.44+0.00678506d
2021-01-06 05:30:00 UTC,+1080.23+0.00495606d,+1240.31+0.00569417d,+1520.46+0.00698112d,+1280.33+0.00587799d,+1160.27+0.00532655d,+1480.44+0.00679725d,+1520.46+0.00698112d,+1040.22+0.00477518d,+1400.39+0.00642952d,+360.026+0.00164973d,+200.008+0.000916432d,+0+0d,+240.011+0.00109974d,+160.005+0.000733128d,+240.011+0.00109974d,+280.016+0.00128307d,+640.082+0.00293335d
2021-01-06 05:45:00 UTC,+1200.29+0.00550588d,+1200.29+0.00550815d,+1560.49+0.00716214d,+1320.35+0.0060594d,+1080.23+0.00495698d,+1320.35+0.0060594d,+1400.39+0.00642695d,+1200.29+0.00550815d,+1240.31+0.00569189d,+320.02+0.00146582d,+360.026+0.00164909d,+0+0d,+200.008+0.000916073d,+200.008+0.000916073d,+240.011+0.00109931d,+280.016+0.00128256d,+240.011+0.00109931d
2021-01-06 06:00:00 UTC,+1200.29+0.00552096d,+1120.25+0.00515537d,+1360.37+0.006261d,+1400.39+0.0064453d,+920.17+0.00423426d,+1520.46+0.00699826d,+1560.49+0.0071826d,+1240.31+0.00570815d,+1360.37+0.006261d,+280.016+0.00128615d,+280.016+0.00128615d,+0+0d,+280.016+0.00128615d,+80.0013+0.000367428d,+240.012+0.00110239d,+280.016+0.00128615d,+280.016+0.00128615d
2021-01-06 06:15:00 UTC,+1120.25+0.00515183d,+1200.29+0.00552332d,+1440.42+0.00662895d,+1360.37+0.00626037d,+1200.29+0.00552332d,+1600.51+0.00736621d,+1320.35+0.0060761d,+1040.22+0.00478642d,+1480.44+0.00681325d,+360.026+0.00165391d,+160.005+0.000734983d,+0+0d,+600.072+0.00275691d,+440.039+0.00202154d,+560.063+0.00257305d,+480.046+0.00220537d,+520.054+0.00238921d
2021-01-06 06:30:00 UTC,+1200.29+0.00551356d,+1240.31+0.00570078d,+1440.42+0.00662106d,+1400.39+0.00643699d,+1040.22+0.00478073d,+1360.37+0.00625292d,+1360.37+0.00625292d,+1240.31+0.00570078d,+1400.39+0.00643699d,+280.016+0.00128497d,+400.032+0.0018358d,+0+0d,+600.072+0.00275403d,+560.063+0.00257037d,+640.082+0.00293771d,+680.092+0.00312139d,+600.072+0.00275403d
2021-01-06 06:45:00 UTC,+1120.25+0.00514992d,+1200.29+0.00552175d,+1320.35+0.00607437d,+1560.49+0.00717984d,+1000.2+0.00460091d,+1480.44+0.00681131d,+1520.46+0.00699557d,+1160.27+0.00533757d,+1400.39+0.00644282d,+280.016+0.00128611d,+280.016+0.00128611d,+0+0d,+520.054+0.00238884d,+640.082+0.00294032d,+640.082+0.00294032d,+680.093+0.00312417d,+800.128+0.00367576d
2021-01-06 07:00:00 UTC,+1160.27+0.00534098d,+1120.25+0.00515983d,+1440.42+0.00663535d,+1520.46+0.00700431d,+1120.25+0.00515983d,+1440.42+0.00663535d,+1360.37+0.00626641d,+1120.25+0.00515983d,+1440.42+0.00663535d,+400.032+0.00184d,+160.005+0.000735892d,+0+0d,+640.082+0.00294442d,+680.093+0.00312852d,+720.104+0.00331263d,+1360.37+0.0062596d,+600.072+0.00276033d
2021-01-06 07:15:00 UTC,+1400.39+0.00646992d,+1320.35+0.00610352d,+1880.71+0.00869583d,+1560.49+0.00721429d,+1000.2+0.00462298d,+1440.42+0.00665887d,+1240.31+0.00573333d,+1160.27+0.00536318d,+1240.31+0.00573333d,+440.039+0.00203107d,+360.026+0.00166171d,+0+0d,+760.116+0.00350889d,+800.129+0.00369366d,+760.116+0.00350889d,+960.185+0.00443282d,+400.032+0.00184639d
