# file...... Meter_632_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_C:measured_power,xfmr_meter_632_C_1:measured_power,xfmr_meter_632_C_2:measured_power,xfmr_meter_632_C_3:measured_power,xfmr_meter_632_C_4:measured_power,xfmr_meter_632_C_5:measured_power,house_meter_632_C_1:measured_power,house_meter_632_C_2:measured_power,house_meter_632_C_3:measured_power,house_meter_632_C_4:measured_power,house_meter_632_C_5:measured_power,house_meter_632_C_6:measured_power,house_meter_632_C_7:measured_power,house_meter_632_C_8:measured_power,house_meter_632_C_9:measured_power,house_meter_632_C_10:measured_power,house_meter_632_C_11:measured_power,house_meter_632_C_12:measured_power,house_meter_632_C_13:measured_power,house_meter_632_C_14:measured_power,house_meter_632_C_15:measured_power,house_meter_632_C_16:measured_power,house_meter_632_C_17:measured_power,house_meter_632_C_18:measured_power,house_meter_632_C_19:measured_power,house_meter_632_C_20:measured_power,house_meter_632_C_21:measured_power,house_meter_632_C_22:measured_power,house_meter_632_C_23:measured_power
2021-01-06 00:00:00 UTC,+38747.8+82.2649j,+9335.65+17.5546j,+16841.9+53.4925j,+4804.82+4.91838j,+3282+2.19528j,+4483.27+3.91281j,+200.008+0.00094048d,+240.012+0.0011286d,+680.095+0.00319858d,+600.074+0.00282214d,+1120.26+0.00526969d,+3442.43+0.0162086d,+1360.38+0.00639985d,+1680.58+0.00790726d,+2241.03+0.0105613d,+3041.9+0.0143403d,+2000.82+0.00942837d,+1040.22+0.00489985d,+2961.8+0.0139623d,+1520.47+0.00716344d,+2321.11+0.0109391d,+1680.58+0.00791827d,+240.012+0.00112766d,+480.047+0.00225566d,+280.016+0.00131564d,+960.189+0.00451265d,+240.012+0.00112766d,+160.003+0.000375859d,+160.005+0.000751735d
2021-01-06 00:15:00 UTC,+43257.7+110.237j,+10901.3+23.8999j,+19185.8+73.9481j,+5886.01+6.88985j,+3121.63+1.9143j,+4162.74+3.33834j,+320.021+0.00150367d,+320.021+0.00150367d,+600.074+0.00281987d,+760.118+0.00357219d,+4003.28+0.0188386d,+1360.38+0.0063947d,+2080.89+0.00978446d,+1440.42+0.00677119d,+1920.76+0.00904482d,+7611.91+0.0359284d,+2241.03+0.0105544d,+960.189+0.00451974d,+1920.76+0.00904482d,+1680.58+0.00791305d,+1520.47+0.00715872d,+1280.34+0.0060275d,+160.005+0.000751065d,+320.021+0.00150228d,+1680.58+0.00789357d,+720.106+0.00338096d,+320.021+0.00150228d,+200.008+0.000938855d,+1600.52+0.00751731d
2021-01-06 00:30:00 UTC,+31806+56.4921j,+6526.62+8.15369j,+14430.8+39.2496j,+5085.15+5.40383j,+3522.48+2.59617j,+2240.77+0.956515j,+200.008+0.0009378d,+200.008+0.0009378d,+640.084+0.00300177d,+760.118+0.00356486d,+1280.33+0.00600589d,+1200.29+0.00563025d,+1040.22+0.00487907d,+1200.29+0.00563025d,+1840.69+0.00864907d,+3041.89+0.0143003d,+2000.82+0.00940209d,+1040.22+0.0048862d,+2241.03+0.0105319d,+1520.47+0.00714348d,+1520.47+0.00714348d,+1200.29+0.00563848d,+1640.55+0.00769471d,+320.021+0.00150019d,+200.008+0.000937551d,+1920.75+0.00900999d,+200.008+0.000937551d,+160.005+0.000750023d,+200.008+0.000937551d
2021-01-06 00:45:00 UTC,+33746.2+80.971j,+9455.31+17.6798j,+17808.5+60.379j,+2200.84+0.961258j,+1840.5+0.638997j,+2440.88+1.12288j,+280.016+0.00131346d,+440.04+0.00206422d,+640.084+0.00300287d,+640.084+0.00300287d,+1360.38+0.00638391d,+3202.1+0.015038d,+1680.58+0.00788755d,+1200.29+0.00563231d,+4083.42+0.0192135d,+2000.82+0.00940632d,+2080.89+0.00978306d,+1200.29+0.00564102d,+2160.96+0.0101598d,+1360.38+0.00639378d,+1280.34+0.00601738d,+3602.66+0.0169481d,+160.005+0.000749493d,+320.021+0.00149913d,+160.005+0.000749493d,+760.118+0.0035614d,+120.003+0.000562106d,+120.003+0.000562106d,+120.003+0.000562106d
2021-01-06 01:00:00 UTC,+27159.2+47.547j,+8974.37+16.1597j,+12423+29.1413j,+1880.58+0.689374j,+1720.43+0.556572j,+2160.71+0.889394j,+200.008+0.000938429d,+200.008+0.000938429d,+680.095+0.00319159d,+680.095+0.00319159d,+1120.26+0.00525816d,+1120.26+0.00525816d,+3282.2+0.0154193d,+1680.58+0.00788995d,+1280.34+0.00601374d,+2321.1+0.0109069d,+1760.63+0.00827134d,+480.047+0.00225405d,+2241.03+0.0105303d,+1600.52+0.00751866d,+1280.34+0.00601374d,+1440.42+0.00676613d,+120.003+0.000562296d,+360.026+0.00168713d,+120.003+0.000562296d,+440.04+0.00206215d,+160.005+0.000749745d,+120.003+0.000562296d,+80.0013+0.000374856d
2021-01-06 01:15:00 UTC,+25514.2+40.1242j,+9055.34+16.7425j,+10496.9+21.0128j,+2120.7+0.863578j,+1720.45+0.560916j,+2120.68+0.852555j,+200.008+0.00093869d,+360.026+0.00168981d,+600.074+0.00281676d,+760.118+0.00356825d,+1120.26+0.00525963d,+640.084+0.00300462d,+1680.58+0.00789216d,+3682.78+0.0173089d,+720.106+0.00338126d,+2080.89+0.00977625d,+2080.89+0.00977625d,+480.047+0.00225384d,+2000.82+0.00939978d,+960.189+0.00450901d,+1200.29+0.00563709d,+960.189+0.00450901d,+120.003+0.000562467d,+320.021+0.00150009d,+200.008+0.00093749d,+440.04+0.00206278d,+160.005+0.000749974d,+120.003+0.000562467d,+240.012+0.00112502d
2021-01-06 01:30:00 UTC,+26004.1+51.8084j,+5604.69+5.93018j,+14917.7+43.8272j,+1720.46+0.566773j,+1600.39+0.485848j,+2160.69+0.879736j,+320.021+0.00149851d,+360.026+0.00168586d,+640.084+0.0029976d,+760.118+0.00355991d,+960.188+0.00449728d,+560.064+0.00262277d,+1040.22+0.0048723d,+960.188+0.00449728d,+640.084+0.00300276d,+4804.73+0.0225784d,+1840.69+0.00863929d,+640.084+0.00300276d,+2080.89+0.00976759d,+3041.89+0.0142841d,+880.158+0.0041294d,+960.188+0.00450502d,+200.008+0.000935829d,+280.016+0.00131022d,+120.003+0.000561469d,+480.047+0.00224638d,+120.003+0.000561469d,+160.005+0.000748644d,+160.005+0.000748644d
2021-01-06 01:45:00 UTC,+31972.9+56.7064j,+7409.75+10.9979j,+12343.5+29.088j,+3843.03+3.12138j,+1240.23+0.289843j,+7136.25+13.0859j,+320.021+0.00150062d,+240.012+0.00112541d,+360.026+0.00168824d,+2721.51+0.0127741d,+1040.22+0.00487918d,+560.064+0.00262648d,+1360.38+0.00638172d,+800.131+0.00375266d,+880.158+0.00413189d,+1920.75+0.0090208d,+1840.69+0.00864451d,+480.047+0.00225321d,+2000.82+0.00939713d,+1040.22+0.00488363d,+2961.8+0.013916d,+1200.29+0.00563551d,+120.003+0.000562295d,+1720.6+0.00806747d,+120.003+0.000562295d,+360.026+0.00168713d,+200.008+0.000937204d,+920.173+0.00431304d,+80.0013+0.000374854d
2021-01-06 02:00:00 UTC,+34142.6+71.4591j,+11664.4+27.3529j,+13871+37.2926j,+2521.15+1.28383j,+1480.33+0.414007j,+4605.53+4.95477j,+440.04+0.00206611d,+360.027+0.00169037d,+200.008+0.000939002d,+4003.28+0.018824d,+1360.38+0.00638976d,+720.106+0.00338149d,+2401.18+0.0112833d,+2160.96+0.0101534d,+640.084+0.00300684d,+1760.63+0.00827452d,+2000.82+0.00940425d,+3041.9+0.0143036d,+3682.78+0.0173217d,+960.189+0.00451115d,+800.131+0.00375892d,+960.189+0.00451115d,+80.0013+0.00037494d,+640.084+0.00300055d,+120.003+0.000562424d,+360.026+0.00168752d,+120.003+0.000562424d,+880.158+0.00412636d,+120.003+0.000562424d
2021-01-06 02:15:00 UTC,+29039.9+45.9159j,+10779.8+22.949j,+9293.55+16.578j,+2040.71+0.823136j,+2841.71+1.72817j,+4083.95+3.73357j,+1800.66+0.00844938d,+360.026+0.00168838d,+120.003+0.000562712d,+1920.75+0.00901333d,+3442.42+0.016164d,+560.064+0.0026267d,+1120.26+0.0052552d,+1440.42+0.00675801d,+640.084+0.00300126d,+1040.22+0.00487825d,+2000.82+0.00938677d,+720.106+0.00337658d,+960.188+0.00450278d,+800.131+0.00375194d,+720.106+0.00337658d,+2401.18+0.0112669d,+120.003+0.000561807d,+640.084+0.00299726d,+200.008+0.000936391d,+520.055+0.00243509d,+120.003+0.000561807d,+160.005+0.000749094d,+160.005+0.000749094d
