# file...... Meter_633_B_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_B:measured_power,xfmr_meter_633_B_1:measured_power,xfmr_meter_633_B_2:measured_power,xfmr_meter_633_B_3:measured_power,xfmr_meter_633_B_4:measured_power,xfmr_meter_633_B_5:measured_power,house_meter_633_B_1:measured_power,house_meter_633_B_2:measured_power,house_meter_633_B_3:measured_power,house_meter_633_B_4:measured_power,house_meter_633_B_5:measured_power,house_meter_633_B_6:measured_power,house_meter_633_B_7:measured_power,house_meter_633_B_8:measured_power,house_meter_633_B_9:measured_power,house_meter_633_B_10:measured_power,house_meter_633_B_11:measured_power,house_meter_633_B_12:measured_power,house_meter_633_B_13:measured_power,house_meter_633_B_14:measured_power,house_meter_633_B_15:measured_power,house_meter_633_B_16:measured_power,house_meter_633_B_17:measured_power,house_meter_633_B_18:measured_power,house_meter_633_B_19:measured_power,house_meter_633_B_20:measured_power,house_meter_633_B_21:measured_power,house_meter_633_B_22:measured_power,house_meter_633_B_23:measured_power
2021-01-06 02:30:00 UTC,+68034.1+349.822j,+40308.9+297.337j,+1760.49+0.587095j,+10983.1+24.53j,+11378.6+23.8487j,+3602.19+2.51774j,+4243.63+0.0196472d,+6568.71+0.0304405d,+5646.43+0.0261567d,+5486.07+0.0254122d,+5005.05+0.0231796d,+4644.35+0.021506d,+4764.58+0.0220637d,+3762.85+0.0174179d,+280.016+0.00128531d,+240.012+0.00110167d,+240.012+0.00110167d,+120.003+0.000550794d,+120.003+0.000550794d,+120.003+0.000550794d,+520.054+0.00238735d,+120.003+0.000550794d,+120.003+0.000551712d,+600.072+0.00275937d,+160.005+0.000735635d,+320.021+0.00147141d,+1280.33+0.00588906d,+5283.59+0.0155962d,+2120.9+0.00975868d
2021-01-06 02:45:00 UTC,+65341.2+334.791j,+39783.4+289.631j,+1640.39+0.495456j,+9376.21+17.6085j,+11498.9+24.2891j,+3041.59+1.80703j,+4484.05+0.0207426d,+5045.13+0.0233434d,+5846.89+0.0270618d,+5927.08+0.0274339d,+3642.67+0.0168448d,+5927.08+0.0274339d,+5205.46+0.0240868d,+3522.5+0.0162883d,+200.008+0.000917242d,+320.02+0.00146769d,+280.016+0.0012842d,+200.008+0.000917242d,+120.003+0.000550318d,+160.005+0.000733776d,+160.005+0.000733776d,+200.008+0.000917242d,+120.003+0.000551087d,+160.005+0.0007348d,+320.02+0.00146974d,+240.012+0.00110225d,+1200.29+0.00551444d,+4202.07+0.0112863d,+1960.77+0.00901104d
2021-01-06 03:00:00 UTC,+66723.9+416.824j,+45859.4+385.926j,+1800.46+0.596166j,+5765.54+6.42177j,+10856.6+21.5736j,+2440.89+1.10827j,+5887+0.0272806d,+4484.06+0.0207675d,+7130.27+0.0330585d,+5085.22+0.0235574d,+5806.81+0.0269081d,+4964.97+0.0229993d,+8414.31+0.0390321d,+3842.98+0.0177938d,+240.012+0.00110084d,+320.02+0.00146785d,+160.005+0.000733856d,+200.008+0.000917342d,+280.016+0.00128434d,+200.008+0.000917342d,+120.003+0.000550379d,+280.016+0.00128434d,+160.005+0.000734381d,+80.0013+0.000367173d,+320.02+0.0014689d,+200.008+0.000917998d,+1280.33+0.00587899d,+1200.27+0.00515611d,+1360.37+0.00624673d
2021-01-06 03:15:00 UTC,+56127+269.091j,+36385.6+241.908j,+1880.52+0.657799j,+5404.83+5.63015j,+10254.7+19.2141j,+2200.73+0.904419j,+4363.84+0.0201894d,+4564.2+0.021118d,+4323.77+0.0200037d,+5165.38+0.0239054d,+3923.1+0.0181471d,+4644.35+0.0214896d,+5445.98+0.0252069d,+3802.91+0.0175903d,+120.003+0.000550787d,+240.012+0.00110165d,+120.003+0.000550787d,+240.012+0.00110165d,+440.039+0.00201994d,+280.016+0.00128529d,+160.005+0.0007344d,+280.016+0.00128529d,+160.005+0.000734867d,+200.008+0.000918605d,+320.02+0.00146987d,+120.003+0.000551137d,+1320.35+0.00606687d,+1080.23+0.00496308d,+1040.22+0.00477915d
2021-01-06 03:30:00 UTC,+60248.9+322.489j,+40066.3+293.851j,+1680.42+0.527037j,+5725.35+6.29353j,+10415.3+19.849j,+2360.83+1.03965j,+4524.13+0.0209505d,+5205.47+0.0241123d,+4524.13+0.0209505d,+6568.71+0.0304438d,+5325.72+0.0246705d,+5646.43+0.0261596d,+4403.91+0.0203928d,+3682.73+0.0170483d,+80.0013+0.000367239d,+160.005+0.000734513d,+280.016+0.00128549d,+120.003+0.000550872d,+280.016+0.00128549d,+360.026+0.00165285d,+120.003+0.000550872d,+280.016+0.00128549d,+360.026+0.00165406d,+240.012+0.00110263d,+200.008+0.000918833d,+120.003+0.000551273d,+1240.31+0.00570033d,+1320.35+0.00606838d,+1080.23+0.00496432d
2021-01-06 03:45:00 UTC,+58030.7+299.052j,+38448.2+270.483j,+1240.22+0.284541j,+5645.2+6.11573j,+10575.8+20.4652j,+2120.68+0.84057j,+6448.39+0.0298711d,+4524.13+0.020941d,+4644.35+0.0214985d,+5085.22+0.0235435d,+3963.17+0.0183403d,+4964.97+0.0229856d,+4884.81+0.0226138d,+3762.85+0.0174119d,+120.003+0.000550742d,+280.016+0.00128519d,+200.008+0.000917948d,+120.003+0.000550742d,+120.003+0.000550742d,+160.005+0.000734341d,+120.003+0.000550742d,+120.003+0.000550742d,+440.039+0.00202138d,+240.012+0.00110244d,+120.003+0.00055118d,+120.003+0.00055118d,+1200.29+0.00551538d,+1120.25+0.00514744d,+1200.29+0.00551538d
2021-01-06 04:00:00 UTC,+60740.5+337.878j,+41198.6+309.998j,+1400.29+0.363294j,+5725.22+6.23259j,+10335+19.5011j,+2080.65+0.808442j,+5245.54+0.0242547d,+4764.57+0.0220265d,+5967.17+0.0275995d,+4243.63+0.0196141d,+3842.97+0.0177594d,+4724.49+0.0218409d,+6207.76+0.0287151d,+6007.27+0.0277854d,+120.003+0.00054975d,+320.02+0.00146618d,+200.008+0.000916294d,+240.011+0.00109958d,+160.005+0.000733018d,+120.003+0.00054975d,+120.003+0.00054975d,+120.003+0.00054975d,+360.026+0.00165077d,+320.02+0.00146732d,+240.012+0.00110044d,+160.005+0.000733588d,+1320.35+0.00605633d,+1120.25+0.00513808d,+1080.23+0.00495446d
2021-01-06 04:15:00 UTC,+58504.7+291.442j,+37841.4+261.712j,+1600.38+0.475111j,+6406.5+7.79384j,+10375.1+19.6379j,+2280.81+0.982298j,+4484.05+0.0207321d,+4564.2+0.0211034d,+6167.67+0.0285358d,+4564.2+0.0211034d,+3682.73+0.0170217d,+4363.83+0.0201753d,+4283.7+0.0198042d,+5566.24+0.0257469d,+240.012+0.00110054d,+320.02+0.00146746d,+200.008+0.000917097d,+240.012+0.00110054d,+80.0013+0.000366811d,+120.003+0.000550231d,+280.016+0.001284d,+120.003+0.000550231d,+240.012+0.0011015d,+1120.25+0.00514304d,+120.003+0.000550708d,+160.005+0.000734295d,+1240.31+0.00569449d,+1320.35+0.00606217d,+1000.2+0.00459167d
2021-01-06 04:30:00 UTC,+66470.6+399.749j,+44926.4+368.894j,+2400.9+1.08577j,+6205.99+7.24995j,+10575.6+20.3229j,+2360.86+1.04755j,+5967.16+0.0275285d,+5365.78+0.0247482d,+4844.71+0.0223402d,+6568.67+0.0303108d,+5766.68+0.0266015d,+8374.11+0.03867d,+4163.48+0.0191936d,+3642.66+0.0167891d,+400.032+0.00182724d,+680.092+0.00310682d,+200.008+0.000913509d,+240.011+0.00109624d,+200.008+0.000913509d,+200.008+0.000913509d,+400.032+0.00182724d,+80.0013+0.000365378d,+120.003+0.000548454d,+1080.23+0.00493891d,+160.005+0.000731289d,+320.02+0.00146272d,+1200.29+0.00548808d,+1120.25+0.00512196d,+1080.23+0.00493891d
2021-01-06 04:45:00 UTC,+60726.9+316.835j,+39663.7+288.081j,+3242.4+2.28928j,+5204.55+5.23887j,+10294.8+19.2981j,+2320.85+1.01849j,+4203.55+0.0193982d,+4403.9+0.0203243d,+5886.97+0.0271851d,+5165.37+0.0238459d,+3883.03+0.0179167d,+4363.83+0.0201391d,+7691.91+0.0355458d,+3883.03+0.0179167d,+200.008+0.000915433d,+1800.65+0.0082468d,+120.003+0.000549234d,+80.0013+0.000366147d,+240.011+0.00109855d,+120.003+0.000549234d,+520.054+0.00238058d,+160.005+0.000732329d,+120.003+0.000549427d,+120.003+0.000549427d,+160.005+0.000732588d,+240.011+0.00109893d,+1240.31+0.00568123d,+1120.25+0.00513106d,+1160.27+0.00531444d
