# file...... 1Meter_632_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_C_24:measured_power,house_meter_632_C_25:measured_power,house_meter_632_C_26:measured_power,house_meter_632_C_27:measured_power,house_meter_632_C_28:measured_power,house_meter_632_C_29:measured_power,house_meter_632_C_30:measured_power,house_meter_632_C_31:measured_power,house_meter_632_C_32:measured_power,house_meter_632_C_33:measured_power,house_meter_632_C_34:measured_power,house_meter_632_C_35:measured_power,house_meter_632_C_36:measured_power,house_meter_632_C_37:measured_power,house_meter_632_C_38:measured_power,house_meter_632_C_39:measured_power,house_meter_632_C_40:measured_power
2021-01-06 00:00:00 UTC,+2281.07+0.0107262d,+360.027+0.00169114d,+200.008+0.000939428d,+400.033+0.00187909d,+440.04+0.00206705d,+1360.38+0.00639269d,+160.005+0.000751523d,+240.012+0.00112734d,+120.003+0.000563628d,+200.008+0.000939637d,+560.064+0.00263157d,+160.005+0.00075169d,+560.064+0.00263157d,+1120.26+0.00526496d,+720.106+0.00338378d,+160.005+0.00075169d,+1000.2+0.00470051d
2021-01-06 00:15:00 UTC,+880.158+0.00413269d,+320.021+0.00150151d,+120.003+0.000562997d,+1040.22+0.00488208d,+360.026+0.00168924d,+520.055+0.00244026d,+360.026+0.00168924d,+160.005+0.000750682d,+240.012+0.00112608d,+400.033+0.00187735d,+600.074+0.00281636d,+200.008+0.000938556d,+440.04+0.00206513d,+1160.28+0.00544684d,+640.084+0.0030042d,+200.008+0.000938556d,+520.055+0.00244073d
2021-01-06 00:30:00 UTC,+440.04+0.00206292d,+1560.5+0.00731689d,+120.003+0.000562341d,+760.118+0.00356289d,+120.003+0.000562341d,+320.021+0.00149976d,+120.003+0.000562341d,+240.012+0.00112477d,+280.016+0.00131226d,+240.012+0.0011245d,+200.008+0.00093706d,+120.003+0.000562209d,+440.04+0.00206184d,+440.04+0.00206184d,+440.04+0.00206184d,+160.005+0.00074963d,+200.008+0.00093706d
2021-01-06 00:45:00 UTC,+440.04+0.00206146d,+200.008+0.000936827d,+120.003+0.000562069d,+400.033+0.00187388d,+280.016+0.00131162d,+200.008+0.000936827d,+240.012+0.00112422d,+160.005+0.000749443d,+240.012+0.00112422d,+280.016+0.00131177d,+200.008+0.000936931d,+320.021+0.0014992d,+360.026+0.00168664d,+480.047+0.00224902d,+360.026+0.00168664d,+120.003+0.000562131d,+320.021+0.0014992d
2021-01-06 01:00:00 UTC,+480.047+0.00224967d,+200.008+0.000937176d,+160.005+0.000749723d,+360.026+0.00168708d,+200.008+0.000937176d,+240.012+0.00112464d,+160.005+0.000749723d,+240.012+0.00112464d,+160.005+0.000749723d,+360.026+0.00168722d,+240.012+0.00112473d,+120.003+0.000562325d,+480.047+0.00224979d,+240.012+0.00112473d,+400.033+0.00187473d,+120.003+0.000562325d,+200.008+0.000937252d
2021-01-06 01:15:00 UTC,+520.055+0.00243795d,+120.003+0.000562425d,+120.003+0.000562425d,+400.033+0.00187507d,+240.012+0.00112493d,+160.005+0.000749919d,+200.008+0.000937421d,+240.012+0.00112493d,+240.012+0.00112493d,+360.026+0.00168765d,+160.005+0.000749974d,+280.016+0.00131255d,+360.026+0.00168765d,+120.003+0.000562467d,+440.04+0.00206278d,+200.008+0.00093749d,+200.008+0.00093749d
2021-01-06 01:30:00 UTC,+200.008+0.000935829d,+120.003+0.000561457d,+80.0013+0.000374295d,+240.012+0.001123d,+200.008+0.000935808d,+360.026+0.00168462d,+160.005+0.000748628d,+280.016+0.0013102d,+160.005+0.000748628d,+160.005+0.000748705d,+320.021+0.00149756d,+280.016+0.00131033d,+440.039+0.00205929d,+280.016+0.00131033d,+320.021+0.00149756d,+120.003+0.000561515d,+240.012+0.00112311d
2021-01-06 01:45:00 UTC,+320.021+0.00149964d,+120.003+0.000562026d,+120.003+0.000562026d,+80.0013+0.000374675d,+120.003+0.000562026d,+240.012+0.00112413d,+200.008+0.000936756d,+160.005+0.000749386d,+200.008+0.000936756d,+320.021+0.00150055d,+240.012+0.00112536d,+160.005+0.000750201d,+5525.18+0.021535d,+160.005+0.000750201d,+280.016+0.00131295d,+280.016+0.00131295d,+160.005+0.000750201d
2021-01-06 02:00:00 UTC,+200.008+0.000937419d,+120.003+0.000562316d,+200.008+0.000937239d,+160.005+0.000749773d,+120.003+0.000562316d,+240.012+0.00112471d,+320.021+0.00149969d,+200.008+0.000937239d,+120.003+0.000562316d,+200.008+0.000937779d,+320.021+0.00150056d,+200.008+0.000937779d,+3081.5+0.0111972d,+160.005+0.000750205d,+240.012+0.00112536d,+160.005+0.000750205d,+240.012+0.00112536d
2021-01-06 02:15:00 UTC,+120.003+0.000561807d,+160.005+0.000749205d,+1440.42+0.00674812d,+160.005+0.000749205d,+200.008+0.000936529d,+160.005+0.000749205d,+200.008+0.000936529d,+160.005+0.000749205d,+360.026+0.00168592d,+320.021+0.0014989d,+120.003+0.000562018d,+120.003+0.000562018d,+2560.93+0.00834849d,+200.008+0.000936743d,+320.021+0.0014989d,+200.008+0.000936743d,+240.012+0.00112412d
2021-01-06 02:30:00 UTC,+1440.42+0.00674615d,+160.005+0.000748817d,+160.005+0.000748817d,+120.003+0.000561599d,+80.0013+0.000374391d,+280.016+0.00131052d,+200.008+0.000936043d,+240.012+0.00112328d,+200.008+0.000936043d,+200.008+0.000936312d,+240.012+0.0011236d,+240.012+0.0011236d,+1320.21+0.00373051d,+280.016+0.0013109d,+320.021+0.00149821d,+80.0013+0.000374499d,+320.021+0.00149821d
