# file...... 1Meter_684_C_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_20:measured_power.real,house_meter_684_C_21:measured_power.real,house_meter_684_C_22:measured_power.real,house_meter_684_C_23:measured_power.real,house_meter_684_C_24:measured_power.real,house_meter_684_C_25:measured_power.real,house_meter_684_C_26:measured_power.real,house_meter_684_C_27:measured_power.real,house_meter_684_C_28:measured_power.real,house_meter_684_C_29:measured_power.real,house_meter_684_C_30:measured_power.real,house_meter_684_C_31:measured_power.real,house_meter_684_C_32:measured_power.real,house_meter_684_C_33:measured_power.real,house_meter_684_C_34:measured_power.real,house_meter_684_C_35:measured_power.real,house_meter_684_C_36:measured_power.real,house_meter_684_C_37:measured_power.real,house_meter_684_C_38:measured_power.real,house_meter_684_C_39:measured_power.real,house_meter_684_C_40:measured_power.real
2021-01-06 00:00:00 UTC,3.3618e+03,1.5205e+03,5.6007e+02,4.0003e+02,2.8002e+02,2.4001e+02,3.2822e+03,3.2422e+03,5.2006e+02,1.8007e+03,2.5614e+03,2.3211e+03,1.9608e+03,2.1209e+03,1.0002e+03,2.6415e+03,1.2403e+03,2.6014e+03,1.0802e+03,2.1209e+03,2.9618e+03
2021-01-06 00:15:00 UTC,1.8804e+03,1.0402e+03,8.8016e+02,4.0003e+02,6.0007e+02,9.6019e+02,3.2822e+03,3.2021e+03,4.4004e+02,1.4404e+03,2.4813e+03,2.4012e+03,1.9208e+03,2.0409e+03,1.2403e+03,1.6005e+03,1.2003e+03,2.5614e+03,2.1610e+03,2.2410e+03,2.7215e+03
2021-01-06 00:30:00 UTC,5.6006e+02,1.0002e+03,2.8002e+02,9.2018e+02,7.6012e+02,4.8005e+02,3.1621e+03,3.2021e+03,4.4004e+02,1.2003e+03,2.3612e+03,2.3211e+03,5.6007e+02,1.3604e+03,1.4404e+03,1.7206e+03,1.2803e+03,2.8016e+03,2.3612e+03,2.4813e+03,2.3612e+03
2021-01-06 00:45:00 UTC,1.1203e+03,1.7206e+03,1.0002e+03,4.0003e+02,3.6003e+02,3.2002e+02,3.4825e+03,3.3223e+03,4.8005e+02,8.8016e+02,2.2410e+03,2.6414e+03,1.0402e+03,1.2803e+03,2.0008e+03,1.8407e+03,1.4004e+03,3.5626e+03,2.6414e+03,3.1220e+03,2.2811e+03
2021-01-06 01:00:00 UTC,4.8005e+02,1.0402e+03,4.4004e+02,3.6003e+02,4.4004e+02,9.6019e+02,3.7629e+03,3.7229e+03,3.6003e+02,9.2018e+02,2.3612e+03,2.4012e+03,1.0002e+03,1.0002e+03,2.6815e+03,1.8407e+03,1.6406e+03,2.8417e+03,3.0019e+03,2.4012e+03,2.4012e+03
2021-01-06 01:15:00 UTC,4.0003e+02,9.2018e+02,5.6007e+02,1.0002e+03,9.6019e+02,4.8005e+02,3.1621e+03,3.3223e+03,5.2006e+02,1.0002e+03,1.4805e+03,2.5614e+03,8.4015e+02,9.2018e+02,1.5205e+03,1.6005e+03,1.2403e+03,2.6815e+03,2.7215e+03,2.2010e+03,2.5614e+03
2021-01-06 01:30:00 UTC,8.0013e+02,1.8007e+03,8.0013e+02,3.6003e+02,2.4001e+02,5.6006e+02,3.2422e+03,3.1220e+03,4.0003e+02,1.1203e+03,1.2403e+03,2.5614e+03,5.6006e+02,9.6019e+02,1.3604e+03,1.5605e+03,1.3604e+03,2.6014e+03,2.6014e+03,2.4813e+03,2.6815e+03
2021-01-06 01:45:00 UTC,7.2011e+02,9.2018e+02,2.0001e+02,2.3209e+03,4.8005e+02,7.6012e+02,3.4024e+03,3.6828e+03,6.0007e+02,1.1603e+03,1.2003e+03,2.7215e+03,6.4008e+02,7.6012e+02,1.5205e+03,2.8417e+03,2.6815e+03,2.6014e+03,2.3211e+03,2.2811e+03,2.5213e+03
2021-01-06 02:00:00 UTC,3.6003e+02,9.6019e+02,1.1203e+03,3.6015e+03,1.0402e+03,2.8002e+02,3.8030e+03,3.4425e+03,4.8005e+02,8.8016e+02,1.0002e+03,2.5614e+03,6.4008e+02,8.0013e+02,1.5205e+03,2.8417e+03,2.5213e+03,2.9618e+03,2.2010e+03,2.3211e+03,2.4412e+03
2021-01-06 02:15:00 UTC,4.0003e+02,1.6806e+03,3.2002e+02,2.4009e+03,2.0001e+02,8.8016e+02,3.2422e+03,3.1621e+03,4.0003e+02,8.0013e+02,8.8016e+02,2.4813e+03,9.6019e+02,1.0002e+03,1.5605e+03,3.0419e+03,2.6414e+03,3.1220e+03,2.2010e+03,2.4813e+03,2.2811e+03
2021-01-06 02:30:00 UTC,1.0402e+03,1.0002e+03,6.4008e+02,1.1202e+03,4.4004e+02,4.8005e+02,3.2021e+03,3.2822e+03,4.8005e+02,7.6012e+02,1.0002e+03,2.3211e+03,9.6019e+02,1.0802e+03,8.4015e+02,3.1621e+03,2.6815e+03,2.9218e+03,2.3612e+03,2.4012e+03,2.3612e+03
2021-01-06 02:45:00 UTC,3.2002e+02,1.0402e+03,7.2011e+02,1.1203e+03,9.2018e+02,2.4001e+02,3.5626e+03,3.8831e+03,4.4004e+02,1.1203e+03,9.6019e+02,2.2811e+03,9.6019e+02,1.2403e+03,6.8010e+02,3.4825e+03,2.6014e+03,2.5614e+03,2.4012e+03,2.2811e+03,2.5213e+03
2021-01-06 03:00:00 UTC,4.0003e+02,1.6005e+03,2.8002e+02,3.6003e+02,2.8002e+02,1.0402e+03,3.5226e+03,3.2021e+03,4.0003e+02,1.1603e+03,1.0802e+03,2.4412e+03,6.4008e+02,9.2018e+02,7.2011e+02,4.2437e+03,2.4412e+03,2.4813e+03,2.4012e+03,2.2410e+03,2.8016e+03
2021-01-06 03:15:00 UTC,1.1203e+03,1.0002e+03,1.0802e+03,3.6003e+02,6.4008e+02,2.8002e+02,3.3223e+03,3.5226e+03,6.8010e+02,1.0802e+03,1.2403e+03,2.5614e+03,5.6007e+02,4.8005e+02,1.0002e+03,3.3223e+03,1.9208e+03,2.4412e+03,2.1610e+03,2.2010e+03,2.7616e+03
