# file...... 1Meter_645_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_C_24:measured_power,house_meter_645_C_25:measured_power,house_meter_645_C_26:measured_power,house_meter_645_C_27:measured_power,house_meter_645_C_28:measured_power,house_meter_645_C_29:measured_power,house_meter_645_C_30:measured_power,house_meter_645_C_31:measured_power,house_meter_645_C_32:measured_power,house_meter_645_C_33:measured_power,house_meter_645_C_34:measured_power,house_meter_645_C_35:measured_power,house_meter_645_C_36:measured_power,house_meter_645_C_37:measured_power,house_meter_645_C_38:measured_power,house_meter_645_C_39:measured_power,house_meter_645_C_40:measured_power
2021-01-06 00:00:00 UTC,+1320.36+0.00622969d,+600.074+0.00282751d,+520.056+0.00245039d,+1240.32+0.00584583d,+560.064+0.00263894d,+1480.45+0.00697831d,+1080.24+0.00509103d,+520.056+0.00245039d,+1080.24+0.00509103d,+1480.45+0.00698127d,+1680.58+0.00792567d,+440.04+0.00207418d,+760.119+0.00358338d,+1720.61+0.00811457d,+1120.26+0.00528195d,+1320.36+0.00622593d,+840.145+0.00396078d
2021-01-06 00:15:00 UTC,+4965.07+0.0234547d,+640.084+0.003014d,+680.095+0.00320245d,+1160.28+0.00546463d,+560.064+0.00263712d,+880.159+0.00414486d,+760.119+0.00357939d,+1320.36+0.00621898d,+2040.85+0.00961542d,+680.095+0.00320195d,+1040.22+0.00489819d,+880.159+0.00414422d,+1040.22+0.00489819d,+680.095+0.00320195d,+880.159+0.00414422d,+880.159+0.00414422d,+1120.26+0.00527524d
2021-01-06 00:30:00 UTC,+2881.7+0.0135817d,+560.064+0.0026335d,+680.095+0.00319806d,+1120.26+0.00526882d,+600.074+0.00282168d,+1840.69+0.00865975d,+1440.43+0.00677553d,+840.145+0.00395093d,+720.106+0.00338626d,+800.131+0.00376424d,+1240.32+0.00583615d,+1320.36+0.00621298d,+1560.5+0.0073437d,+2000.82+0.00941755d,+960.189+0.00451753d,+1160.28+0.00545935d,+960.189+0.00451753d
2021-01-06 00:45:00 UTC,+712.104+0.00334838d,+600.074+0.00282078d,+2233.02+0.0105038d,+944.183+0.00443896d,+920.173+0.00432604d,+1120.26+0.00526713d,+760.118+0.00357334d,+560.064+0.00263266d,+1400.4+0.00658505d,+2000.82+0.00941157d,+1320.36+0.00620904d,+640.084+0.00300918d,+1280.34+0.00602074d,+1040.22+0.00489113d,+1160.28+0.00545589d,+1120.26+0.00526763d,+480.047+0.00225667d
2021-01-06 01:00:00 UTC,+1080.24+0.00508567d,+720.106+0.00339288d,+4444.06+0.0209709d,+1280.34+0.00603388d,+4524.21+0.0213498d,+1160.28+0.0054678d,+1440.43+0.00678878d,+1920.76+0.00905438d,+880.159+0.00414727d,+640.084+0.00301179d,+880.159+0.00414183d,+1400.4+0.00659138d,+1240.32+0.0058375d,+1480.45+0.00696837d,+640.084+0.00301179d,+1600.53+0.00753393d,+1440.43+0.00677987d
2021-01-06 01:15:00 UTC,+1160.28+0.00545911d,+640.084+0.00301116d,+560.064+0.00263464d,+800.131+0.00376432d,+2481.26+0.0116815d,+1880.73+0.00885204d,+560.064+0.00263464d,+440.04+0.00206992d,+1320.36+0.00621312d,+1440.43+0.00677961d,+1760.64+0.00828782d,+520.055+0.00244681d,+560.064+0.00263509d,+1480.45+0.0069681d,+1440.43+0.00677961d,+1200.3+0.00564884d,+1200.3+0.00564884d
2021-01-06 01:30:00 UTC,+1080.24+0.00507638d,+560.064+0.00262984d,+560.064+0.00262984d,+1440.42+0.00676609d,+720.106+0.00338155d,+760.118+0.0035695d,+1520.47+0.00714234d,+760.118+0.0035695d,+1120.26+0.00526148d,+560.064+0.0026305d,+920.173+0.00432249d,+960.189+0.00451053d,+1640.55+0.00770872d,+960.189+0.00451053d,+1040.22+0.00488665d,+1120.26+0.00526281d,+1600.52+0.00752051d
2021-01-06 01:45:00 UTC,+704.102+0.00331421d,+2329.11+0.0109682d,+464.044+0.00218359d,+3706.82+0.0174659d,+504.052+0.00237188d,+1920.76+0.00904363d,+640.084+0.00301217d,+1240.32+0.00583823d,+1240.32+0.00583823d,+1200.3+0.00564871d,+2160.96+0.0101737d,+1680.58+0.00791053d,+520.055+0.00244675d,+2080.89+0.0097964d,+1640.55+0.00772199d,+1360.38+0.0064025d,+400.033+0.00188198d
2021-01-06 02:00:00 UTC,+960.189+0.00452721d,+4363.91+0.0205818d,+560.064+0.00263735d,+2401.18+0.0113157d,+560.064+0.00263735d,+1040.22+0.00489938d,+1680.58+0.0079175d,+680.095+0.00320273d,+1080.24+0.00508794d,+1080.24+0.00508283d,+440.04+0.00206997d,+640.084+0.00301123d,+1640.55+0.00772103d,+640.084+0.00301123d,+560.064+0.0026347d,+840.145+0.00395273d,+1120.26+0.00527121d
2021-01-06 02:15:00 UTC,+920.173+0.00432886d,+600.074+0.00281893d,+680.095+0.00319494d,+600.074+0.00281893d,+520.055+0.00244295d,+1240.31+0.00582808d,+600.074+0.00281893d,+1440.42+0.00676892d,+1040.22+0.00488746d,+560.064+0.00263213d,+1640.55+0.00771349d,+440.04+0.00206795d,+640.084+0.00300829d,+1920.76+0.00903198d,+1680.58+0.00790181d,+1400.4+0.00658371d,+880.159+0.00413701d
2021-01-06 02:30:00 UTC,+920.173+0.00432345d,+680.095+0.00319437d,+680.095+0.00319437d,+480.047+0.00225457d,+600.074+0.00281842d,+1760.63+0.00827325d,+2040.85+0.0095911d,+520.055+0.00244251d,+1160.28+0.00545082d,+1520.47+0.00714403d,+600.074+0.00281842d,+1440.42+0.00676769d,+1600.52+0.0075204d,+1000.2+0.00469852d,+400.033+0.00187872d,+640.084+0.00300639d,+720.106+0.00338235d
2021-01-06 02:45:00 UTC,+888.161+0.00416991d,+560.064+0.00262779d,+424.037+0.00198945d,+616.078+0.00289067d,+520.055+0.00244003d,+880.158+0.00413019d,+640.084+0.00300334d,+480.047+0.00225228d,+840.144+0.00394236d,+520.055+0.002442d,+1680.58+0.00789516d,+400.033+0.00187832d,+600.074+0.00281783d,+1360.38+0.00639006d,+1600.52+0.00751883d,+1800.66+0.00845972d,+1360.38+0.00639006d
2021-01-06 03:00:00 UTC,+1080.24+0.00507307d,+600.074+0.00281756d,+1120.26+0.00526113d,+640.084+0.00300547d,+720.106+0.00338132d,+1800.66+0.00845891d,+1560.5+0.00732998d,+1280.34+0.00601331d,+1400.4+0.00657754d,+1480.45+0.00695173d,+440.04+0.00206541d,+1280.34+0.00601157d,+1120.26+0.00525961d,+1640.55+0.00770403d,+480.047+0.00225323d,+640.084+0.0030046d,+480.047+0.00225323d
