# file...... Meter_633_A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_A:measured_power.real,xfmr_meter_633_A_1:measured_power.real,xfmr_meter_633_A_2:measured_power.real,xfmr_meter_633_A_3:measured_power.real,xfmr_meter_633_A_4:measured_power.real,xfmr_meter_633_A_5:measured_power.real,house_meter_633_A_1:measured_power.real,house_meter_633_A_2:measured_power.real,house_meter_633_A_3:measured_power.real,house_meter_633_A_4:measured_power.real,house_meter_633_A_5:measured_power.real,house_meter_633_A_6:measured_power.real,house_meter_633_A_7:measured_power.real,house_meter_633_A_8:measured_power.real,house_meter_633_A_9:measured_power.real,house_meter_633_A_10:measured_power.real,house_meter_633_A_11:measured_power.real,house_meter_633_A_12:measured_power.real,house_meter_633_A_13:measured_power.real,house_meter_633_A_14:measured_power.real,house_meter_633_A_15:measured_power.real,house_meter_633_A_16:measured_power.real,house_meter_633_A_17:measured_power.real,house_meter_633_A_18:measured_power.real,house_meter_633_A_19:measured_power.real
2021-01-06 00:00:00 UTC,7.3163e+04,1.9427e+04,1.7493e+04,6.8874e+03,3.6426e+03,2.5712e+04,6.1276e+03,5.5663e+03,1.0402e+03,8.8016e+02,8.0013e+02,1.0402e+03,1.8407e+03,2.0809e+03,5.0452e+03,4.0834e+03,7.6012e+02,4.0834e+03,1.6806e+03,5.6006e+02,7.2011e+02,5.2005e+02,6.8009e+02,5.6006e+02,6.4008e+02
2021-01-06 00:15:00 UTC,6.7576e+04,2.0431e+04,1.3996e+04,6.0060e+03,3.0015e+03,2.4140e+04,4.9249e+03,4.3639e+03,9.2017e+02,8.8016e+02,6.0007e+02,1.0802e+03,1.8007e+03,5.8068e+03,5.1253e+03,2.1209e+03,6.4008e+02,3.4424e+03,9.6019e+02,6.4008e+02,6.4008e+02,4.0003e+02,6.4008e+02,5.2005e+02,3.2002e+02
2021-01-06 00:30:00 UTC,6.4736e+04,1.8417e+04,1.2389e+04,6.2865e+03,2.2808e+03,2.5362e+04,4.9249e+03,3.5626e+03,9.2017e+02,9.2017e+02,6.8009e+02,1.0002e+03,1.8407e+03,4.5241e+03,5.1253e+03,2.0809e+03,6.4008e+02,2.4412e+03,6.4008e+02,6.4008e+02,5.2005e+02,2.8002e+02,4.4004e+02,5.6006e+02,4.0003e+02
2021-01-06 00:45:00 UTC,6.7231e+04,1.7697e+04,1.4316e+04,6.6073e+03,2.5209e+03,2.6090e+04,4.9650e+03,1.2403e+03,8.8016e+02,1.0002e+03,6.4008e+02,1.0402e+03,1.7206e+03,6.1677e+03,5.1253e+03,2.0408e+03,7.2010e+02,2.4412e+03,8.0013e+02,2.2010e+03,4.8005e+02,4.8005e+02,5.2005e+02,2.8002e+02,3.2002e+02
2021-01-06 01:00:00 UTC,6.2905e+04,1.7496e+04,1.2710e+04,8.8120e+03,2.2407e+03,2.1646e+04,4.8448e+03,1.0402e+03,9.2017e+02,1.1203e+03,5.6006e+02,1.0002e+03,1.8807e+03,6.0875e+03,5.1253e+03,2.1209e+03,7.6012e+02,2.4412e+03,6.4008e+02,4.0003e+02,7.2011e+02,4.8005e+02,6.0007e+02,4.0003e+02,6.4008e+02
2021-01-06 01:15:00 UTC,6.1571e+04,1.4314e+04,1.2510e+04,1.0981e+04,2.1607e+03,2.1606e+04,4.8848e+03,1.0802e+03,1.0802e+03,1.3204e+03,6.8009e+02,1.0802e+03,1.8007e+03,2.3611e+03,5.0853e+03,2.0809e+03,6.8009e+02,2.4012e+03,5.2005e+02,3.2002e+02,7.2011e+02,6.8009e+02,7.6012e+02,2.4001e+02,5.6006e+02
2021-01-06 01:30:00 UTC,7.5295e+04,1.4756e+04,1.4356e+04,1.1902e+04,2.2007e+03,3.2079e+04,5.0452e+03,1.0402e+03,8.8016e+02,2.4012e+03,7.6012e+02,1.0802e+03,1.8407e+03,1.6806e+03,5.1253e+03,1.9207e+03,7.2010e+02,2.4812e+03,4.0003e+02,3.6003e+02,2.4812e+03,8.4014e+02,6.8009e+02,7.6012e+02,6.4008e+02
2021-01-06 01:45:00 UTC,6.8337e+04,1.4596e+04,1.2991e+04,8.2109e+03,2.3608e+03,3.0177e+04,5.1253e+03,1.0402e+03,9.2017e+02,2.6014e+03,6.4008e+02,1.0802e+03,2.0809e+03,1.0802e+03,5.1654e+03,1.8807e+03,7.2010e+02,2.5213e+03,6.0007e+02,4.8005e+02,6.8009e+02,9.2017e+02,7.2010e+02,6.4008e+02,5.6006e+02
2021-01-06 02:00:00 UTC,6.1824e+04,1.4877e+04,1.2630e+04,9.2134e+03,2.0006e+03,2.3103e+04,4.9650e+03,1.0002e+03,1.1603e+03,2.3611e+03,5.2005e+02,1.0002e+03,2.6815e+03,1.1603e+03,5.1253e+03,1.6405e+03,6.0007e+02,2.4812e+03,6.4008e+02,5.6006e+02,8.0013e+02,7.6012e+02,6.8009e+02,6.8009e+02,2.2010e+03
2021-01-06 02:15:00 UTC,6.7500e+04,1.3833e+04,1.4759e+04,1.0859e+04,2.1206e+03,2.5929e+04,4.9249e+03,1.0402e+03,8.4014e+02,2.4412e+03,7.2010e+02,1.0802e+03,1.7206e+03,1.0402e+03,5.5663e+03,1.6005e+03,2.3611e+03,2.4012e+03,7.6012e+02,5.6006e+02,6.8009e+02,8.0013e+02,9.2017e+02,2.2811e+03,6.4008e+02
