# file...... Meter_633_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_C:measured_power,xfmr_meter_633_C_1:measured_power,xfmr_meter_633_C_2:measured_power,xfmr_meter_633_C_3:measured_power,xfmr_meter_633_C_4:measured_power,xfmr_meter_633_C_5:measured_power,house_meter_633_C_1:measured_power,house_meter_633_C_2:measured_power,house_meter_633_C_3:measured_power,house_meter_633_C_4:measured_power,house_meter_633_C_5:measured_power,house_meter_633_C_6:measured_power,house_meter_633_C_7:measured_power,house_meter_633_C_8:measured_power,house_meter_633_C_9:measured_power,house_meter_633_C_10:measured_power,house_meter_633_C_11:measured_power,house_meter_633_C_12:measured_power,house_meter_633_C_13:measured_power,house_meter_633_C_14:measured_power,house_meter_633_C_15:measured_power,house_meter_633_C_16:measured_power,house_meter_633_C_17:measured_power,house_meter_633_C_18:measured_power,house_meter_633_C_19:measured_power,house_meter_633_C_20:measured_power,house_meter_633_C_21:measured_power,house_meter_633_C_22:measured_power,house_meter_633_C_23:measured_power
2021-01-06 00:00:00 UTC,+86657.5+319.481j,+6246.5+7.66752j,+18053.6+63.774j,+19576.7+72.432j,+21954.7+92.4544j,+20825.2+82.4019j,+680.095+0.00320333d,+360.027+0.00169555d,+400.033+0.00188399d,+520.055+0.00244937d,+360.027+0.00169555d,+1720.61+0.00810775d,+560.064+0.00263784d,+1640.55+0.00773027d,+5446.11+0.0257587d,+1960.79+0.00926074d,+1280.34+0.00604529d,+400.033+0.00188812d,+1440.43+0.00680162d,+3041.9+0.0143732d,+1480.45+0.00699073d,+2961.81+0.0139943d,+3242.16+0.015325d,+1120.26+0.0052906d,+2881.71+0.0136192d,+2721.52+0.0128613d,+2801.62+0.0132403d,+1200.3+0.00566878d,+2801.62+0.0132403d
2021-01-06 00:15:00 UTC,+88501.9+367.361j,+7571.52+12.042j,+8612.45+14.5997j,+24815.7+118.124j,+20425.4+80.2758j,+27076+141.464j,+480.047+0.00225893d,+320.021+0.0015058d,+400.033+0.00188235d,+560.064+0.00263555d,+360.027+0.00169407d,+1480.45+0.00696932d,+520.055+0.00244723d,+3442.43+0.0162185d,+2601.39+0.0122542d,+320.021+0.00150609d,+1280.34+0.00602794d,+400.033+0.00188271d,+1520.47+0.00715923d,+560.064+0.00263605d,+1520.47+0.00715923d,+400.033+0.00188271d,+4484.14+0.0212034d,+440.04+0.00207728d,+4243.71+0.0200645d,+2681.48+0.01267d,+4043.37+0.0191157d,+760.119+0.00358874d,+4043.37+0.0191157d
2021-01-06 00:30:00 UTC,+78882.1+292.65j,+5525.45+6.13337j,+8773.02+15.1749j,+21878.1+93.2108j,+19015.9+69.1878j,+23689+108.263j,+400.033+0.00187881d,+400.033+0.00187881d,+360.027+0.00169088d,+400.033+0.00187881d,+320.021+0.00150297d,+2120.92+0.0099682d,+520.055+0.00244263d,+1000.2+0.00469874d,+2361.14+0.011105d,+320.021+0.00150387d,+1240.31+0.0058308d,+320.021+0.00150387d,+2160.96+0.0101626d,+520.055+0.00244409d,+1480.45+0.00696037d,+360.027+0.0016919d,+4323.84+0.020402d,+480.047+0.00226152d,+4163.56+0.0196444d,+280.016+0.00131906d,+3602.67+0.0169941d,+800.131+0.00376995d,+4083.43+0.0192657d
2021-01-06 00:45:00 UTC,+67669.5+227.204j,+3601.96+2.46387j,+8411.8+13.8789j,+18097.1+65.2534j,+13751.2+36.9431j,+23806.9+108.139j,+320.021+0.00150192d,+280.016+0.00131414d,+360.026+0.0016897d,+320.021+0.00150192d,+400.033+0.00187749d,+560.064+0.00262874d,+480.047+0.0022531d,+880.158+0.00413169d,+2361.14+0.0111004d,+320.021+0.00150325d,+1520.47+0.00714571d,+320.021+0.00150325d,+1480.45+0.00695749d,+520.055+0.00244308d,+1520.47+0.00714571d,+360.027+0.0016912d,+4043.36+0.0190563d,+560.064+0.0026358d,+4043.36+0.0190563d,+360.027+0.00169424d,+240.012+0.00112941d,+760.118+0.0035776d,+4043.36+0.0190563d
2021-01-06 01:00:00 UTC,+65217+206.375j,+3842.18+2.78445j,+9174.44+16.6754j,+12509.5+32.054j,+18859.7+69.9457j,+20830.7+84.4453j,+360.027+0.00169016d,+360.027+0.00169016d,+440.04+0.00206585d,+360.027+0.00169016d,+400.033+0.001878d,+560.064+0.00262946d,+520.055+0.00244158d,+840.144+0.00394486d,+2401.18+0.011293d,+360.027+0.00169182d,+1280.34+0.00601877d,+320.021+0.00150381d,+1440.42+0.00677178d,+520.055+0.00244398d,+2521.3+0.0118585d,+320.021+0.00150381d,+1120.26+0.00526916d,+400.033+0.00188101d,+1400.4+0.00658758d,+440.04+0.00206916d,+280.016+0.00131661d,+760.118+0.00357471d,+4003.29+0.0188519d
2021-01-06 01:15:00 UTC,+60883.4+188.09j,+3601.95+2.45913j,+8693.47+15.1768j,+10103+22.4382j,+21925.3+96.3945j,+16559.2+51.1954j,+360.027+0.00169041d,+320.021+0.00150255d,+360.027+0.00169041d,+360.027+0.00169041d,+360.027+0.00169041d,+480.047+0.00225405d,+480.047+0.00225405d,+880.158+0.00413344d,+2361.14+0.0111057d,+280.016+0.00131594d,+2681.47+0.012614d,+360.027+0.00169201d,+1480.45+0.00696081d,+480.047+0.00225617d,+680.095+0.00319664d,+360.027+0.00169201d,+240.012+0.00112822d,+280.016+0.00131628d,+360.027+0.00169245d,+360.027+0.00169245d,+360.027+0.00169245d,+400.033+0.00188054d,+4043.35+0.0190361d
2021-01-06 01:30:00 UTC,+60106.1+170.51j,+4764+4.53389j,+9857.93+19.7385j,+9942.42+21.7529j,+20468.9+81.7269j,+15072.5+42.3694j,+280.016+0.00131291d,+280.016+0.00131291d,+320.021+0.0015005d,+320.021+0.0015005d,+1800.66+0.00844799d,+480.047+0.00225097d,+480.047+0.00225097d,+800.131+0.00375236d,+3843.02+0.018062d,+400.033+0.00187748d,+720.106+0.00338013d,+1840.69+0.00864406d,+1560.5+0.0073274d,+600.074+0.00281657d,+640.084+0.00300442d,+240.012+0.00112638d,+320.021+0.00150194d,+320.021+0.00150194d,+400.033+0.00187751d,+280.016+0.00131416d,+320.021+0.00150194d,+280.016+0.00131416d,+4003.28+0.0188167d
2021-01-06 01:45:00 UTC,+63750.9+222.108j,+3842.23+2.80113j,+5645.58+6.35713j,+10143.1+22.5684j,+22644.1+100.029j,+21475.4+89.8459j,+320.021+0.00150194d,+360.026+0.00168973d,+440.04+0.00206533d,+360.026+0.00168973d,+400.033+0.00187752d,+520.055+0.00244096d,+480.047+0.00225314d,+960.189+0.0045076d,+1760.63+0.00827076d,+280.016+0.00131461d,+360.027+0.00169029d,+320.021+0.00150244d,+1560.5+0.00733d,+440.04+0.00206601d,+600.074+0.00281757d,+320.021+0.00150244d,+360.027+0.0016917d,+360.027+0.0016917d,+360.027+0.0016917d,+240.012+0.00112772d,+280.016+0.0013157d,+440.04+0.00206773d,+4043.35+0.0190277d
2021-01-06 02:00:00 UTC,+59962.5+190.142j,+5365.27+5.83664j,+5966.18+7.07937j,+7573.3+12.7491j,+20550.4+82.8356j,+20506.9+81.2067j,+440.04+0.00206641d,+320.021+0.00150273d,+360.027+0.00169061d,+320.021+0.00150273d,+360.027+0.00169061d,+440.04+0.00206641d,+2160.96+0.0101549d,+960.189+0.00450996d,+520.055+0.00244251d,+360.027+0.0016908d,+440.04+0.00206663d,+360.027+0.0016908d,+1400.4+0.00657954d,+2000.82+0.00940281d,+600.074+0.00281842d,+280.016+0.001315d,+280.016+0.00131539d,+400.033+0.00187927d,+320.021+0.00150334d,+320.021+0.00150334d,+240.012+0.00112745d,+320.021+0.00150334d,+4043.35+0.0190232d
2021-01-06 02:15:00 UTC,+55107.8+179.673j,+3201.53+1.93807j,+5605.56+6.28957j,+4684.96+4.8245j,+21313.9+88.3096j,+20301.5+77.8925j,+240.012+0.00112534d,+320.021+0.00150053d,+320.021+0.00150053d,+280.016+0.00131293d,+360.026+0.00168814d,+520.055+0.00243866d,+440.04+0.00206338d,+720.106+0.00337702d,+400.033+0.00187658d,+280.016+0.00131351d,+280.016+0.00131351d,+240.012+0.00112584d,+1440.42+0.00676001d,+480.047+0.00225201d,+600.074+0.00281522d,+1880.72+0.00882796d,+240.012+0.00112565d,+400.033+0.00187627d,+280.016+0.00131329d,+360.026+0.0016886d,+240.012+0.00112565d,+280.016+0.00131329d,+2561.34+0.012024d
