# file...... Meter_632_B_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_B:measured_power,xfmr_meter_632_B_1:measured_power,xfmr_meter_632_B_2:measured_power,xfmr_meter_632_B_3:measured_power,xfmr_meter_632_B_4:measured_power,xfmr_meter_632_B_5:measured_power,house_meter_632_B_1:measured_power,house_meter_632_B_2:measured_power,house_meter_632_B_3:measured_power,house_meter_632_B_4:measured_power,house_meter_632_B_5:measured_power,house_meter_632_B_6:measured_power,house_meter_632_B_7:measured_power,house_meter_632_B_8:measured_power,house_meter_632_B_9:measured_power,house_meter_632_B_10:measured_power,house_meter_632_B_11:measured_power,house_meter_632_B_12:measured_power,house_meter_632_B_13:measured_power,house_meter_632_B_14:measured_power,house_meter_632_B_15:measured_power,house_meter_632_B_16:measured_power,house_meter_632_B_17:measured_power,house_meter_632_B_18:measured_power,house_meter_632_B_19:measured_power,house_meter_632_B_20:measured_power,house_meter_632_B_21:measured_power,house_meter_632_B_22:measured_power,house_meter_632_B_23:measured_power
2021-01-06 00:00:00 UTC,+37817.1+72.5248j,+3842.15+2.72417j,+5724.65+6.00092j,+8210.74+12.8187j,+16197.2+48.0275j,+3842.2+2.74627j,+520.054+0.00238376d,+600.072+0.00275062d,+640.082+0.00293407d,+760.115+0.00348446d,+320.02+0.00146675d,+240.011+0.00110001d,+400.032+0.00183353d,+360.026+0.00165014d,+560.063+0.00256806d,+1000.2+0.00458703d,+960.184+0.00440344d,+640.082+0.00293506d,+720.104+0.00330211d,+640.082+0.00293506d,+560.063+0.00256806d,+640.082+0.00293506d,+600.072+0.00275279d,+280.016+0.00128439d,+760.115+0.0034872d,+200.008+0.000917376d,+2080.87+0.00955149d,+1840.68+0.00844818d,+1360.37+0.00624251d
2021-01-06 00:15:00 UTC,+41509.6+85.6186j,+2721.05+1.35751j,+8773.42+15.1299j,+7649.56+11.2445j,+16719.9+51.4195j,+5645.46+6.22626j,+280.016+0.0012874d,+280.016+0.0012874d,+400.032+0.00183928d,+400.032+0.00183928d,+320.021+0.00147135d,+280.016+0.0012874d,+320.021+0.00147135d,+440.039+0.00202325d,+3282.16+0.0151248d,+1240.31+0.00571087d,+600.072+0.00276226d,+240.012+0.00110467d,+560.063+0.00257805d,+640.082+0.00294649d,+680.093+0.00313072d,+1520.46+0.00700161d,+720.104+0.00331428d,+160.005+0.000736262d,+400.032+0.00184091d,+80.0013+0.000368115d,+1720.59+0.00792221d,+1840.65+0.00811504d,+1600.49+0.00700972d
2021-01-06 00:30:00 UTC,+35855.9+70.6639j,+2280.73+0.952651j,+4442.93+3.67489j,+9374.2+16.8181j,+15875.7+46.2036j,+3882.26+2.81336j,+240.012+0.00110262d,+280.016+0.00128642d,+360.026+0.00165405d,+280.016+0.00128642d,+240.012+0.00110262d,+240.012+0.00110262d,+280.016+0.00128642d,+360.026+0.00165405d,+280.016+0.00128693d,+360.026+0.0016547d,+960.185+0.00441412d,+280.016+0.00128693d,+600.072+0.00275823d,+600.072+0.00275823d,+840.141+0.00386208d,+520.054+0.00239035d,+2521.27+0.0116083d,+280.016+0.00128807d,+480.046+0.00220839d,+240.012+0.00110404d,+1720.59+0.00791931d,+1840.68+0.00847244d,+1360.37+0.00626043d
2021-01-06 00:45:00 UTC,+38665.8+82.0182j,+4844.11+4.61462j,+4202.54+3.25304j,+7168.28+9.81544j,+18087.9+60.5566j,+4362.84+3.54628j,+640.082+0.00293892d,+1920.74+0.00882354d,+560.063+0.00257143d,+400.032+0.00183656d,+400.032+0.00183656d,+280.016+0.0012855d,+280.016+0.0012855d,+360.026+0.00165286d,+800.128+0.00367358d,+360.026+0.00165267d,+560.063+0.00257113d,+240.012+0.0011017d,+520.054+0.00238742d,+520.054+0.00238742d,+560.063+0.00257113d,+640.082+0.00293858d,+560.063+0.00257251d,+240.012+0.00110229d,+440.039+0.00202111d,+240.012+0.00110229d,+1560.49+0.00717058d,+1840.68+0.00845904d,+1400.39+0.00643452d
2021-01-06 01:00:00 UTC,+36939.2+72.9039j,+5004.78+5.08072j,+4963.78+4.62679j,+6166.21+7.29237j,+16881.9+52.8247j,+3922.32+2.87406j,+480.046+0.00220221d,+2281.04+0.0104718d,+520.054+0.00238578d,+480.046+0.00220221d,+320.02+0.001468d,+200.008+0.00091743d,+280.016+0.00128447d,+440.039+0.00201864d,+640.082+0.00293654d,+400.032+0.00183507d,+440.039+0.00201863d,+360.026+0.00165152d,+680.092+0.00312014d,+520.054+0.00238576d,+1440.41+0.00661038d,+480.046+0.00220219d,+520.054+0.00238628d,+160.005+0.00073408d,+280.016+0.00128473d,+160.005+0.00073408d,+1520.46+0.00697948d,+1280.31+0.00552079d,+1440.41+0.00661182d
2021-01-06 01:15:00 UTC,+36817.1+71.1848j,+2761.1+1.40088j,+4522.94+3.75967j,+6206.08+7.29309j,+16317.8+48.7245j,+7009.01+9.80511j,+280.016+0.00128147d,+240.011+0.00109838d,+560.063+0.00256337d,+320.02+0.00146457d,+400.032+0.0018308d,+240.011+0.00109838d,+280.016+0.00128147d,+440.039+0.00201393d,+720.103+0.00329712d,+360.026+0.00164821d,+480.046+0.00219777d,+280.016+0.00128188d,+600.072+0.00274741d,+680.092+0.00311388d,+840.141+0.00384692d,+560.063+0.00256418d,+560.063+0.00256496d,+280.016+0.00128227d,+320.02+0.00146548d,+200.008+0.00091586d,+1520.46+0.00696604d,+1040.22+0.00476487d,+1400.37+0.00605949d
2021-01-06 01:30:00 UTC,+30963.2+55.1997j,+2320.77+0.989864j,+3281.62+2.01156j,+5685.35+6.23462j,+15152.3+42.003j,+4523.03+3.80258j,+320.02+0.00146922d,+280.016+0.00128554d,+400.032+0.00183661d,+320.02+0.00146922d,+160.005+0.000734541d,+280.016+0.00128554d,+200.008+0.000918198d,+360.026+0.00165291d,+120.003+0.000550988d,+440.039+0.00202067d,+240.012+0.00110205d,+200.008+0.000918357d,+520.054+0.00238818d,+520.054+0.00238818d,+720.104+0.00330711d,+520.054+0.00238818d,+440.039+0.00202155d,+160.005+0.000734987d,+320.02+0.00147011d,+120.003+0.000551227d,+1480.44+0.006804d,+800.128+0.00367634d,+1480.44+0.006804d
2021-01-06 01:45:00 UTC,+31199.7+50.5525j,+3922.25+2.84861j,+3481.77+2.24505j,+6326.51+7.67458j,+13867.1+35.2084j,+3601.97+2.43139j,+640.082+0.00294051d,+600.072+0.00275666d,+760.116+0.00349211d,+520.054+0.00238899d,+560.063+0.00257282d,+240.012+0.00110243d,+240.012+0.00110243d,+360.026+0.00165376d,+320.02+0.00146986d,+200.008+0.000918594d,+320.02+0.00146986d,+280.016+0.00128609d,+600.072+0.00275644d,+600.072+0.00275644d,+560.063+0.00257262d,+600.072+0.00275644d,+480.046+0.00220613d,+320.02+0.00147061d,+280.016+0.00128675d,+320.02+0.00147061d,+1480.44+0.00680632d,+880.155+0.00404554d,+1800.65+0.00827955d
2021-01-06 02:00:00 UTC,+31963.3+52.4413j,+5847.97+7.52587j,+3401.69+2.14409j,+5685.38+6.2508j,+13666.5+34.2682j,+3361.68+2.10601j,+360.026+0.00165545d,+360.026+0.00165545d,+480.046+0.00220743d,+3362.27+0.0154788d,+360.026+0.00165545d,+240.012+0.00110355d,+240.012+0.00110355d,+440.039+0.00202343d,+200.008+0.0009192d,+400.032+0.00183862d,+240.012+0.00110307d,+320.021+0.00147083d,+680.093+0.00312618d,+480.046+0.00220645d,+560.063+0.00257432d,+520.054+0.00239038d,+320.021+0.00147143d,+160.005+0.000735646d,+280.016+0.00128747d,+120.003+0.000551721d,+1360.37+0.0062575d,+1040.2+0.00443036d,+1520.46+0.00699435d
2021-01-06 02:15:00 UTC,+31199.5+49.4357j,+2520.91+1.17059j,+4242.63+3.33136j,+5805.47+6.45586j,+13385.7+32.9528j,+5244.75+5.38486j,+280.016+0.00128556d,+360.026+0.00165294d,+480.046+0.00220408d,+320.02+0.00146924d,+160.005+0.00073455d,+280.016+0.00128556d,+240.012+0.00110188d,+400.032+0.00183664d,+880.155+0.00404303d,+240.012+0.00110222d,+520.054+0.00238855d,+280.016+0.00128596d,+520.054+0.00238855d,+680.093+0.00312379d,+560.063+0.00257234d,+560.063+0.00257234d,+360.026+0.00165392d,+240.012+0.00110253d,+320.02+0.00147011d,+160.005+0.000734985d,+1400.39+0.00643592d,+1400.39+0.00643592d,+1160.25+0.00497681d
