# file...... Meter_684_A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power.real,xfmr_meter_684_A_1:measured_power.real,xfmr_meter_684_A_2:measured_power.real,xfmr_meter_684_A_3:measured_power.real,xfmr_meter_684_A_4:measured_power.real,xfmr_meter_684_A_5:measured_power.real,house_meter_684_A_1:measured_power.real,house_meter_684_A_2:measured_power.real,house_meter_684_A_3:measured_power.real,house_meter_684_A_4:measured_power.real,house_meter_684_A_5:measured_power.real,house_meter_684_A_6:measured_power.real,house_meter_684_A_7:measured_power.real,house_meter_684_A_8:measured_power.real,house_meter_684_A_9:measured_power.real,house_meter_684_A_10:measured_power.real,house_meter_684_A_11:measured_power.real,house_meter_684_A_12:measured_power.real,house_meter_684_A_13:measured_power.real,house_meter_684_A_14:measured_power.real,house_meter_684_A_15:measured_power.real,house_meter_684_A_16:measured_power.real,house_meter_684_A_17:measured_power.real,house_meter_684_A_18:measured_power.real,house_meter_684_A_19:measured_power.real
2021-01-06 00:00:00 UTC,3.4399e+04,6.3258e+03,9.4952e+03,6.3662e+03,7.0075e+03,5.2043e+03,6.8009e+02,6.4008e+02,6.8009e+02,7.2011e+02,8.4014e+02,6.4008e+02,1.3204e+03,8.0013e+02,1.0402e+03,7.6012e+02,3.9619e+03,7.6012e+02,3.6003e+02,1.0402e+03,9.6019e+02,6.0007e+02,3.6003e+02,4.0003e+02,1.0802e+03
2021-01-06 00:15:00 UTC,3.6964e+04,8.4925e+03,8.3708e+03,6.2856e+03,7.0477e+03,6.7673e+03,6.0007e+02,6.4008e+02,7.6012e+02,6.8009e+02,8.8016e+02,8.0013e+02,3.3222e+03,8.0013e+02,7.6012e+02,7.6011e+02,2.9610e+03,6.8009e+02,7.6012e+02,4.4004e+02,1.0402e+03,9.6019e+02,7.6012e+02,8.0013e+02,6.0007e+02
2021-01-06 00:30:00 UTC,3.4799e+04,8.2916e+03,6.2055e+03,5.2440e+03,7.0075e+03,8.0501e+03,6.4008e+02,6.4008e+02,6.8009e+02,6.4008e+02,9.6019e+02,8.8016e+02,3.0419e+03,8.0013e+02,7.6012e+02,7.6012e+02,1.1202e+03,6.8009e+02,5.6006e+02,8.0013e+02,8.0013e+02,7.2010e+02,5.6006e+02,4.4004e+02,1.0402e+03
2021-01-06 00:45:00 UTC,3.4200e+04,6.0452e+03,6.0453e+03,5.9650e+03,6.5668e+03,9.5772e+03,6.4008e+02,6.0007e+02,6.8009e+02,6.0007e+02,9.2017e+02,9.2017e+02,9.2017e+02,7.6012e+02,6.8009e+02,6.8009e+02,1.0402e+03,6.0007e+02,4.8005e+02,4.8005e+02,9.6019e+02,1.1203e+03,7.6012e+02,8.0013e+02,6.8009e+02
2021-01-06 01:00:00 UTC,3.2555e+04,5.9651e+03,5.6445e+03,4.6431e+03,7.2479e+03,9.0547e+03,6.0007e+02,6.4008e+02,7.2011e+02,6.0007e+02,9.6019e+02,8.4014e+02,9.2017e+02,6.8009e+02,6.0007e+02,8.0012e+02,7.2011e+02,6.4008e+02,7.2011e+02,6.0007e+02,8.0013e+02,7.6012e+02,4.0003e+02,4.4004e+02,9.2017e+02
2021-01-06 01:15:00 UTC,2.9306e+04,5.7247e+03,5.9651e+03,5.3641e+03,6.0059e+03,6.2460e+03,6.0007e+02,6.0007e+02,7.2011e+02,6.4008e+02,8.8016e+02,8.0013e+02,8.0013e+02,6.8009e+02,6.4008e+02,7.2011e+02,7.6012e+02,6.0007e+02,5.2005e+02,8.8016e+02,1.1203e+03,7.2011e+02,6.8009e+02,6.8009e+02,6.8009e+02
2021-01-06 01:30:00 UTC,2.7062e+04,6.0452e+03,4.9635e+03,5.4845e+03,6.1259e+03,4.4430e+03,7.6012e+02,6.4008e+02,8.0013e+02,6.4008e+02,9.6019e+02,7.6012e+02,7.6012e+02,7.2010e+02,6.4008e+02,7.2010e+02,6.8009e+02,6.4008e+02,6.4008e+02,4.4004e+02,7.6012e+02,4.4004e+02,5.6006e+02,5.6006e+02,1.2403e+03
2021-01-06 01:45:00 UTC,3.0505e+04,5.9650e+03,6.6035e+03,6.2856e+03,5.9655e+03,5.6850e+03,7.2010e+02,7.6012e+02,8.0013e+02,6.0007e+02,8.8016e+02,7.2010e+02,8.0013e+02,6.8009e+02,7.6012e+02,7.6012e+02,8.4014e+02,6.0007e+02,9.6019e+02,8.8016e+02,1.0402e+03,7.5745e+02,7.6012e+02,6.4008e+02,7.2010e+02
2021-01-06 02:00:00 UTC,2.7383e+04,5.7647e+03,5.4842e+03,5.7649e+03,6.0859e+03,4.2828e+03,7.2010e+02,6.8009e+02,7.2010e+02,6.0007e+02,8.4014e+02,6.4008e+02,7.6012e+02,8.0013e+02,7.6012e+02,7.2010e+02,7.6012e+02,6.0007e+02,7.6012e+02,6.0007e+02,7.6012e+02,5.2005e+02,4.4004e+02,5.6006e+02,1.2403e+03
2021-01-06 02:15:00 UTC,3.1233e+04,5.8448e+03,6.0453e+03,9.8153e+03,5.6050e+03,3.9225e+03,7.2010e+02,6.0007e+02,7.2010e+02,6.0007e+02,8.4014e+02,7.2010e+02,8.4014e+02,8.0013e+02,6.8009e+02,6.8009e+02,7.2010e+02,6.8009e+02,5.6006e+02,8.4014e+02,1.3204e+03,5.6006e+02,1.5605e+03,6.4008e+02,8.0013e+02
2021-01-06 02:30:00 UTC,2.9347e+04,6.0051e+03,5.2039e+03,7.4488e+03,6.1657e+03,4.5231e+03,8.4014e+02,6.4008e+02,8.0013e+02,6.0007e+02,8.4014e+02,6.8009e+02,8.8016e+02,7.2010e+02,6.0007e+02,7.2010e+02,8.0013e+02,5.6006e+02,6.4008e+02,4.8005e+02,8.0013e+02,6.0007e+02,1.7606e+03,5.6006e+02,8.4014e+02
2021-01-06 02:45:00 UTC,3.0229e+04,5.6846e+03,6.0052e+03,7.6902e+03,6.2060e+03,4.6433e+03,6.4008e+02,5.6006e+02,8.0013e+02,6.4008e+02,8.4014e+02,6.8009e+02,8.4014e+02,6.8009e+02,6.4008e+02,9.2017e+02,8.0013e+02,6.4008e+02,8.0013e+02,7.6012e+02,1.0002e+03,4.4004e+02,5.2005e+02,7.2011e+02,9.6019e+02
2021-01-06 03:00:00 UTC,2.9588e+04,5.7647e+03,7.4891e+03,5.9657e+03,5.8053e+03,4.5630e+03,6.8009e+02,6.4008e+02,8.4014e+02,6.4008e+02,8.0013e+02,6.8009e+02,7.6012e+02,7.2010e+02,6.4008e+02,9.2017e+02,8.0013e+02,6.0007e+02,2.5213e+03,5.6006e+02,5.6006e+02,8.8016e+02,6.4008e+02,4.4004e+02,6.8009e+02
