# file...... 1Meter_645_C_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_C_20:measured_power.real,house_meter_645_C_21:measured_power.real,house_meter_645_C_22:measured_power.real,house_meter_645_C_23:measured_power.real,house_meter_645_C_24:measured_power.real,house_meter_645_C_25:measured_power.real,house_meter_645_C_26:measured_power.real,house_meter_645_C_27:measured_power.real,house_meter_645_C_28:measured_power.real,house_meter_645_C_29:measured_power.real,house_meter_645_C_30:measured_power.real,house_meter_645_C_31:measured_power.real,house_meter_645_C_32:measured_power.real,house_meter_645_C_33:measured_power.real,house_meter_645_C_34:measured_power.real,house_meter_645_C_35:measured_power.real,house_meter_645_C_36:measured_power.real,house_meter_645_C_37:measured_power.real,house_meter_645_C_38:measured_power.real,house_meter_645_C_39:measured_power.real,house_meter_645_C_40:measured_power.real
2021-01-06 00:00:00 UTC,3.2422e+03,1.2403e+03,1.0802e+03,1.9208e+03,1.3204e+03,6.0007e+02,5.2006e+02,1.2403e+03,5.6006e+02,1.4804e+03,1.0802e+03,5.2006e+02,1.0802e+03,1.4805e+03,1.6806e+03,4.4004e+02,7.6012e+02,1.7206e+03,1.1203e+03,1.3204e+03,8.4014e+02
2021-01-06 00:15:00 UTC,9.2017e+02,1.0002e+03,1.0402e+03,2.1610e+03,4.9651e+03,6.4008e+02,6.8009e+02,1.1603e+03,5.6006e+02,8.8016e+02,7.6012e+02,1.3204e+03,2.0409e+03,6.8009e+02,1.0402e+03,8.8016e+02,1.0402e+03,6.8009e+02,8.8016e+02,8.8016e+02,1.1203e+03
2021-01-06 00:30:00 UTC,9.2017e+02,1.0002e+03,9.6019e+02,2.2410e+03,2.8817e+03,5.6006e+02,6.8009e+02,1.1203e+03,6.0007e+02,1.8407e+03,1.4404e+03,8.4014e+02,7.2011e+02,8.0013e+02,1.2403e+03,1.3204e+03,1.5605e+03,2.0008e+03,9.6019e+02,1.1603e+03,9.6019e+02
2021-01-06 00:45:00 UTC,6.8810e+02,7.8413e+02,9.4418e+02,4.5883e+03,7.1210e+02,6.0007e+02,2.2330e+03,9.4418e+02,9.2017e+02,1.1203e+03,7.6012e+02,5.6006e+02,1.4004e+03,2.0008e+03,1.3204e+03,6.4008e+02,1.2803e+03,1.0402e+03,1.1603e+03,1.1203e+03,4.8005e+02
2021-01-06 01:00:00 UTC,1.1603e+03,9.6019e+02,1.1203e+03,4.4441e+03,1.0802e+03,7.2011e+02,4.4441e+03,1.2803e+03,4.5242e+03,1.1603e+03,1.4404e+03,1.9208e+03,8.8016e+02,6.4008e+02,8.8016e+02,1.4004e+03,1.2403e+03,1.4804e+03,6.4008e+02,1.6005e+03,1.4404e+03
2021-01-06 01:15:00 UTC,1.0802e+03,1.0802e+03,1.2803e+03,1.3204e+03,1.1603e+03,6.4008e+02,5.6006e+02,8.0013e+02,2.4813e+03,1.8807e+03,5.6006e+02,4.4004e+02,1.3204e+03,1.4404e+03,1.7606e+03,5.2006e+02,5.6006e+02,1.4804e+03,1.4404e+03,1.2003e+03,1.2003e+03
2021-01-06 01:30:00 UTC,8.4014e+02,3.8831e+03,1.2403e+03,1.1203e+03,1.0802e+03,5.6006e+02,5.6006e+02,1.4404e+03,7.2011e+02,7.6012e+02,1.5205e+03,7.6012e+02,1.1203e+03,5.6006e+02,9.2017e+02,9.6019e+02,1.6406e+03,9.6019e+02,1.0402e+03,1.1203e+03,1.6005e+03
2021-01-06 01:45:00 UTC,8.4014e+02,3.0499e+03,1.0962e+03,9.6819e+02,7.0410e+02,2.3291e+03,4.6404e+02,3.7068e+03,5.0405e+02,1.9208e+03,6.4008e+02,1.2403e+03,1.2403e+03,1.2003e+03,2.1610e+03,1.6806e+03,5.2006e+02,2.0809e+03,1.6406e+03,1.3604e+03,4.0003e+02
2021-01-06 02:00:00 UTC,1.6406e+03,1.1603e+03,5.0052e+03,1.2803e+03,9.6019e+02,4.3639e+03,5.6006e+02,2.4012e+03,5.6006e+02,1.0402e+03,1.6806e+03,6.8009e+02,1.0802e+03,1.0802e+03,4.4004e+02,6.4008e+02,1.6406e+03,6.4008e+02,5.6006e+02,8.4014e+02,1.1203e+03
2021-01-06 02:15:00 UTC,4.6845e+03,1.0802e+03,2.6815e+03,1.2803e+03,9.2017e+02,6.0007e+02,6.8009e+02,6.0007e+02,5.2006e+02,1.2403e+03,6.0007e+02,1.4404e+03,1.0402e+03,5.6006e+02,1.6406e+03,4.4004e+02,6.4008e+02,1.9208e+03,1.6806e+03,1.4004e+03,8.8016e+02
