# file...... 1Meter_611_C_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_20:measured_power.real,house_meter_611_C_21:measured_power.real,house_meter_611_C_22:measured_power.real,house_meter_611_C_23:measured_power.real,house_meter_611_C_24:measured_power.real,house_meter_611_C_25:measured_power.real,house_meter_611_C_26:measured_power.real,house_meter_611_C_27:measured_power.real,house_meter_611_C_28:measured_power.real,house_meter_611_C_29:measured_power.real,house_meter_611_C_30:measured_power.real,house_meter_611_C_31:measured_power.real,house_meter_611_C_32:measured_power.real,house_meter_611_C_33:measured_power.real,house_meter_611_C_34:measured_power.real,house_meter_611_C_35:measured_power.real,house_meter_611_C_36:measured_power.real,house_meter_611_C_37:measured_power.real,house_meter_611_C_38:measured_power.real,house_meter_611_C_39:measured_power.real,house_meter_611_C_40:measured_power.real
2021-01-06 00:00:00 UTC,6.8010e+02,1.0002e+03,1.0002e+03,1.4404e+03,5.2006e+02,9.2018e+02,1.0802e+03,2.5213e+03,4.6846e+03,7.2011e+02,7.0504e+03,1.0802e+03,7.6012e+02,1.5605e+03,2.1209e+03,2.6815e+03,1.7927e+03,2.6014e+03,1.9208e+03,2.0809e+03,2.1209e+03
2021-01-06 00:15:00 UTC,8.0013e+02,8.0013e+02,8.0013e+02,3.7629e+03,6.8010e+02,8.8016e+02,7.6012e+02,8.4015e+02,1.5205e+03,8.0013e+02,1.4004e+03,1.0002e+03,7.6012e+02,2.0809e+03,2.0409e+03,8.7761e+03,1.7094e+03,3.9232e+03,1.8007e+03,2.1209e+03,2.1610e+03
2021-01-06 00:30:00 UTC,6.8010e+02,1.0402e+03,3.6828e+03,9.6019e+02,6.4008e+02,7.2011e+02,1.1203e+03,8.8016e+02,2.1610e+03,6.4008e+02,8.8016e+02,6.4008e+02,8.4015e+02,5.4462e+03,2.0008e+03,2.7616e+03,1.7206e+03,2.4813e+03,2.8016e+03,2.0409e+03,5.8872e+03
2021-01-06 00:45:00 UTC,1.1203e+03,1.4805e+03,7.6012e+02,1.1203e+03,6.8010e+02,1.1203e+03,9.2018e+02,6.8010e+02,2.0409e+03,5.6007e+02,1.0002e+03,8.0013e+02,7.2011e+02,2.0409e+03,2.1610e+03,2.2010e+03,1.8007e+03,5.3660e+03,5.4462e+03,1.9608e+03,2.0809e+03
2021-01-06 01:00:00 UTC,6.8010e+02,3.8831e+03,8.4015e+02,1.6406e+03,6.0007e+02,1.0002e+03,8.0013e+02,9.6019e+02,1.7606e+03,5.6007e+02,7.2011e+02,6.8010e+02,6.8010e+02,1.5205e+03,5.6066e+03,2.0409e+03,2.1610e+03,2.6014e+03,2.7616e+03,4.0835e+03,2.1209e+03
2021-01-06 01:15:00 UTC,5.6007e+02,8.0013e+02,1.0802e+03,2.1209e+03,7.2011e+02,8.0013e+02,8.4015e+02,1.0802e+03,9.2018e+02,8.0013e+02,1.9608e+03,7.2011e+02,6.4009e+02,2.0809e+03,2.7616e+03,2.0409e+03,8.6155e+03,2.7215e+03,1.5605e+03,3.8431e+03,2.2410e+03
2021-01-06 01:30:00 UTC,3.6003e+02,1.0002e+03,8.8016e+02,1.1603e+03,5.6006e+02,8.0013e+02,1.0802e+03,9.2018e+02,8.0013e+02,3.0419e+03,5.1655e+03,9.2018e+02,9.6019e+02,1.2803e+03,2.8417e+03,2.1610e+03,2.4813e+03,2.7616e+03,1.6406e+03,2.0409e+03,2.1610e+03
2021-01-06 01:45:00 UTC,5.6006e+02,7.6012e+02,6.8010e+02,1.1203e+03,5.6006e+02,7.6012e+02,8.4015e+02,5.2006e+02,5.2006e+02,5.6006e+02,1.2403e+03,1.0802e+03,7.6012e+02,2.1610e+03,2.8417e+03,4.9651e+03,2.6415e+03,3.8431e+03,2.7616e+03,2.1209e+03,3.3223e+03
2021-01-06 02:00:00 UTC,6.4009e+02,6.8010e+02,6.8010e+02,1.5605e+03,2.6414e+03,9.6019e+02,8.8016e+02,2.1209e+03,5.2006e+02,7.2011e+02,8.4015e+02,7.2011e+02,6.0007e+02,1.3204e+03,2.2410e+03,2.7616e+03,1.9208e+03,3.9232e+03,5.2858e+03,2.0409e+03,5.0052e+03
2021-01-06 02:15:00 UTC,4.8005e+02,9.2018e+02,1.0002e+03,1.0402e+03,6.4008e+02,9.6019e+02,8.0013e+02,3.0820e+03,8.8016e+02,5.6007e+02,8.4015e+02,3.1621e+03,6.0007e+02,5.8872e+03,2.0409e+03,2.0809e+03,1.8407e+03,4.5243e+03,2.8016e+03,2.0008e+03,2.2410e+03
2021-01-06 02:30:00 UTC,2.0001e+02,8.4015e+02,1.1603e+03,1.0002e+03,6.0007e+02,6.4008e+02,8.0013e+02,8.0013e+02,9.2018e+02,1.7606e+03,8.4015e+02,9.2018e+02,1.0002e+03,1.3604e+03,5.4061e+03,2.1610e+03,1.8073e+03,2.0409e+03,3.6027e+03,2.1209e+03,2.2811e+03
2021-01-06 02:45:00 UTC,3.6003e+02,6.4008e+02,6.8010e+02,1.1603e+03,5.2006e+02,5.6006e+02,1.0802e+03,5.2006e+02,5.6006e+02,6.8010e+02,6.0007e+02,6.4008e+02,8.4015e+02,2.1209e+03,2.4412e+03,2.2811e+03,5.5264e+03,2.0008e+03,1.7606e+03,5.7268e+03,2.4412e+03
2021-01-06 03:00:00 UTC,7.2011e+02,8.8016e+02,6.4008e+02,1.0802e+03,2.5213e+03,5.6006e+02,3.1621e+03,6.8010e+02,7.2011e+02,6.4008e+02,4.8005e+02,6.8010e+02,1.6806e+03,4.2037e+03,2.0809e+03,2.8016e+03,1.8407e+03,2.0409e+03,3.9232e+03,2.1209e+03,2.7215e+03
2021-01-06 03:15:00 UTC,5.2006e+02,9.2018e+02,8.4015e+02,1.1203e+03,1.2003e+03,1.0002e+03,1.1603e+03,6.4009e+02,8.0013e+02,5.2006e+02,1.6806e+03,8.8016e+02,6.8010e+02,1.6406e+03,2.1209e+03,6.4086e+03,1.7606e+03,2.3612e+03,3.4825e+03,2.0809e+03,6.3284e+03
2021-01-06 03:30:00 UTC,3.2002e+02,7.6012e+02,8.0013e+02,1.0802e+03,1.7206e+03,9.2018e+02,9.2018e+02,8.4015e+02,5.2006e+02,6.8010e+02,9.6019e+02,1.6806e+03,2.7215e+03,1.8407e+03,2.0409e+03,2.4813e+03,2.5614e+03,4.0835e+03,2.7215e+03,2.0008e+03,2.4012e+03
2021-01-06 03:45:00 UTC,2.8002e+02,6.8010e+02,6.0007e+02,1.1203e+03,5.6007e+02,5.6007e+02,1.8007e+03,7.6012e+02,1.9208e+03,6.8010e+02,8.8016e+02,1.5205e+03,8.8016e+02,3.1220e+03,2.0409e+03,2.0409e+03,2.6415e+03,5.6466e+03,1.5605e+03,4.2037e+03,2.8417e+03
2021-01-06 04:00:00 UTC,5.6007e+02,8.4015e+02,2.0409e+03,9.6019e+02,7.6012e+02,3.6828e+03,1.0402e+03,6.0007e+02,1.2003e+03,5.6007e+02,5.2006e+02,6.8010e+02,6.0007e+02,4.0033e+03,3.4825e+03,2.0409e+03,2.5213e+03,2.0008e+03,2.2811e+03,2.8016e+03,2.5213e+03
2021-01-06 04:15:00 UTC,1.0802e+03,9.2018e+02,7.2011e+02,1.0802e+03,7.6012e+02,5.6007e+02,1.0002e+03,6.0007e+02,6.4009e+02,5.6007e+02,6.8010e+02,8.0013e+02,6.4009e+02,1.9208e+03,5.0453e+03,2.0809e+03,5.6066e+03,2.0008e+03,3.7229e+03,4.8449e+03,2.6415e+03
2021-01-06 04:30:00 UTC,1.0802e+03,1.5205e+03,6.8010e+02,1.1603e+03,8.4015e+02,9.2018e+02,7.6012e+02,6.0008e+02,5.6007e+02,7.6012e+02,6.8010e+02,7.6012e+02,7.6012e+02,1.6806e+03,2.8417e+03,2.0409e+03,1.8807e+03,2.0809e+03,3.3624e+03,2.4012e+03,3.8832e+03
2021-01-06 04:45:00 UTC,4.0003e+02,7.6012e+02,7.2011e+02,1.0402e+03,9.6019e+02,9.2018e+02,8.0013e+02,1.0002e+03,6.4009e+02,6.0008e+02,7.2011e+02,6.4009e+02,8.8016e+02,1.8007e+03,2.8016e+03,4.8850e+03,1.8807e+03,2.0008e+03,2.7616e+03,2.0409e+03,4.6846e+03
2021-01-06 05:00:00 UTC,4.8005e+02,1.0002e+03,8.0013e+02,1.0002e+03,1.0002e+03,6.4009e+02,6.8010e+02,6.4009e+02,7.2011e+02,5.2006e+02,5.2006e+02,7.2011e+02,6.8010e+02,1.8407e+03,2.0409e+03,2.9618e+03,1.7606e+03,2.3211e+03,1.5205e+03,2.0008e+03,4.7648e+03
2021-01-06 05:15:00 UTC,4.4004e+02,1.2803e+03,6.4009e+02,1.1203e+03,8.0013e+02,5.2006e+02,9.2018e+02,5.2006e+02,9.6019e+02,6.4009e+02,5.2006e+02,1.0402e+03,7.2011e+02,1.6005e+03,2.0008e+03,2.1209e+03,1.8007e+03,7.3714e+03,2.7216e+03,2.0409e+03,2.4412e+03
2021-01-06 05:30:00 UTC,4.0003e+02,9.2018e+02,6.8010e+02,1.3204e+03,6.4009e+02,6.0008e+02,1.1203e+03,6.8010e+02,6.0008e+02,6.4009e+02,6.8010e+02,1.0402e+03,1.3604e+03,5.8873e+03,4.2438e+03,2.4412e+03,2.0409e+03,2.0008e+03,2.6415e+03,2.1209e+03,2.5213e+03
2021-01-06 05:45:00 UTC,4.8005e+02,8.4015e+02,8.4015e+02,1.1603e+03,1.0002e+03,1.0402e+03,8.4015e+02,7.2011e+02,5.6007e+02,6.4009e+02,6.4009e+02,6.8010e+02,8.5755e+03,1.4805e+03,5.6868e+03,2.7216e+03,5.6868e+03,2.0809e+03,3.9232e+03,5.6868e+03,2.2411e+03
2021-01-06 06:00:00 UTC,4.8005e+02,1.5205e+03,7.6012e+02,9.6019e+02,6.8010e+02,1.9608e+03,6.8010e+02,8.4015e+02,7.2011e+02,5.6007e+02,5.2006e+02,7.6012e+02,1.1548e+04,2.0809e+03,2.0809e+03,2.8017e+03,3.3223e+03,2.0409e+03,2.7616e+03,2.4012e+03,4.9251e+03
2021-01-06 06:15:00 UTC,3.6003e+02,2.0809e+03,2.0409e+03,1.1603e+03,6.8010e+02,1.7206e+03,8.0013e+02,5.6007e+02,5.6007e+02,6.8010e+02,5.2006e+02,7.2011e+02,1.1468e+04,1.6005e+03,2.0809e+03,6.3285e+03,2.6014e+03,2.0809e+03,1.6406e+03,2.0809e+03,4.0034e+03
2021-01-06 06:30:00 UTC,2.8002e+02,8.4015e+02,2.0409e+03,1.1603e+03,8.0014e+02,7.2011e+02,8.4015e+02,7.6012e+02,6.0008e+02,5.2006e+02,7.2011e+02,6.8010e+02,1.1388e+04,2.0008e+03,2.1210e+03,2.0809e+03,2.2811e+03,2.2010e+03,2.7616e+03,2.0809e+03,3.0420e+03
2021-01-06 06:45:00 UTC,6.0008e+02,7.6012e+02,8.8017e+02,1.1203e+03,9.2018e+02,6.8010e+02,8.0014e+02,4.8005e+02,8.4015e+02,5.6007e+02,5.6007e+02,7.2011e+02,6.5291e+03,4.4041e+03,2.0809e+03,2.2010e+03,2.0809e+03,7.2914e+03,1.5205e+03,2.0409e+03,2.7216e+03
2021-01-06 07:00:00 UTC,5.6007e+02,1.1203e+03,6.8010e+02,2.3211e+03,5.2006e+02,8.4015e+02,1.0402e+03,7.6012e+02,8.4015e+02,7.2011e+02,5.2006e+02,8.8016e+02,7.5321e+03,3.0820e+03,2.6014e+03,2.0809e+03,1.8788e+03,2.8818e+03,3.9634e+03,7.6012e+02,2.5614e+03
2021-01-06 07:15:00 UTC,3.2002e+02,1.0803e+03,3.6429e+03,7.1310e+03,1.0705e+04,8.0014e+02,9.2018e+02,2.0809e+03,5.2006e+02,6.4009e+02,5.2006e+02,1.0803e+03,6.7699e+03,2.2011e+03,6.8101e+03,6.0078e+03,5.4865e+03,5.2460e+03,7.2916e+03,4.6848e+03,2.6415e+03
2021-01-06 07:30:00 UTC,1.1203e+03,8.8017e+02,1.1589e+04,1.1429e+04,1.2957e+04,6.4009e+02,2.6816e+03,6.4490e+03,4.8005e+02,4.8005e+02,6.4009e+02,1.0402e+03,6.8101e+03,2.1610e+03,3.3625e+03,2.4013e+03,2.0009e+03,3.8833e+03,1.6406e+03,2.9619e+03,6.4089e+03
2021-01-06 07:45:00 UTC,1.6098e+04,7.6013e+02,1.1429e+04,1.1349e+04,1.1550e+04,6.4009e+02,1.2032e+04,1.0866e+04,6.0008e+02,5.5268e+03,6.4009e+02,4.1238e+03,7.2116e+03,5.5669e+03,2.3212e+03,2.3212e+03,2.0409e+03,4.5245e+03,2.8017e+03,2.1210e+03,3.6830e+03
2021-01-06 08:00:00 UTC,1.5212e+04,3.8433e+03,1.1228e+04,1.1188e+04,1.2435e+04,6.1284e+03,1.1429e+04,1.0786e+04,9.2019e+02,1.2354e+04,9.1386e+03,2.6416e+03,6.8505e+03,9.8616e+03,2.5615e+03,2.8818e+03,2.5615e+03,3.8433e+03,1.6406e+03,2.2812e+03,2.8017e+03
2021-01-06 08:15:00 UTC,1.4527e+04,2.6816e+03,1.1429e+04,1.0947e+04,1.5735e+04,1.2515e+04,1.1630e+04,1.1268e+04,1.0384e+04,1.1228e+04,1.0545e+04,1.2403e+03,5.5268e+03,6.0080e+03,2.1210e+03,6.6498e+03,2.5616e+03,7.4924e+03,3.6029e+03,2.5214e+03,2.5614e+03
2021-01-06 08:30:00 UTC,1.3118e+04,6.1283e+03,1.1550e+04,8.8173e+03,1.1992e+04,1.1349e+04,1.1550e+04,1.1831e+04,1.1751e+04,1.4004e+04,1.0786e+04,1.9208e+03,5.2060e+03,1.8808e+03,2.2411e+03,2.9219e+03,5.3393e+03,8.6565e+03,5.9678e+03,2.9619e+03,2.4814e+03
2021-01-06 08:45:00 UTC,4.8452e+03,1.1952e+04,1.1429e+04,1.4366e+04,1.1670e+04,6.1684e+03,1.5493e+04,3.9234e+03,1.2434e+04,1.1308e+04,1.4044e+04,9.5000e+03,5.1258e+03,1.8808e+03,7.0108e+03,5.8074e+03,3.3224e+03,5.7272e+03,2.4013e+03,5.3663e+03,2.5214e+03
2021-01-06 09:00:00 UTC,1.2716e+04,1.1791e+04,1.1309e+04,1.0384e+04,8.8174e+03,3.7631e+03,1.1791e+04,6.4009e+02,1.2314e+04,1.1228e+04,1.1952e+04,1.1349e+04,5.8075e+03,1.5205e+03,9.0982e+03,2.4013e+03,1.8007e+03,1.9208e+03,2.8418e+03,3.3224e+03,6.0480e+03
2021-01-06 09:15:00 UTC,1.7589e+04,7.7734e+03,8.7771e+03,5.7273e+03,7.8537e+03,3.8433e+03,8.7770e+03,7.2011e+02,1.1107e+04,1.1107e+04,1.1952e+04,1.1389e+04,5.6871e+03,3.6028e+03,7.0910e+03,2.6015e+03,2.0809e+03,1.7206e+03,6.4491e+03,2.2811e+03,7.5324e+03
2021-01-06 09:30:00 UTC,9.5803e+03,3.1221e+03,9.4598e+03,6.2486e+03,8.2149e+03,4.3642e+03,8.8573e+03,8.4016e+02,1.1348e+04,1.1389e+04,1.1389e+04,1.1268e+04,5.4465e+03,2.4013e+03,4.3241e+03,4.4042e+03,1.9608e+03,1.7206e+03,3.7230e+03,2.2411e+03,8.0943e+03
2021-01-06 09:45:00 UTC,9.4998e+03,1.5205e+03,8.7769e+03,6.4892e+03,8.4155e+03,3.5628e+03,8.1345e+03,5.6007e+02,1.1710e+04,1.1509e+04,1.1067e+04,1.1187e+04,4.5245e+03,3.8833e+03,1.9608e+03,5.4063e+03,4.5939e+03,2.6816e+03,2.2011e+03,2.3212e+03,8.2950e+03
