# file...... Meter_632_B_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_632_B:measured_power.real,xfmr_meter_632_B_1:measured_power.real,xfmr_meter_632_B_2:measured_power.real,xfmr_meter_632_B_3:measured_power.real,xfmr_meter_632_B_4:measured_power.real,xfmr_meter_632_B_5:measured_power.real,house_meter_632_B_1:measured_power.real,house_meter_632_B_2:measured_power.real,house_meter_632_B_3:measured_power.real,house_meter_632_B_4:measured_power.real,house_meter_632_B_5:measured_power.real,house_meter_632_B_6:measured_power.real,house_meter_632_B_7:measured_power.real,house_meter_632_B_8:measured_power.real,house_meter_632_B_9:measured_power.real,house_meter_632_B_10:measured_power.real,house_meter_632_B_11:measured_power.real,house_meter_632_B_12:measured_power.real,house_meter_632_B_13:measured_power.real,house_meter_632_B_14:measured_power.real,house_meter_632_B_15:measured_power.real,house_meter_632_B_16:measured_power.real,house_meter_632_B_17:measured_power.real,house_meter_632_B_18:measured_power.real,house_meter_632_B_19:measured_power.real
2021-01-06 03:00:00 UTC,3.0440e+04,2.4008e+03,3.1615e+03,5.1242e+03,1.1058e+04,8.6958e+03,3.6003e+02,2.8002e+02,3.2002e+02,2.8002e+02,3.6003e+02,2.0001e+02,2.4001e+02,3.6003e+02,1.2000e+02,2.4001e+02,2.0001e+02,3.6003e+02,6.8009e+02,5.2005e+02,5.2005e+02,5.2005e+02,2.8002e+02,2.4001e+02,2.8002e+02
2021-01-06 03:15:00 UTC,2.7954e+04,2.2407e+03,3.2816e+03,4.9643e+03,1.1018e+04,6.4499e+03,2.8002e+02,2.8002e+02,3.2002e+02,3.2002e+02,2.0001e+02,2.0001e+02,2.4001e+02,4.0003e+02,3.2002e+02,2.0001e+02,1.6001e+02,2.4001e+02,6.0007e+02,6.8009e+02,6.0007e+02,4.8005e+02,2.0001e+02,1.6001e+02,2.4001e+02
2021-01-06 03:30:00 UTC,2.9673e+04,6.6075e+03,3.0814e+03,5.0841e+03,1.0577e+04,4.3234e+03,5.2005e+02,4.8005e+02,5.6006e+02,5.6006e+02,2.8002e+02,2.0408e+03,1.8807e+03,2.8002e+02,1.6001e+02,2.4001e+02,2.0001e+02,2.0001e+02,5.6006e+02,5.6006e+02,6.0007e+02,5.6006e+02,1.6001e+02,3.2002e+02,3.6003e+02
2021-01-06 03:45:00 UTC,2.6227e+04,6.1261e+03,3.0414e+03,4.3631e+03,1.0255e+04,2.4410e+03,4.4004e+02,5.2005e+02,3.2002e+02,6.8009e+02,6.0007e+02,1.7206e+03,1.5205e+03,3.2002e+02,1.2000e+02,2.0001e+02,1.6001e+02,3.2002e+02,5.6006e+02,5.2005e+02,5.6006e+02,6.0007e+02,3.2002e+02,1.2000e+02,2.4001e+02
2021-01-06 04:00:00 UTC,2.1298e+04,2.2407e+03,3.1214e+03,4.8035e+03,8.6108e+03,2.5210e+03,3.6003e+02,3.2002e+02,3.6003e+02,3.2002e+02,2.0001e+02,2.0001e+02,2.4001e+02,2.4001e+02,2.0001e+02,2.4001e+02,1.6001e+02,3.2002e+02,6.4008e+02,5.2005e+02,5.2005e+02,5.2005e+02,1.2000e+02,2.8002e+02,3.2002e+02
2021-01-06 04:15:00 UTC,2.9310e+04,3.7623e+03,4.4836e+03,4.7236e+03,8.2098e+03,8.1307e+03,3.2002e+02,4.4004e+02,5.6006e+02,1.2403e+03,3.6003e+02,2.8002e+02,2.8002e+02,2.8002e+02,2.0001e+02,2.4001e+02,2.4001e+02,2.8002e+02,5.6006e+02,1.8407e+03,5.6006e+02,5.6006e+02,2.4001e+02,1.2000e+02,2.8002e+02
2021-01-06 04:30:00 UTC,2.4380e+04,3.4819e+03,3.6022e+03,4.4030e+03,7.6084e+03,5.2841e+03,5.2005e+02,1.0002e+03,3.6003e+02,7.2010e+02,2.0001e+02,2.4001e+02,1.6001e+02,2.8002e+02,2.0001e+02,1.6001e+02,1.2000e+02,2.0001e+02,5.6006e+02,1.2403e+03,6.0007e+02,5.2005e+02,1.2000e+02,3.6003e+02,3.2002e+02
2021-01-06 04:45:00 UTC,3.1040e+04,1.0261e+04,3.0814e+03,5.6048e+03,8.1296e+03,3.9623e+03,3.6426e+03,1.0402e+03,3.8429e+03,4.8005e+02,5.6006e+02,2.0001e+02,1.6001e+02,3.2002e+02,1.6001e+02,2.0001e+02,2.0001e+02,2.8002e+02,6.0007e+02,5.2005e+02,5.2005e+02,6.0007e+02,3.6003e+02,1.0802e+03,1.6001e+02
2021-01-06 05:00:00 UTC,2.2577e+04,2.9213e+03,3.0814e+03,5.2443e+03,7.5282e+03,3.8021e+03,2.4001e+02,8.8015e+02,3.6003e+02,4.4004e+02,1.6001e+02,3.2002e+02,2.0001e+02,3.2002e+02,1.2000e+02,2.4001e+02,1.2000e+02,3.2002e+02,6.4008e+02,5.6006e+02,6.0007e+02,4.8005e+02,1.2000e+02,1.1603e+03,1.6001e+02
2021-01-06 05:15:00 UTC,2.2658e+04,3.6021e+03,3.2015e+03,4.3632e+03,7.8489e+03,3.6420e+03,3.6003e+02,7.2010e+02,6.0007e+02,1.0002e+03,3.6003e+02,2.0001e+02,1.6001e+02,2.0001e+02,2.8002e+02,2.4001e+02,2.4001e+02,2.4001e+02,5.6006e+02,6.0007e+02,5.2005e+02,5.2005e+02,2.0001e+02,2.0001e+02,1.6001e+02
