# file...... 1Meter_633_B_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_B_20:measured_power.real,house_meter_633_B_21:measured_power.real,house_meter_633_B_22:measured_power.real,house_meter_633_B_23:measured_power.real,house_meter_633_B_24:measured_power.real,house_meter_633_B_25:measured_power.real,house_meter_633_B_26:measured_power.real,house_meter_633_B_27:measured_power.real,house_meter_633_B_28:measured_power.real,house_meter_633_B_29:measured_power.real,house_meter_633_B_30:measured_power.real,house_meter_633_B_31:measured_power.real,house_meter_633_B_32:measured_power.real,house_meter_633_B_33:measured_power.real,house_meter_633_B_34:measured_power.real,house_meter_633_B_35:measured_power.real,house_meter_633_B_36:measured_power.real,house_meter_633_B_37:measured_power.real,house_meter_633_B_38:measured_power.real,house_meter_633_B_39:measured_power.real,house_meter_633_B_40:measured_power.real
2021-01-06 08:30:00 UTC,5.6006e+02,1.3604e+03,1.2403e+03,1.1203e+03,1.1203e+03,1.1603e+03,1.6005e+03,1.9608e+03,1.2003e+03,1.5605e+03,1.2803e+03,1.3204e+03,1.3604e+03,9.6019e+02,1.2803e+03,0.0000e+00,8.0013e+02,4.8003e+02,9.6019e+02,4.0003e+02,8.8016e+02
2021-01-06 08:45:00 UTC,5.2005e+02,1.2003e+03,1.3204e+03,1.1203e+03,1.3204e+03,1.2403e+03,1.2803e+03,2.0408e+03,1.0002e+03,1.3604e+03,1.2803e+03,1.2403e+03,1.3204e+03,8.8016e+02,8.8016e+02,0.0000e+00,7.6012e+02,4.8005e+02,8.8016e+02,4.8005e+02,9.6019e+02
2021-01-06 09:00:00 UTC,6.0007e+02,1.2403e+03,1.2403e+03,1.0802e+03,1.2803e+03,2.6014e+03,1.1603e+03,2.0008e+03,1.0402e+03,1.4004e+03,1.4804e+03,1.6005e+03,1.3204e+03,8.8016e+02,1.0002e+03,0.0000e+00,1.6005e+03,1.1602e+03,1.1603e+03,6.4008e+02,9.6019e+02
2021-01-06 09:15:00 UTC,6.8009e+02,1.3204e+03,1.1603e+03,1.2403e+03,1.1203e+03,2.4412e+03,1.5605e+03,1.9608e+03,1.3204e+03,1.5605e+03,1.2003e+03,1.6405e+03,1.4404e+03,1.0002e+03,1.2803e+03,0.0000e+00,2.0408e+03,4.4820e+03,2.4812e+03,2.3611e+03,1.0402e+03
2021-01-06 09:30:00 UTC,5.6006e+02,1.1603e+03,1.3204e+03,1.1603e+03,1.2803e+03,3.1220e+03,1.2003e+03,2.6414e+03,1.0802e+03,1.4004e+03,1.3204e+03,1.8007e+03,1.2403e+03,1.0802e+03,3.2021e+03,0.0000e+00,1.1603e+03,3.3611e+03,3.0018e+03,2.6014e+03,1.1203e+03
2021-01-06 09:45:00 UTC,1.2000e+02,1.5605e+03,2.5213e+03,1.1603e+03,1.8007e+03,3.2822e+03,1.2003e+03,2.6014e+03,9.6019e+02,1.4404e+03,1.9608e+03,1.7606e+03,1.3204e+03,1.2803e+03,2.0008e+03,0.0000e+00,1.1203e+03,4.8427e+03,2.1609e+03,1.9608e+03,1.0402e+03
2021-01-06 10:00:00 UTC,8.0001e+01,2.3211e+03,2.4012e+03,1.2003e+03,1.6806e+03,3.1620e+03,1.3204e+03,2.8817e+03,1.1603e+03,1.5605e+03,1.8807e+03,1.6405e+03,1.4804e+03,1.2003e+03,1.8007e+03,0.0000e+00,1.2003e+03,2.7611e+03,1.2403e+03,1.0002e+03,1.2003e+03
2021-01-06 10:15:00 UTC,2.0001e+02,2.4012e+03,3.2421e+03,1.3604e+03,1.6005e+03,2.1609e+03,1.2403e+03,3.2421e+03,8.8016e+02,1.3604e+03,1.9608e+03,1.7606e+03,1.4404e+03,1.3604e+03,2.2010e+03,0.0000e+00,1.2803e+03,6.2844e+03,1.4004e+03,1.0002e+03,1.2003e+03
2021-01-06 10:30:00 UTC,2.0001e+02,2.8016e+03,2.8416e+03,1.4404e+03,1.6005e+03,1.1203e+03,1.2403e+03,3.6026e+03,1.0402e+03,1.4804e+03,2.6014e+03,1.8407e+03,1.9207e+03,2.0809e+03,2.0008e+03,0.0000e+00,1.0002e+03,6.8848e+03,1.0402e+03,1.2403e+03,1.0402e+03
2021-01-06 10:45:00 UTC,2.8002e+02,2.9618e+03,2.3611e+03,1.7206e+03,1.5605e+03,1.0802e+03,1.6005e+03,3.4424e+03,1.0402e+03,1.7606e+03,1.8407e+03,1.8407e+03,2.1209e+03,1.8407e+03,1.2803e+03,4.9276e+01,7.2010e+02,1.5603e+03,9.6019e+02,8.0013e+02,1.1203e+03
2021-01-06 11:00:00 UTC,1.6001e+02,3.8430e+03,1.7606e+03,1.3604e+03,1.6005e+03,3.1212e+03,1.4404e+03,3.0819e+03,9.6019e+02,1.6405e+03,1.8007e+03,2.2810e+03,2.0809e+03,4.0003e+02,1.3204e+03,3.8416e+03,7.2010e+02,1.6003e+03,7.6012e+02,7.2010e+02,1.0002e+03
2021-01-06 11:15:00 UTC,8.0001e+01,3.2021e+03,2.3611e+03,1.1203e+03,1.5605e+03,4.8030e+03,1.4804e+03,2.5213e+03,1.0002e+03,2.3611e+03,1.6405e+03,1.6806e+03,1.8807e+03,2.8002e+02,2.4012e+03,5.8440e+03,2.1209e+03,4.4034e+03,6.8009e+02,7.2010e+02,1.0802e+03
2021-01-06 11:30:00 UTC,8.0001e+01,3.0018e+03,2.7215e+03,1.0402e+03,2.5613e+03,4.6428e+03,1.4404e+03,2.6815e+03,1.0002e+03,3.9231e+03,1.6806e+03,1.6806e+03,1.8407e+03,3.2002e+02,1.8007e+03,1.8804e+03,2.4412e+03,3.9225e+03,6.4008e+02,6.8009e+02,1.1203e+03
2021-01-06 11:45:00 UTC,1.2000e+02,3.0419e+03,2.7615e+03,1.2803e+03,4.6043e+03,3.9220e+03,2.2410e+03,2.4012e+03,9.6019e+02,3.3623e+03,1.6005e+03,1.6405e+03,2.0008e+03,3.2002e+02,1.5205e+03,6.4007e+02,9.6019e+02,2.4009e+03,7.6012e+02,6.4008e+02,1.1203e+03
2021-01-06 12:00:00 UTC,1.6001e+02,3.0819e+03,2.1209e+03,1.2003e+03,3.8830e+03,1.0002e+03,3.0018e+03,3.7228e+03,1.0002e+03,3.4424e+03,1.5205e+03,1.7206e+03,2.2410e+03,4.0003e+02,1.6806e+03,8.4014e+02,1.2803e+03,5.2003e+02,6.0007e+02,6.4008e+02,1.2003e+03
