# file...... Meter_684_A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power,xfmr_meter_684_A_1:measured_power,xfmr_meter_684_A_2:measured_power,xfmr_meter_684_A_3:measured_power,xfmr_meter_684_A_4:measured_power,xfmr_meter_684_A_5:measured_power,house_meter_684_A_1:measured_power,house_meter_684_A_2:measured_power,house_meter_684_A_3:measured_power,house_meter_684_A_4:measured_power,house_meter_684_A_5:measured_power,house_meter_684_A_6:measured_power,house_meter_684_A_7:measured_power,house_meter_684_A_8:measured_power,house_meter_684_A_9:measured_power,house_meter_684_A_10:measured_power,house_meter_684_A_11:measured_power,house_meter_684_A_12:measured_power,house_meter_684_A_13:measured_power,house_meter_684_A_14:measured_power,house_meter_684_A_15:measured_power,house_meter_684_A_16:measured_power,house_meter_684_A_17:measured_power,house_meter_684_A_18:measured_power,house_meter_684_A_19:measured_power,house_meter_684_A_20:measured_power,house_meter_684_A_21:measured_power,house_meter_684_A_22:measured_power,house_meter_684_A_23:measured_power
2021-01-06 00:00:00 UTC,+34399.1+47.4396j,+6325.81+7.46075j,+9495.23+17.6687j,+6366.22+7.69303j,+7007.48+9.29627j,+5204.28+5.18838j,+680.094+0.00316842d,+640.083+0.00298197d,+680.094+0.00316842d,+720.105+0.00335487d,+840.143+0.0039143d,+640.083+0.00298197d,+1320.35+0.00615284d,+800.13+0.00372782d,+1040.22+0.00484969d,+760.117+0.0035434d,+3961.93+0.0111582d,+760.117+0.0035434d,+360.026+0.00167805d,+1040.22+0.00484969d,+960.187+0.00447642d,+600.073+0.00279715d,+360.026+0.00167709d,+400.032+0.00186348d,+1080.24+0.00503345d,+760.117+0.00354137d,+1960.4+0.00466223d,+440.039+0.00204987d,+1000.2+0.00466037d
2021-01-06 00:15:00 UTC,+36964.1+53.1645j,+8492.54+14.2354j,+8370.82+13.2825j,+6285.64+7.30467j,+7047.65+9.40864j,+6767.33+8.7851j,+600.073+0.00278312d,+640.083+0.00296874d,+760.117+0.00352563d,+680.093+0.00315436d,+880.157+0.00408261d,+800.129+0.00371128d,+3322.23+0.0154254d,+800.129+0.00371128d,+760.117+0.00352555d,+760.105+0.00317397d,+2960.95+0.00737513d,+680.093+0.00315429d,+760.117+0.00352555d,+440.039+0.00204071d,+1040.22+0.00482526d,+960.186+0.00445387d,+760.117+0.00352421d,+800.129+0.00370979d,+600.073+0.002782d,+1000.2+0.0046378d,+1040.22+0.00482343d,+800.129+0.00370979d,+600.073+0.002782d
2021-01-06 00:30:00 UTC,+34798.8+47.4101j,+8291.59+13.4311j,+6205.48+7.11734j,+5244.04+5.13184j,+7007.52+9.28752j,+8050.05+12.3093j,+640.083+0.00297117d,+640.083+0.00297117d,+680.094+0.00315695d,+640.083+0.00297117d,+960.186+0.00445762d,+880.157+0.00408595d,+3041.87+0.0141337d,+800.129+0.00371432d,+760.117+0.00352718d,+760.117+0.00352718d,+1120.24+0.00484098d,+680.093+0.00315574d,+560.063+0.00259866d,+800.129+0.00371291d,+800.129+0.00371291d,+720.105+0.00334146d,+560.063+0.0025982d,+440.039+0.0020413d,+1040.22+0.00482664d,+760.117+0.00352656d,+840.143+0.00389797d,+400.032+0.00185568d,+800.129+0.00371226d
2021-01-06 00:45:00 UTC,+34199.7+47.1129j,+6045.21+6.75945j,+6045.33+6.80746j,+5965.04+6.5672j,+6566.76+8.22082j,+9577.23+18.6277j,+640.083+0.00297075d,+600.073+0.00278501d,+680.094+0.0031565d,+600.073+0.00278501d,+920.171+0.00427118d,+920.171+0.00427118d,+920.171+0.00427118d,+760.117+0.00352802d,+680.094+0.0031565d,+680.094+0.0031565d,+1040.22+0.00482864d,+600.073+0.00278501d,+480.047+0.00222784d,+480.047+0.00222784d,+960.186+0.00445699d,+1120.25+0.00520032d,+760.117+0.00352797d,+800.129+0.00371374d,+680.093+0.00315645d,+720.105+0.0033422d,+880.157+0.00408531d,+840.143+0.00389952d,+640.083+0.0029707d
2021-01-06 01:00:00 UTC,+32555.5+42.9607j,+5965.09+6.603j,+5644.51+5.89424j,+4643.15+4.0266j,+7247.92+9.91134j,+9054.7+16.4055j,+600.073+0.00279415d,+640.083+0.0029805d,+720.105+0.00335323d,+600.073+0.00279415d,+960.187+0.00447162d,+840.143+0.00391239d,+920.172+0.0042852d,+680.094+0.00316686d,+600.073+0.00279399d,+800.118+0.00337182d,+720.105+0.00335303d,+640.083+0.00298033d,+720.105+0.00335303d,+600.073+0.00279399d,+800.13+0.00372577d,+760.117+0.0035394d,+400.032+0.00186209d,+440.039+0.00204835d,+920.172+0.00428417d,+440.039+0.00204835d,+600.073+0.00279348d,+480.047+0.00223462d,+800.13+0.00372509d
2021-01-06 01:15:00 UTC,+29305.8+32.5459j,+5724.67+6.08352j,+5965.14+6.63167j,+5364.08+5.33198j,+6005.89+6.99289j,+6245.99+7.41321j,+600.073+0.00279928d,+600.073+0.00279928d,+720.105+0.00335938d,+640.083+0.00298597d,+880.157+0.00410631d,+800.13+0.00373283d,+800.13+0.00373283d,+680.094+0.00317267d,+640.083+0.0029861d,+720.105+0.00335953d,+760.117+0.00354626d,+600.073+0.0027994d,+520.055+0.00242603d,+880.157+0.00410649d,+1120.26+0.00522721d,+720.105+0.00335953d,+680.094+0.00317246d,+680.094+0.00317246d,+680.094+0.00317246d,+680.094+0.00317246d,+720.105+0.00335916d,+640.083+0.00298577d,+600.073+0.00279909d
2021-01-06 01:30:00 UTC,+27062.1+27.8723j,+6045.17+6.73732j,+4963.51+4.55024j,+5484.46+5.62525j,+6125.93+7.16658j,+4442.98+3.71357j,+760.117+0.00352299d,+640.083+0.00296652d,+800.129+0.00370851d,+640.083+0.00296652d,+960.186+0.00445064d,+760.117+0.00352299d,+760.117+0.00352299d,+720.105+0.00333749d,+640.083+0.00296593d,+720.105+0.00333684d,+680.093+0.00315138d,+640.083+0.00296593d,+640.083+0.00296593d,+440.039+0.00203883d,+760.117+0.0035223d,+440.039+0.00203883d,+560.063+0.00259531d,+560.063+0.00259531d,+1240.31+0.00574913d,+480.047+0.00222444d,+480.047+0.00222444d,+800.129+0.00370813d,+920.171+0.00426466d
2021-01-06 01:45:00 UTC,+30504.8+34.8992j,+5965.03+6.55551j,+6603.52+8.04515j,+6285.65+7.30415j,+5965.53+6.75615j,+5685.03+6.13858j,+720.105+0.00333679d,+760.117+0.00352225d,+800.129+0.00370772d,+600.073+0.00278045d,+880.156+0.00407869d,+720.105+0.00333679d,+800.129+0.00370772d,+680.093+0.00315133d,+760.117+0.00352266d,+760.117+0.00352266d,+840.142+0.00389365d,+600.073+0.00278078d,+960.186+0.00445021d,+880.156+0.00407916d,+1040.22+0.0048213d,+757.449+0.00351029d,+760.117+0.00352245d,+640.083+0.00296606d,+720.105+0.00333698d,+760.117+0.00352245d,+760.117+0.00352245d,+1200.29+0.00556325d,+760.117+0.00352245d
2021-01-06 02:00:00 UTC,+27382.5+28.4348j,+5764.68+6.10786j,+5484.25+5.53208j,+5764.91+6.19984j,+6085.87+7.06832j,+4282.77+3.44576j,+720.104+0.0033289d,+680.093+0.00314388d,+720.104+0.0033289d,+600.072+0.00277388d,+840.142+0.00388399d,+640.082+0.00295888d,+760.116+0.00351392d,+800.129+0.00369895d,+760.116+0.00351374d,+720.104+0.00332873d,+760.116+0.00351374d,+600.072+0.00277374d,+760.116+0.00351374d,+600.072+0.00277374d,+760.116+0.00351374d,+520.054+0.00240379d,+440.039+0.00203398d,+560.063+0.00258889d,+1240.31+0.0057349d,+480.046+0.00221894d,+640.082+0.00295888d,+960.186+0.00443917d,+960.186+0.00443917d
2021-01-06 02:15:00 UTC,+31233.1+40.6305j,+5844.83+6.29802j,+6045.31+6.79466j,+9815.33+18.4419j,+5605.01+6.0183j,+3922.49+2.9634j,+720.105+0.00333763d,+600.073+0.00278115d,+720.105+0.00333763d,+600.073+0.00278115d,+840.142+0.00389418d,+720.105+0.00333763d,+840.142+0.00389418d,+800.129+0.00370866d,+680.093+0.00315224d,+680.093+0.00315224d,+720.105+0.00333775d,+680.093+0.00315224d,+560.063+0.00259578d,+840.143+0.00389433d,+1320.35+0.00612144d,+560.063+0.00259578d,+1560.49+0.00724045d,+640.083+0.00296879d,+800.129+0.00371134d,+2441.2+0.0113309d,+800.129+0.00371134d,+2361.13+0.0109588d,+520.055+0.00241196d
