# file...... Meter_633_A_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_A:measured_power,xfmr_meter_633_A_1:measured_power,xfmr_meter_633_A_2:measured_power,xfmr_meter_633_A_3:measured_power,xfmr_meter_633_A_4:measured_power,xfmr_meter_633_A_5:measured_power,house_meter_633_A_1:measured_power,house_meter_633_A_2:measured_power,house_meter_633_A_3:measured_power,house_meter_633_A_4:measured_power,house_meter_633_A_5:measured_power,house_meter_633_A_6:measured_power,house_meter_633_A_7:measured_power,house_meter_633_A_8:measured_power,house_meter_633_A_9:measured_power,house_meter_633_A_10:measured_power,house_meter_633_A_11:measured_power,house_meter_633_A_12:measured_power,house_meter_633_A_13:measured_power,house_meter_633_A_14:measured_power,house_meter_633_A_15:measured_power,house_meter_633_A_16:measured_power,house_meter_633_A_17:measured_power,house_meter_633_A_18:measured_power,house_meter_633_A_19:measured_power,house_meter_633_A_20:measured_power,house_meter_633_A_21:measured_power,house_meter_633_A_22:measured_power,house_meter_633_A_23:measured_power
2021-01-06 02:30:00 UTC,+66396.3+221.97j,+16081.2+49.5648j,+15724.4+49.3916j,+9775.22+18.3142j,+2200.7+0.900339j,+22614.4+103.201j,+4924.92+0.0229437d,+1640.55+0.00763261d,+1040.22+0.00483842d,+2321.09+0.0108018d,+2281.05+0.0106153d,+1000.2+0.00465222d,+1720.6+0.00800532d,+1120.25+0.00521086d,+5927.13+0.0276221d,+2801.59+0.0130396d,+800.13+0.00372108d,+2401.17+0.0111741d,+640.083+0.00297657d,+560.064+0.00260437d,+640.083+0.00297657d,+1920.75+0.00893668d,+2241.02+0.0104168d,+560.063+0.00260154d,+560.063+0.00260154d,+2241.02+0.0104168d,+640.083+0.00297333d,+1800.66+0.0083684d,+1320.35+0.00613503d
2021-01-06 02:45:00 UTC,+61589.5+210.802j,+14354.3+40.0851j,+12308.7+30.8692j,+7769.47+11.5172j,+2080.63+0.804344j,+25076.1+126.964j,+4884.84+0.0227651d,+1480.44+0.00688986d,+960.187+0.00446768d,+2321.09+0.0108058d,+800.13+0.00372271d,+960.187+0.00446768d,+1800.66+0.00838119d,+1120.25+0.00521281d,+5085.25+0.0236921d,+1680.57+0.00781895d,+720.105+0.00334902d,+2441.21+0.0113613d,+1040.22+0.00483842d,+520.055+0.00241844d,+440.039+0.00204628d,+360.026+0.00167414d,+560.063+0.00260238d,+360.026+0.00167275d,+640.083+0.00297429d,+1600.52+0.00744007d,+640.083+0.00297429d,+1920.75+0.00892982d,+1400.4+0.00650927d
2021-01-06 03:00:00 UTC,+60671.9+209.239j,+14033.4+38.5628j,+11787.1+28.6214j,+7609.02+11.0227j,+2080.62+0.803916j,+25161.5+129.676j,+4924.92+0.0229535d,+1040.22+0.0048405d,+880.157+0.0040954d,+2321.09+0.0108064d,+680.094+0.00316425d,+1040.22+0.0048405d,+1960.78+0.00912758d,+1160.27+0.00539941d,+5085.25+0.0236925d,+1600.52+0.00744639d,+640.083+0.00297682d,+2401.17+0.011175d,+440.039+0.00204631d,+360.026+0.00167417d,+600.073+0.0027907d,+640.083+0.00297682d,+600.073+0.00278856d,+240.012+0.00111518d,+880.157+0.00409059d,+1440.42+0.00669597d,+720.105+0.00334652d,+1920.75+0.00893057d,+1240.31+0.00576528d
2021-01-06 03:15:00 UTC,+58692.7+188.745j,+14114.1+39.0868j,+12228.6+30.5544j,+7408.62+10.4613j,+2000.59+0.747456j,+22940.4+107.396j,+5085.24+0.0236461d,+960.186+0.00445737d,+880.157+0.00408572d,+2401.17+0.0111532d,+600.073+0.00278525d,+1280.33+0.00594431d,+1800.66+0.00836183d,+1080.24+0.00501491d,+5165.4+0.0240114d,+1600.52+0.00742928d,+800.129+0.00371284d,+2481.25+0.0115215d,+480.047+0.00222727d,+320.021+0.0014847d,+600.073+0.00278429d,+760.117+0.00352711d,+600.073+0.00278184d,+440.039+0.00203982d,+880.156+0.00408072d,+840.143+0.00389514d,+560.063+0.00259632d,+2160.94+0.0100241d,+1280.33+0.00593704d
2021-01-06 03:30:00 UTC,+65224.1+248.294j,+13709.6+35.8498j,+13472.6+36.2411j,+7608.97+10.9878j,+2040.6+0.772918j,+28391.8+163.781j,+3802.93+0.017679d,+1120.25+0.00520215d,+1000.2+0.00464444d,+2321.09+0.0107838d,+560.063+0.00260019d,+1000.2+0.00464444d,+1680.57+0.00780589d,+2200.98+0.0102252d,+5165.41+0.0240251d,+1640.54+0.00761952d,+640.083+0.00297167d,+2481.25+0.0115281d,+1640.54+0.00761952d,+280.016+0.00129982d,+800.129+0.00371494d,+800.129+0.00371494d,+880.156+0.00408226d,+760.117+0.00352533d,+840.143+0.00389661d,+600.073+0.00278289d,+520.055+0.00241172d,+2080.88+0.00965601d,+1400.4+0.00649655d
2021-01-06 03:45:00 UTC,+61822.1+203.891j,+12826+31.411j,+14797.2+42.8347j,+8170.15+12.5849j,+2200.69+0.895143j,+23827.7+115.619j,+3682.74+0.0171079d,+1160.27+0.00538447d,+880.157+0.00408407d,+2401.17+0.0111487d,+760.117+0.0035269d,+1040.22+0.0048271d,+1800.66+0.00835845d,+1080.24+0.00501288d,+5165.4+0.0240186d,+1560.49+0.00724555d,+720.105+0.0033424d,+2481.25+0.011525d,+1240.31+0.00575817d,+2120.91+0.00984987d,+720.105+0.0033424d,+760.117+0.00352817d,+760.117+0.0035239d,+720.105+0.00333835d,+840.143+0.00389503d,+720.105+0.00333835d,+680.093+0.00315281d,+2160.94+0.0100238d,+1400.4+0.00649392d
2021-01-06 04:00:00 UTC,+63291.9+230.633j,+13628.8+35.3009j,+12308.4+30.7775j,+8252.91+13.8844j,+2160.68+0.867714j,+26940.6+149.195j,+3602.63+0.0167753d,+960.187+0.00446623d,+2160.95+0.0100564d,+2281.05+0.0106158d,+760.117+0.00353534d,+1040.22+0.00483865d,+1720.6+0.0080057d,+1080.24+0.00502488d,+5085.25+0.0236875d,+1680.57+0.00781744d,+760.117+0.00353448d,+2361.13+0.0109862d,+600.073+0.00279011d,+520.055+0.00241798d,+760.117+0.00353448d,+520.055+0.00241798d,+760.117+0.00353186d,+600.073+0.00278804d,+520.055+0.00241619d,+560.063+0.00260211d,+480.047+0.00223027d,+3642.69+0.0169454d,+1160.27+0.00539205d
2021-01-06 04:15:00 UTC,+64858.3+241.66j,+12504.8+29.9921j,+14195.4+40.0001j,+8491.43+13.821j,+2000.58+0.745859j,+27665.6+156.458j,+3562.58+0.0166193d,+1040.22+0.00484762d,+960.187+0.00447451d,+2321.09+0.0108224d,+640.083+0.00298242d,+1000.2+0.00466106d,+1880.72+0.0087675d,+1080.24+0.00503419d,+5125.34+0.0239322d,+1680.57+0.00783627d,+760.117+0.00354299d,+2441.21+0.0113865d,+680.094+0.00316989d,+560.064+0.0026103d,+2281.06+0.0106388d,+640.083+0.00298335d,+600.073+0.0027939d,+680.094+0.00316657d,+600.073+0.0027939d,+360.026+0.00167609d,+2120.91+0.00988092d,+1960.78+0.0091343d,+1240.31+0.00577631d
2021-01-06 04:30:00 UTC,+67363.5+266.24j,+12785.8+31.3151j,+12228.5+30.5948j,+10337.6+20.7613j,+2240.72+0.933907j,+29770.3+181.931j,+3602.64+0.0168205d,+1080.24+0.00503839d,+1160.27+0.00541187d,+2321.1+0.0108314d,+600.073+0.00279829d,+960.187+0.00447824d,+1840.69+0.00858791d,+1200.29+0.00559862d,+5125.35+0.0239424d,+1720.6+0.00802642d,+680.094+0.00317122d,+2361.13+0.0110173d,+520.055+0.00242482d,+680.094+0.00317122d,+640.083+0.00298461d,+480.047+0.00223824d,+760.117+0.00354325d,+520.055+0.00242397d,+1880.72+0.00877087d,+280.016+0.00130502d,+480.047+0.00223746d,+1880.72+0.00877087d,+2961.78+0.0138186d
2021-01-06 04:45:00 UTC,+60400.2+218.362j,+12786.2+31.4349j,+12590+32.2959j,+6045.91+7.04611j,+2280.75+0.967882j,+26696.8+146.041j,+3802.93+0.0177144d,+1000.2+0.00465372d,+920.172+0.00428122d,+2361.13+0.0109919d,+640.083+0.00297773d,+1160.27+0.00539884d,+1880.72+0.00875369d,+1000.2+0.00465372d,+5165.42+0.0240734d,+1880.72+0.00875338d,+760.117+0.00353619d,+2521.29+0.0117378d,+440.039+0.00204687d,+800.13+0.00372239d,+520.055+0.00241914d,+480.047+0.002233d,+800.13+0.00371794d,+400.032+0.00185852d,+600.073+0.00278812d,+320.021+0.00148674d,+440.039+0.00204442d,+1840.69+0.00855667d,+1160.27+0.00539219d
