# file...... 1Meter_632_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_A_24:measured_power,house_meter_632_A_25:measured_power,house_meter_632_A_26:measured_power,house_meter_632_A_27:measured_power,house_meter_632_A_28:measured_power,house_meter_632_A_29:measured_power,house_meter_632_A_30:measured_power,house_meter_632_A_31:measured_power,house_meter_632_A_32:measured_power,house_meter_632_A_33:measured_power,house_meter_632_A_34:measured_power,house_meter_632_A_35:measured_power,house_meter_632_A_36:measured_power,house_meter_632_A_37:measured_power,house_meter_632_A_38:measured_power,house_meter_632_A_39:measured_power,house_meter_632_A_40:measured_power
2021-01-06 00:00:00 UTC,+640.083+0.00296925d,+4043.33+0.0189068d,+6849.57+0.0320656d,+6087.55+0.0284894d,+4083.4+0.0190945d,+320.021+0.00149417d,+6689.12+0.0313124d,+8695.43+0.0407375d,+5486.13+0.0256685d,+6568.77+0.0306653d,+9538.52+0.0445831d,+6969.88+0.0325431d,+3562.58+0.016611d,+360.026+0.0016765d,+320.021+0.00149018d,+200.008+0.000931299d,+360.026+0.0016765d
2021-01-06 00:15:00 UTC,+1040.22+0.00481237d,+3522.52+0.0164042d,+4243.65+0.0197683d,+4644.38+0.0216385d,+5566.29+0.0259435d,+240.012+0.00111624d,+7451.28+0.0347558d,+4764.61+0.0221998d,+6288.03+0.029316d,+6167.71+0.0286876d,+6207.81+0.0288746d,+6648.96+0.0309321d,+3883.05+0.0180443d,+520.055+0.00241338d,+280.016+0.00129932d,+280.016+0.00129932d,+320.021+0.00148498d
2021-01-06 00:30:00 UTC,+840.142+0.00388986d,+3682.75+0.0171603d,+4884.85+0.0227727d,+5486.11+0.025582d,+5285.67+0.0246454d,+280.016+0.00130297d,+4684.46+0.0218367d,+4724.53+0.0220239d,+5285.67+0.0246454d,+6929.75+0.0322847d,+6368.23+0.0296619d,+8173.56+0.0380987d,+3322.24+0.0154552d,+600.073+0.00278848d,+360.026+0.00167284d,+280.016+0.00130104d,+240.012+0.00111515d
2021-01-06 00:45:00 UTC,+1000.2+0.00463619d,+5967.25+0.0279035d,+6929.79+0.0324172d,+4403.95+0.0205802d,+4083.39+0.0190797d,+200.008+0.000933067d,+7852.57+0.0367478d,+6649.01+0.0311002d,+6969.9+0.0326054d,+5486.11+0.0255802d,+9779.46+0.0456788d,+4965.01+0.0231455d,+4163.52+0.0194029d,+280.016+0.00130288d,+280.016+0.00130288d,+200.008+0.000930583d,+3562.58+0.0165983d
2021-01-06 01:00:00 UTC,+760.117+0.00352602d,+5285.69+0.0247039d,+2761.55+0.0128935d,+5045.18+0.0235775d,+6528.68+0.0305287d,+480.047+0.00223922d,+5646.49+0.026394d,+3642.7+0.0170136d,+7170.48+0.0335386d,+6568.77+0.0306508d,+4804.69+0.0224032d,+9136.99+0.0426791d,+3522.52+0.0164162d,+360.026+0.0016757d,+240.012+0.00111705d,+160.005+0.000744663d,+200.008+0.000930851d
2021-01-06 01:15:00 UTC,+880.157+0.0040881d,+3923.14+0.018369d,+7651.96+0.0358829d,+7090.27+0.0332412d,+2921.74+0.0136747d,+360.026+0.00168328d,+6769.36+0.0317325d,+7170.5+0.0336185d,+6769.36+0.0317325d,+6929.78+0.032389d,+9377.92+0.0438752d,+6328.15+0.0295698d,+2481.25+0.0115761d,+600.073+0.00279745d,+320.021+0.00149172d,+240.012+0.00111874d,+240.012+0.00111874d
2021-01-06 01:30:00 UTC,+600.073+0.0027791d,+3642.69+0.0169712d,+4083.38+0.0190278d,+3282.19+0.0152893d,+5045.17+0.0235187d,+440.039+0.00204746d,+5686.57+0.0265155d,+5085.25+0.0237059d,+4323.79+0.02015d,+4444.01+0.0206954d,+6769.3+0.0315539d,+7451.28+0.0347425d,+7250.68+0.0338044d,+720.105+0.00334841d,+360.026+0.00167384d,+240.012+0.00111581d,+200.008+0.000929819d
2021-01-06 01:45:00 UTC,+1000.2+0.00462969d,+4604.31+0.0214777d,+5165.42+0.0241006d,+7371.05+0.0344224d,+5365.85+0.0250378d,+280.016+0.00130389d,+5766.76+0.0269129d,+4604.31+0.0214777d,+6929.77+0.0323558d,+6729.18+0.0313239d,+8534.78+0.0397581d,+5846.93+0.0272074d,+1920.75+0.00892354d,+400.032+0.00185736d,+240.012+0.00111431d,+200.008+0.000928565d,+280.016+0.00130005d
2021-01-06 02:00:00 UTC,+520.054+0.00240396d,+6007.34+0.0280362d,+6167.73+0.0287867d,+5325.76+0.0248484d,+3642.69+0.0169841d,+480.047+0.00223535d,+8855.96+0.0413788d,+9458.21+0.0442036d,+5125.34+0.0239114d,+6007.31+0.0279542d,+7932.77+0.0369429d,+10020.4+0.0467046d,+4043.31+0.0188d,+640.083+0.00297206d,+280.016+0.00129999d,+240.012+0.00111425d,+160.005+0.000742799d
2021-01-06 02:15:00 UTC,+880.156+0.00407577d,+3963.19+0.018482d,+5165.42+0.0241002d,+4564.23+0.0212901d,+5045.17+0.023538d,+400.032+0.00186281d,+4323.8+0.0201666d,+6127.63+0.0286008d,+7531.54+0.0351737d,+4804.68+0.0223675d,+9016.51+0.042047d,+6167.72+0.0287288d,+4363.86+0.0203117d,+920.171+0.00427698d,+280.016+0.00130118d,+200.008+0.000929371d,+200.008+0.000929371d
