# file...... Meter_652A_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 03:00:00 UTC,9.6735e+04,9.0931e+03,1.2544e+04,1.4674e+04,3.4636e+04,2.5787e+04,8.8016e+02,2.7616e+03,8.0013e+02,1.3604e+03,7.2011e+02,9.6019e+02,8.8014e+02,7.2011e+02,1.8807e+03,6.4008e+02,1.6005e+03,1.2003e+03,1.7206e+03,2.8016e+03,1.8007e+03,8.8016e+02,6.8009e+02,1.8007e+03,1.7606e+03
2021-01-06 03:15:00 UTC,9.5096e+04,7.7298e+03,1.0256e+04,1.5235e+04,3.9220e+04,2.2655e+04,6.8009e+02,2.6414e+03,6.4008e+02,6.0006e+02,6.8009e+02,1.0402e+03,7.6012e+02,6.8009e+02,8.4014e+02,6.0007e+02,6.4008e+02,6.4008e+02,1.8807e+03,1.4804e+03,1.8407e+03,2.3211e+03,1.5205e+03,1.8407e+03,1.9208e+03
2021-01-06 03:30:00 UTC,8.1209e+04,8.2911e+03,9.4937e+03,1.3147e+04,3.4873e+04,1.5404e+04,9.6019e+02,2.7615e+03,6.8009e+02,5.6006e+02,8.0013e+02,6.8009e+02,9.6017e+02,8.8016e+02,6.0007e+02,8.8016e+02,6.4008e+02,7.2011e+02,1.7206e+03,1.0002e+03,2.0408e+03,1.8807e+03,2.4001e+02,1.8407e+03,1.8807e+03
2021-01-06 03:45:00 UTC,8.9645e+04,9.1331e+03,1.1139e+04,1.5477e+04,3.5437e+04,1.8458e+04,9.2017e+02,2.6414e+03,8.0013e+02,7.2011e+02,1.5605e+03,7.6012e+02,7.6012e+02,9.6019e+02,7.2011e+02,9.6019e+02,7.2011e+02,6.4008e+02,1.8807e+03,1.3604e+03,1.8807e+03,2.9618e+03,4.8005e+02,1.7206e+03,1.9208e+03
2021-01-06 04:00:00 UTC,8.9477e+04,8.8125e+03,9.6944e+03,1.4874e+04,3.9251e+04,1.6844e+04,7.6012e+02,2.6414e+03,6.0007e+02,8.0012e+02,6.0007e+02,1.0802e+03,1.6405e+03,6.8009e+02,7.2011e+02,6.4008e+02,6.4008e+02,7.2011e+02,1.8407e+03,1.3204e+03,1.8007e+03,2.0008e+03,6.8009e+02,1.9208e+03,1.9608e+03
2021-01-06 04:15:00 UTC,9.8103e+04,8.9729e+03,9.3333e+03,1.4513e+04,3.9833e+04,2.5449e+04,1.4404e+03,2.6815e+03,7.6012e+02,6.4008e+02,6.0007e+02,1.2003e+03,9.6017e+02,6.8009e+02,6.0007e+02,6.4008e+02,8.4014e+02,6.0007e+02,1.8807e+03,1.3204e+03,1.8807e+03,1.5605e+03,3.2002e+02,1.8007e+03,1.7206e+03
2021-01-06 04:30:00 UTC,1.2153e+05,8.0505e+03,8.8921e+03,1.3428e+04,5.9462e+04,3.1693e+04,8.0013e+02,2.5613e+03,6.4008e+02,6.4008e+02,7.2011e+02,6.8009e+02,7.2011e+02,1.2803e+03,8.0013e+02,6.8009e+02,7.2011e+02,6.4008e+02,1.8807e+03,1.2003e+03,1.8407e+03,1.1203e+03,4.4004e+02,1.7606e+03,1.7206e+03
2021-01-06 04:45:00 UTC,1.0070e+05,7.7699e+03,1.0618e+04,1.4593e+04,4.3829e+04,2.3893e+04,7.6012e+02,2.6414e+03,6.4008e+02,6.8008e+02,6.8009e+02,5.6006e+02,8.4014e+02,9.6019e+02,6.4008e+02,8.8016e+02,6.4008e+02,7.2011e+02,2.0008e+03,1.3604e+03,3.2822e+03,1.0802e+03,5.6006e+02,1.9208e+03,3.0419e+03
2021-01-06 05:00:00 UTC,1.0396e+05,8.8549e+03,9.4134e+03,1.4151e+04,3.7607e+04,3.3934e+04,5.6006e+02,3.9232e+03,6.8009e+02,8.0013e+02,6.0007e+02,7.6012e+02,7.6011e+02,7.6012e+02,6.0007e+02,9.2017e+02,8.8016e+02,6.0007e+02,1.8407e+03,1.6005e+03,1.8007e+03,1.1603e+03,3.6003e+02,1.7606e+03,1.7606e+03
2021-01-06 05:15:00 UTC,8.2232e+04,7.3289e+03,1.0056e+04,1.4392e+04,3.0065e+04,2.0389e+04,5.6006e+02,2.5213e+03,6.0007e+02,7.6012e+02,8.4014e+02,6.0007e+02,6.8009e+02,7.6012e+02,7.6012e+02,6.0007e+02,6.8009e+02,8.0013e+02,3.0018e+03,1.0002e+03,1.9608e+03,1.2403e+03,6.4008e+02,1.7206e+03,1.8007e+03
2021-01-06 05:30:00 UTC,8.4429e+04,8.6920e+03,8.5310e+03,1.2544e+04,3.2980e+04,2.1681e+04,1.2803e+03,2.6414e+03,6.0007e+02,1.0002e+03,8.0013e+02,6.8009e+02,7.6012e+02,9.2017e+02,7.2011e+02,9.6019e+02,6.4008e+02,7.2011e+02,1.7206e+03,6.4008e+02,1.8807e+03,1.2403e+03,2.0001e+02,1.8007e+03,1.8807e+03
2021-01-06 05:45:00 UTC,9.7256e+04,9.1735e+03,9.9750e+03,1.4954e+04,4.6862e+04,1.6290e+04,6.0007e+02,2.5613e+03,6.0007e+02,1.4804e+03,6.0007e+02,6.8009e+02,7.6011e+02,1.8807e+03,7.2011e+02,1.5205e+03,1.4804e+03,7.6012e+02,1.8807e+03,4.4004e+02,1.9208e+03,1.2403e+03,2.8002e+02,2.2010e+03,1.8407e+03
2021-01-06 06:00:00 UTC,9.5924e+04,7.4492e+03,1.0416e+04,1.4472e+04,4.5899e+04,1.7687e+04,5.6006e+02,2.6014e+03,5.6006e+02,7.2009e+02,8.8016e+02,5.6006e+02,8.0013e+02,7.6012e+02,1.6405e+03,8.8016e+02,6.8009e+02,1.4804e+03,1.7206e+03,1.0002e+03,1.9207e+03,1.0802e+03,6.8009e+02,3.0819e+03,1.8407e+03
2021-01-06 06:15:00 UTC,1.0256e+05,8.4917e+03,8.8919e+03,1.2624e+04,4.9164e+04,2.3389e+04,5.6006e+02,2.6414e+03,6.8009e+02,8.0013e+02,6.0007e+02,7.6012e+02,1.6405e+03,8.0013e+02,7.2011e+02,9.6019e+02,6.4008e+02,7.2011e+02,1.9207e+03,1.0002e+03,1.7606e+03,1.1603e+03,3.2002e+02,1.8407e+03,1.8007e+03
2021-01-06 06:30:00 UTC,1.1953e+05,9.8561e+03,9.1728e+03,1.4270e+04,4.8944e+04,3.7283e+04,7.6012e+02,3.0018e+03,2.3211e+03,7.2011e+02,7.2011e+02,6.4008e+02,8.0012e+02,8.8016e+02,7.6012e+02,7.6012e+02,6.4008e+02,7.6012e+02,2.0809e+03,8.4014e+02,1.7606e+03,1.5605e+03,2.0008e+03,1.7206e+03,1.7606e+03
2021-01-06 06:45:00 UTC,1.0619e+05,7.7298e+03,9.4533e+03,1.4070e+04,4.6328e+04,2.8609e+04,6.0007e+02,2.7215e+03,6.4008e+02,6.8008e+02,6.4008e+02,7.6012e+02,8.0013e+02,8.8016e+02,7.6012e+02,7.6012e+02,6.8009e+02,6.8009e+02,1.8407e+03,1.7606e+03,1.7206e+03,1.2403e+03,4.4004e+02,1.7206e+03,1.7606e+03
2021-01-06 07:00:00 UTC,1.1093e+05,9.7786e+03,1.3708e+04,1.2182e+04,5.9424e+04,1.5840e+04,7.6012e+02,4.5241e+03,6.4008e+02,6.0007e+02,1.0802e+03,7.6012e+02,6.8008e+02,7.2010e+02,6.8009e+02,2.3611e+03,2.0809e+03,2.8817e+03,2.0008e+03,7.2010e+02,1.8807e+03,1.0802e+03,2.4001e+02,1.7206e+03,1.7606e+03
2021-01-06 07:15:00 UTC,1.2566e+05,1.7735e+04,2.5465e+04,1.4190e+04,4.6750e+04,2.1514e+04,6.0007e+02,5.8870e+03,5.2005e+02,3.7628e+03,2.0008e+03,3.4424e+03,8.4014e+02,6.4008e+02,1.0802e+03,6.7692e+03,4.6844e+03,5.7266e+03,1.9608e+03,7.6012e+02,1.9207e+03,2.4812e+03,7.6012e+02,1.8407e+03,1.8407e+03
2021-01-06 07:30:00 UTC,1.1292e+05,1.8461e+04,2.3736e+04,1.3227e+04,3.6817e+04,2.0674e+04,7.2010e+02,7.1302e+03,8.8016e+02,2.8416e+03,2.1609e+03,3.3623e+03,6.4008e+02,6.8009e+02,1.2003e+03,3.5625e+03,4.6844e+03,8.2938e+03,1.6806e+03,8.4014e+02,1.8407e+03,1.5605e+03,2.0001e+02,1.8006e+03,1.8807e+03
2021-01-06 07:45:00 UTC,1.3970e+05,1.6285e+04,1.8020e+04,1.3587e+04,4.3694e+04,4.8116e+04,6.8009e+02,4.8447e+03,4.1234e+03,3.2821e+03,1.0002e+03,7.6011e+02,7.6010e+02,8.0013e+02,7.2010e+02,2.3211e+03,1.1202e+03,7.7720e+03,1.9608e+03,8.0013e+02,1.7606e+03,1.5205e+03,6.0007e+02,2.0008e+03,1.9207e+03
2021-01-06 08:00:00 UTC,1.5540e+05,2.8459e+04,1.8100e+04,1.3668e+04,2.8291e+04,6.6875e+04,6.0007e+02,5.0050e+03,6.8494e+03,5.3257e+03,9.6018e+02,8.0530e+03,9.2017e+02,6.4008e+02,7.6012e+02,3.7228e+03,7.2010e+02,7.2906e+03,1.9608e+03,6.4008e+02,1.8807e+03,1.0802e+03,2.8002e+02,1.8006e+03,1.9207e+03
2021-01-06 08:15:00 UTC,1.7766e+05,3.2290e+04,2.0510e+04,1.2985e+04,4.5841e+04,6.6034e+04,1.0802e+03,3.2822e+03,5.8068e+03,5.2054e+03,1.7206e+03,9.3779e+03,7.6012e+02,4.9249e+03,6.8009e+02,3.6026e+03,6.3682e+03,3.8029e+03,2.1209e+03,8.4014e+02,2.0008e+03,1.0402e+03,8.4014e+02,1.7606e+03,1.8007e+03
2021-01-06 08:30:00 UTC,1.7328e+05,4.1010e+04,2.3412e+04,1.3066e+04,4.8250e+04,4.7544e+04,1.4404e+03,4.8849e+03,4.0433e+03,4.4841e+03,4.6444e+03,8.4947e+03,5.4860e+03,7.3309e+03,6.8009e+02,3.9632e+03,6.5286e+03,5.6465e+03,1.7206e+03,8.0013e+02,2.8016e+03,1.2003e+03,4.0003e+02,1.8807e+03,1.8007e+03
2021-01-06 08:45:00 UTC,1.9835e+05,5.0063e+04,3.3307e+04,1.5838e+04,5.1076e+04,4.8061e+04,1.9608e+03,3.2021e+03,3.6427e+03,6.9299e+03,1.2740e+04,8.3343e+03,9.6190e+03,3.3223e+03,8.0533e+03,4.7646e+03,9.6190e+03,4.3238e+03,2.0008e+03,7.6012e+02,2.2410e+03,1.4004e+03,3.6427e+03,2.0809e+03,1.8407e+03
2021-01-06 09:00:00 UTC,1.9283e+05,4.5556e+04,3.7809e+04,1.8332e+04,5.3517e+04,3.7612e+04,6.8009e+02,3.4424e+03,3.8430e+03,8.0131e+03,1.1294e+04,5.4060e+03,8.6554e+03,3.9632e+03,9.0167e+03,7.6119e+03,1.1186e+04,3.9232e+03,2.0409e+03,7.6012e+02,1.8407e+03,1.2403e+03,5.1655e+03,1.9608e+03,1.9208e+03
2021-01-06 09:15:00 UTC,1.9823e+05,4.9482e+04,4.3566e+04,2.0384e+04,5.1290e+04,3.3502e+04,8.4015e+02,8.2075e+03,3.5226e+03,9.0971e+03,1.0492e+04,6.4887e+03,7.0501e+03,3.4825e+03,1.1146e+04,7.1706e+03,1.0784e+04,8.2139e+03,2.0809e+03,9.6019e+02,1.8007e+03,1.1603e+03,5.2857e+03,1.9208e+03,3.6427e+03
2021-01-06 09:30:00 UTC,2.0686e+05,5.5056e+04,4.2513e+04,1.6198e+04,5.1934e+04,4.1155e+04,6.8010e+02,7.2855e+03,3.9632e+03,8.3745e+03,1.3225e+04,8.6154e+03,7.6521e+03,4.8849e+03,9.9003e+03,9.7396e+03,1.0583e+04,6.5689e+03,1.7606e+03,7.6012e+02,1.8007e+03,1.1603e+03,2.3611e+03,1.7206e+03,2.4012e+03
2021-01-06 09:45:00 UTC,1.7905e+05,5.0717e+04,3.8537e+04,2.1112e+04,3.8113e+04,3.0572e+04,6.8010e+02,9.8905e+03,5.3259e+03,6.4085e+03,1.1345e+04,9.6593e+03,4.5643e+03,2.5213e+03,8.2942e+03,1.0664e+04,8.8161e+03,4.6845e+03,2.0008e+03,7.2011e+02,1.8007e+03,1.3604e+03,2.4412e+03,1.8807e+03,2.4813e+03
2021-01-06 10:00:00 UTC,1.6803e+05,3.9762e+04,3.3465e+04,2.3245e+04,3.5235e+04,3.6322e+04,6.4008e+02,7.0852e+03,3.6027e+03,6.2882e+03,8.4949e+03,6.9299e+03,4.2837e+03,2.2410e+03,7.0503e+03,8.4146e+03,6.4486e+03,5.2457e+03,2.1610e+03,6.8010e+02,1.9208e+03,1.4004e+03,2.3611e+03,1.8007e+03,2.2410e+03
2021-01-06 10:15:00 UTC,1.5738e+05,3.9591e+04,3.1800e+04,2.0749e+04,4.3764e+04,2.1478e+04,1.0402e+03,6.6445e+03,3.5626e+03,4.5242e+03,5.1254e+03,7.7724e+03,3.7629e+03,6.9699e+03,4.7246e+03,6.4084e+03,7.1705e+03,5.8871e+03,3.3223e+03,7.6012e+02,2.1610e+03,1.2403e+03,2.3211e+03,1.7606e+03,2.3211e+03
2021-01-06 10:30:00 UTC,1.4217e+05,3.6359e+04,2.9622e+04,2.1434e+04,3.3567e+04,2.1191e+04,8.4014e+02,3.0819e+03,4.0834e+03,4.0433e+03,7.5316e+03,4.6845e+03,7.0501e+03,4.8849e+03,5.8470e+03,7.3310e+03,5.8470e+03,4.6444e+03,2.0008e+03,8.8016e+02,1.9208e+03,1.0402e+03,2.4012e+03,1.7606e+03,2.4412e+03
