# file...... 1Meter_684_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_A_24:measured_power,house_meter_684_A_25:measured_power,house_meter_684_A_26:measured_power,house_meter_684_A_27:measured_power,house_meter_684_A_28:measured_power,house_meter_684_A_29:measured_power,house_meter_684_A_30:measured_power,house_meter_684_A_31:measured_power,house_meter_684_A_32:measured_power,house_meter_684_A_33:measured_power,house_meter_684_A_34:measured_power,house_meter_684_A_35:measured_power,house_meter_684_A_36:measured_power,house_meter_684_A_37:measured_power,house_meter_684_A_38:measured_power,house_meter_684_A_39:measured_power,house_meter_684_A_40:measured_power
2021-01-06 00:00:00 UTC,+360.026+0.00167709d,+720.105+0.00335529d,+800.13+0.00372828d,+400.032+0.00186369d,+1880.72+0.00876722d,+880.157+0.00410131d,+760.117+0.00354178d,+720.105+0.00335529d,+840.143+0.00391479d,+1400.4+0.00652472d,+1120.25+0.00521889d,+520.055+0.00242218d,+440.039+0.00204944d,+440.039+0.00204944d,+480.047+0.0022358d,+240.012+0.00111774d,+560.064+0.00260856d
2021-01-06 00:15:00 UTC,+680.093+0.00315309d,+680.093+0.00315353d,+1240.31+0.00575251d,+400.032+0.0018547d,+1920.75+0.00891078d,+720.105+0.00333911d,+680.093+0.00315353d,+600.073+0.00278239d,+800.129+0.0037103d,+1280.33+0.00593791d,+1000.2+0.00463821d,+600.073+0.00278225d,+560.063+0.0025967d,+240.012+0.00111266d,+400.032+0.00185461d,+2240.67+0.0068957d,+440.039+0.00204012d
2021-01-06 00:30:00 UTC,+400.032+0.00185568d,+760.117+0.00352769d,+600.073+0.00278475d,+400.032+0.00185628d,+1920.75+0.00891835d,+800.129+0.00371345d,+960.186+0.00445658d,+640.083+0.00297047d,+920.171+0.00427078d,+1200.29+0.00557259d,+2360.57+0.00552167d,+640.083+0.00297104d,+240.012+0.00111387d,+200.008+0.000928202d,+880.157+0.00408577d,+1880.51+0.00626655d,+640.083+0.00297104d
2021-01-06 00:45:00 UTC,+640.083+0.0029707d,+800.129+0.00371415d,+800.129+0.00371415d,+400.032+0.00185662d,+1920.75+0.00892002d,+520.055+0.00241379d,+1040.22+0.0048291d,+560.063+0.00259953d,+520.055+0.00241379d,+1080.24+0.00501771d,+4682.55+0.0125036d,+480.047+0.00222928d,+360.026+0.00167184d,+240.012+0.00111448d,+440.039+0.00204346d,+1840.45+0.00564211d,+440.039+0.00204346d
2021-01-06 01:00:00 UTC,+560.064+0.00260718d,+640.083+0.0029812d,+1000.2+0.00465915d,+840.143+0.0039133d,+1880.72+0.0087639d,+840.143+0.0039133d,+640.083+0.0029812d,+600.073+0.00279481d,+800.13+0.00372687d,+1200.29+0.00559352d,+3882.1+0.0124073d,+600.073+0.00279573d,+520.055+0.00242285d,+280.016+0.00130442d,+320.021+0.0014908d,+1800.45+0.00570716d,+440.039+0.00205d
2021-01-06 01:15:00 UTC,+680.094+0.00317246d,+600.073+0.00279942d,+400.033+0.00186605d,+400.033+0.00186605d,+2000.81+0.0093394d,+760.117+0.00354628d,+720.105+0.00335956d,+560.064+0.00261273d,+560.064+0.00261273d,+1120.26+0.00522748d,+1960.46+0.00541635d,+600.073+0.00279955d,+360.026+0.00167948d,+520.055+0.00242616d,+320.021+0.00149284d,+840.085+0.00231985d,+520.055+0.00242616d
2021-01-06 01:30:00 UTC,+440.039+0.00203902d,+480.047+0.0022247d,+680.093+0.00315205d,+280.016+0.00129759d,+1840.68+0.00853507d,+960.186+0.0044507d,+760.117+0.00352305d,+600.073+0.00278108d,+520.055+0.00241015d,+880.156+0.00407836d,+1040.22+0.00482035d,+520.055+0.00240942d,+320.021+0.00148254d,+520.055+0.00240942d,+320.021+0.00148254d,+480.047+0.00222402d,+360.026+0.0016679d
2021-01-06 01:45:00 UTC,+680.093+0.00315152d,+480.047+0.0022242d,+880.156+0.00407869d,+520.055+0.00240961d,+1680.57+0.00779037d,+400.032+0.00185341d,+480.047+0.0022242d,+560.063+0.00259503d,+960.186+0.0044497d,+1320.35+0.00611936d,+1280.33+0.00593378d,+800.129+0.00370753d,+440.039+0.0020387d,+200.008+0.000926546d,+720.105+0.00333662d,+360.026+0.00166794d,+560.063+0.00259489d
2021-01-06 02:00:00 UTC,+480.046+0.00221894d,+400.032+0.00184914d,+480.046+0.00221907d,+680.093+0.00314407d,+1880.71+0.00869873d,+1000.2+0.00462452d,+520.054+0.00240405d,+560.063+0.00258904d,+560.063+0.00258904d,+840.142+0.00388295d,+960.186+0.00443798d,+600.072+0.00277313d,+360.026+0.00166364d,+240.012+0.00110901d,+480.046+0.00221835d,+240.012+0.00110901d,+560.063+0.0025882d
2021-01-06 02:15:00 UTC,+680.093+0.00315441d,+400.032+0.0018538d,+520.055+0.00241011d,+440.039+0.00203923d,+1800.65+0.00834917d,+640.083+0.00296651d,+720.105+0.00333748d,+560.063+0.00259557d,+520.055+0.00241011d,+520.055+0.00240937d,+1280.33+0.0059335d,+520.055+0.00240937d,+400.032+0.00185323d,+200.008+0.000926503d,+440.039+0.0020386d,+320.021+0.00148251d,+240.012+0.00111183d
2021-01-06 02:30:00 UTC,+600.073+0.0027898d,+600.073+0.00278914d,+560.064+0.00260314d,+600.073+0.00278914d,+1640.55+0.00762849d,+840.143+0.00390537d,+760.117+0.00353326d,+520.055+0.00241714d,+640.083+0.00297516d,+960.187+0.00446227d,+960.187+0.00446227d,+520.055+0.00241642d,+680.094+0.00316024d,+200.008+0.000929209d,+320.021+0.00148684d,+400.032+0.00185865d,+480.047+0.00223048d
2021-01-06 02:45:00 UTC,+560.064+0.00260469d,+680.094+0.00316221d,+840.143+0.00390664d,+360.026+0.00167379d,+1760.63+0.00818993d,+640.083+0.00297613d,+560.064+0.00260399d,+560.064+0.00260399d,+800.13+0.00372052d,+640.083+0.00297528d,+1120.25+0.00520826d,+920.171+0.00427769d,+440.039+0.00204526d,+360.026+0.00167331d,+360.026+0.00167331d,+480.047+0.00223124d,+320.021+0.00148735d
2021-01-06 03:00:00 UTC,+520.055+0.00241576d,+480.047+0.00222982d,+400.032+0.00185809d,+480.047+0.00222982d,+1800.66+0.00836852d,+760.117+0.00353114d,+680.094+0.00315929d,+600.073+0.00278747d,+600.073+0.00278747d,+560.063+0.00260099d,+920.171+0.00427399d,+520.055+0.00241515d,+360.026+0.00167186d,+680.094+0.00315857d,+640.083+0.0029727d,+360.026+0.00167186d,+520.055+0.00241515d
2021-01-06 03:15:00 UTC,+560.063+0.00259595d,+640.083+0.00296551d,+320.021+0.00148247d,+920.171+0.00426365d,+1360.37+0.00630446d,+600.073+0.0027801d,+720.105+0.00333636d,+480.046+0.00222392d,+640.083+0.00296551d,+880.156+0.00407663d,+720.105+0.0033351d,+520.055+0.00240839d,+320.021+0.00148191d,+240.012+0.00111138d,+320.021+0.00148191d,+280.016+0.00129664d,+320.021+0.00148191d
2021-01-06 03:30:00 UTC,+520.055+0.00241091d,+600.073+0.00277876d,+520.055+0.00240814d,+440.039+0.00203756d,+480.046+0.00222285d,+520.055+0.00240814d,+520.055+0.00240814d,+640.083+0.00296408d,+880.156+0.00407621d,+680.093+0.00314896d,+1040.22+0.0048171d,+640.083+0.00296365d,+400.032+0.00185201d,+240.012+0.0011111d,+360.026+0.00166677d,+240.012+0.0011111d,+200.008+0.000925894d
2021-01-06 03:45:00 UTC,+760.117+0.00353193d,+480.047+0.00222498d,+800.129+0.00370902d,+280.016+0.00129775d,+560.063+0.00259594d,+920.171+0.00426568d,+960.186+0.00445126d,+560.063+0.00259594d,+520.055+0.00241045d,+600.073+0.00278078d,+560.063+0.00259533d,+920.171+0.00426469d,+560.063+0.00259533d,+240.012+0.00111207d,+400.032+0.00185363d,+280.016+0.00129745d,+240.012+0.00111207d
2021-01-06 04:00:00 UTC,+2441.21+0.0113722d,+640.083+0.00297332d,+280.016+0.00130054d,+520.055+0.00241565d,+360.026+0.00167221d,+520.055+0.00241565d,+520.055+0.00241565d,+560.063+0.00260153d,+720.105+0.00334515d,+960.187+0.00446052d,+400.032+0.00185792d,+400.032+0.00185792d,+560.063+0.00260134d,+240.012+0.00111464d,+200.008+0.000928846d,+640.083+0.0029731d,+320.021+0.00148626d
2021-01-06 04:15:00 UTC,+520.055+0.0024334d,+560.064+0.00261313d,+560.064+0.00261313d,+680.094+0.00317332d,+440.039+0.00205302d,+440.039+0.00205302d,+680.094+0.00317332d,+480.047+0.00223972d,+400.033+0.00186634d,+560.064+0.00261296d,+720.105+0.00335985d,+600.073+0.00279967d,+320.021+0.0014929d,+320.021+0.0014929d,+520.055+0.00242626d,+280.016+0.00130625d,+560.064+0.00261296d
2021-01-06 04:30:00 UTC,+520.055+0.00244143d,+320.021+0.00149661d,+520.055+0.00243228d,+480.047+0.00224513d,+480.047+0.00224513d,+840.144+0.00392985d,+600.073+0.00280662d,+600.073+0.00280662d,+800.13+0.00374262d,+640.083+0.00299349d,+560.064+0.00261918d,+960.188+0.00449112d,+520.055+0.00243203d,+600.073+0.00280633d,+240.012+0.00112228d,+240.012+0.00112228d,+320.021+0.00149645d
2021-01-06 04:45:00 UTC,+1520.47+0.00712287d,+440.039+0.00205074d,+600.073+0.00279673d,+400.032+0.00186426d,+360.026+0.00167779d,+400.032+0.00186426d,+600.073+0.00279673d,+800.13+0.00372943d,+600.073+0.00279673d,+1040.22+0.00484826d,+440.039+0.00205044d,+480.047+0.00223689d,+320.021+0.00149112d,+400.032+0.00186399d,+240.012+0.00111828d,+240.012+0.00111828d,+240.012+0.00111828d
2021-01-06 05:00:00 UTC,+3322.26+0.0155952d,+480.047+0.00224081d,+360.026+0.00168048d,+520.055+0.0024276d,+440.039+0.00205402d,+480.047+0.00224081d,+520.055+0.0024276d,+440.039+0.00205402d,+560.064+0.0026144d,+440.039+0.00205363d,+560.064+0.0026139d,+560.064+0.0026139d,+280.016+0.00130673d,+200.008+0.000933331d,+280.016+0.00130673d,+240.012+0.00112002d,+200.008+0.000933331d
2021-01-06 05:15:00 UTC,+4203.6+0.0196712d,+360.026+0.00167423d,+600.073+0.0027908d,+360.026+0.00167423d,+760.117+0.00353535d,+920.172+0.00428005d,+960.187+0.00446625d,+520.055+0.00241857d,+480.047+0.00223247d,+640.083+0.00297655d,+600.073+0.00279045d,+920.172+0.00427952d,+920.172+0.00427952d,+240.012+0.00111594d,+320.021+0.00148799d,+400.032+0.00186007d,+240.012+0.00111594d
