# file...... Meter_611_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power,xfmr_meter_611_C_1:measured_power,xfmr_meter_611_C_2:measured_power,xfmr_meter_611_C_3:measured_power,xfmr_meter_611_C_4:measured_power,xfmr_meter_611_C_5:measured_power,house_meter_611_C_1:measured_power,house_meter_611_C_2:measured_power,house_meter_611_C_3:measured_power,house_meter_611_C_4:measured_power,house_meter_611_C_5:measured_power,house_meter_611_C_6:measured_power,house_meter_611_C_7:measured_power,house_meter_611_C_8:measured_power,house_meter_611_C_9:measured_power,house_meter_611_C_10:measured_power,house_meter_611_C_11:measured_power,house_meter_611_C_12:measured_power,house_meter_611_C_13:measured_power,house_meter_611_C_14:measured_power,house_meter_611_C_15:measured_power,house_meter_611_C_16:measured_power,house_meter_611_C_17:measured_power,house_meter_611_C_18:measured_power,house_meter_611_C_19:measured_power,house_meter_611_C_20:measured_power,house_meter_611_C_21:measured_power,house_meter_611_C_22:measured_power,house_meter_611_C_23:measured_power
2021-01-06 00:00:00 UTC,+50158.1+146.671j,+1440.31+0.395921j,+7170.69+11.0533j,+5765.27+6.48814j,+18867.6+73.9375j,+16913.9+54.462j,+240.012+0.0011459d,+240.012+0.0011459d,+120.003+0.000572903d,+200.008+0.000954891d,+160.005+0.000763892d,+160.005+0.000763892d,+160.005+0.000763892d,+160.005+0.000763892d,+480.048+0.00229462d,+320.021+0.00152959d,+520.056+0.0024859d,+440.04+0.00210334d,+680.096+0.00325111d,+560.065+0.00267719d,+3482.53+0.0166673d,+680.096+0.00325111d,+360.027+0.00172038d,+400.033+0.00191158d,+360.027+0.00172038d,+680.096+0.00325026d,+1000.21+0.00478075d,+1000.21+0.00478075d,+1440.43+0.00688617d
2021-01-06 00:15:00 UTC,+48122.1+154.899j,+2361.14+1.18772j,+4723.32+4.25923j,+8373.73+14.7112j,+7969.46+12.1298j,+24694.1+122.258j,+200.008+0.000952846d,+160.005+0.000762257d,+160.005+0.000762257d,+160.005+0.000762257d,+280.016+0.00133405d,+160.005+0.000762257d,+1120.26+0.00533901d,+120.003+0.000571678d,+720.108+0.00343288d,+440.04+0.00209751d,+640.085+0.0030513d,+280.016+0.00133464d,+480.048+0.00228825d,+680.096+0.00324209d,+800.133+0.00381451d,+680.096+0.00324209d,+560.065+0.00267158d,+360.027+0.00171723d,+600.075+0.00286248d,+800.133+0.00381712d,+800.133+0.00381712d,+800.133+0.00381712d,+3762.95+0.0179737d
2021-01-06 00:30:00 UTC,+48688+156.158j,+2801.63+1.68194j,+4082.51+3.19222j,+8694.25+15.6183j,+7889.73+12.0572j,+25219.5+123.244j,+280.016+0.00133186d,+240.012+0.00114156d,+120.003+0.00057074d,+280.016+0.00133186d,+200.008+0.000951279d,+120.003+0.00057074d,+1360.38+0.00647336d,+200.008+0.000951279d,+440.04+0.00209363d,+920.176+0.00437889d,+560.065+0.00266481d,+320.021+0.00152252d,+320.021+0.00152252d,+480.048+0.00228401d,+560.065+0.00266481d,+480.048+0.00228401d,+720.108+0.00342949d,+480.048+0.00228599d,+480.048+0.00228599d,+680.096+0.00323888d,+1040.22+0.0049547d,+3682.82+0.0175609d,+960.191+0.00457334d
2021-01-06 00:45:00 UTC,+44505.4+129.886j,+2921.68+1.79362j,+3521.85+2.36656j,+7087.67+9.65506j,+7849.53+11.8916j,+23124.4+103.875j,+240.012+0.00114095d,+200.008+0.000950772d,+1320.36+0.00627947d,+400.033+0.00190178d,+240.012+0.00114095d,+120.003+0.000570435d,+160.005+0.000760599d,+240.012+0.00114095d,+240.012+0.00114108d,+440.04+0.00209224d,+280.016+0.0013313d,+680.096+0.00323395d,+560.065+0.00266306d,+400.033+0.00190199d,+440.04+0.00209224d,+480.048+0.00228251d,+440.04+0.00209364d,+400.033+0.00190326d,+1080.24+0.00514098d,+1120.26+0.00533152d,+1480.45+0.0070468d,+760.12+0.00361701d,+1120.26+0.00533152d
2021-01-06 01:00:00 UTC,+51244.2+147.053j,+7775.76+14.2511j,+4282.73+3.50221j,+9055.95+17.1567j,+7167.86+9.89315j,+22961.6+101.912j,+160.005+0.000762814d,+760.12+0.0036247d,+320.021+0.00152577d,+240.012+0.00114428d,+1080.24+0.00515192d,+240.012+0.00114428d,+4724.64+0.0225671d,+240.012+0.00114428d,+720.108+0.00343159d,+320.021+0.00152478d,+320.021+0.00152478d,+680.096+0.00324087d,+440.04+0.00209672d,+520.056+0.00247807d,+680.096+0.00324087d,+600.075+0.00285945d,+360.027+0.00171695d,+360.027+0.00171695d,+680.096+0.00324377d,+680.096+0.00324377d,+3883.14+0.0185456d,+840.147+0.00400741d,+1640.56+0.00782789d
2021-01-06 01:15:00 UTC,+53187+172.349j,+6891.4+10.8084j,+5525.17+6.08204j,+7048.02+9.74107j,+7769.26+11.6402j,+25952.8+133.683j,+160.005+0.000763192d,+120.003+0.00057238d,+280.016+0.00133568d,+240.012+0.00114484d,+160.005+0.000763192d,+2401.2+0.0114639d,+3282.24+0.0156759d,+240.012+0.00114484d,+680.096+0.00324378d,+480.048+0.00228944d,+560.065+0.00267115d,+200.008+0.000953768d,+440.04+0.0020986d,+1880.74+0.00897482d,+720.108+0.00343468d,+560.065+0.00267115d,+600.075+0.00286284d,+480.048+0.0022901d,+680.096+0.00324471d,+560.065+0.00267191d,+800.133+0.00381759d,+1080.24+0.00515465d,+2120.94+0.010125d
2021-01-06 01:30:00 UTC,+48579.9+118.568j,+7733.39+13.1858j,+4082.47+3.16971j,+5644.82+6.09816j,+13714.4+38.3904j,+17404.5+57.4507j,+120.003+0.000569906d,+1080.24+0.00513223d,+80.0013+0.000379928d,+160.005+0.000759895d,+200.008+0.000949892d,+200.008+0.000949892d,+3362.34+0.0159896d,+2521.32+0.0119859d,+640.085+0.00303842d,+680.096+0.0032284d,+560.065+0.00265848d,+240.012+0.00113912d,+360.027+0.00170881d,+480.048+0.00227858d,+640.085+0.00303842d,+480.048+0.00227858d,+640.085+0.0030393d,+560.065+0.00265926d,+480.048+0.00227925d,+360.027+0.00170931d,+1000.21+0.00474997d,+880.16+0.00417966d,+1160.28+0.00551051d
2021-01-06 01:45:00 UTC,+47876+144.982j,+7291.11+11.415j,+5204.59+5.38756j,+4363.04+3.71302j,+6285.91+7.5445j,+24731+116.58j,+200.008+0.0009514d,+960.191+0.00456888d,+160.005+0.000761101d,+240.012+0.00114171d,+240.012+0.00114171d,+3081.97+0.0146779d,+2040.86+0.0097154d,+360.027+0.00171269d,+480.048+0.00228287d,+640.085+0.00304412d,+400.033+0.00190229d,+600.075+0.0028538d,+1800.67+0.00856778d,+240.012+0.00114126d,+440.04+0.00209258d,+600.075+0.0028538d,+280.016+0.0013313d,+240.012+0.00114108d,+160.005+0.000760684d,+560.065+0.00266306d,+760.12+0.0036146d,+680.096+0.00323395d,+1120.26+0.00532797d
2021-01-06 02:00:00 UTC,+57604.8+189.309j,+14570.2+47.9623j,+3842.2+2.8172j,+7249.51+10.7043j,+7368.6+10.568j,+24573.9+116.829j,+360.027+0.00171738d,+920.176+0.00439039d,+120.003+0.000572373d,+280.016+0.00133567d,+80.0013+0.000381572d,+7692.33+0.0368058d,+2601.41+0.0124206d,+2481.28+0.0118465d,+320.021+0.00152345d,+360.027+0.00171392d,+360.027+0.00171392d,+680.096+0.00323805d,+640.085+0.0030475d,+360.027+0.00171392d,+520.056+0.00247591d,+600.075+0.00285696d,+200.008+0.000952691d,+360.027+0.00171502d,+480.048+0.00228686d,+640.085+0.00304945d,+680.096+0.00324012d,+680.096+0.00324012d,+1560.51+0.00743729d
2021-01-06 02:15:00 UTC,+58875.4+182.028j,+13398.6+39.0034j,+5164.41+5.26442j,+5925.21+6.68817j,+10900.7+23.8535j,+23486.1+106.802j,+200.008+0.000952953d,+1320.36+0.00629388d,+200.008+0.000952953d,+1200.3+0.00572128d,+240.012+0.00114357d,+6448.65+0.030805d,+2521.32+0.0120246d,+1240.32+0.00591213d,+640.085+0.00304558d,+440.04+0.00209357d,+480.048+0.00228396d,+1680.59+0.00799982d,+240.012+0.00114181d,+640.085+0.00304558d,+600.075+0.00285516d,+440.04+0.00209357d,+600.075+0.00285556d,+560.065+0.00266513d,+680.096+0.00323647d,+480.048+0.00228428d,+920.176+0.0043794d,+1000.21+0.00476046d,+1040.22+0.004951d
