# file...... Meter_645_B_Power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power.real,xfmr_meter_645_B_1:measured_power.real,xfmr_meter_645_B_2:measured_power.real,xfmr_meter_645_B_3:measured_power.real,xfmr_meter_645_B_4:measured_power.real,xfmr_meter_645_B_5:measured_power.real,house_meter_645_B_1:measured_power.real,house_meter_645_B_2:measured_power.real,house_meter_645_B_3:measured_power.real,house_meter_645_B_4:measured_power.real,house_meter_645_B_5:measured_power.real,house_meter_645_B_6:measured_power.real,house_meter_645_B_7:measured_power.real,house_meter_645_B_8:measured_power.real,house_meter_645_B_9:measured_power.real,house_meter_645_B_10:measured_power.real,house_meter_645_B_11:measured_power.real,house_meter_645_B_12:measured_power.real,house_meter_645_B_13:measured_power.real,house_meter_645_B_14:measured_power.real,house_meter_645_B_15:measured_power.real,house_meter_645_B_16:measured_power.real,house_meter_645_B_17:measured_power.real,house_meter_645_B_18:measured_power.real,house_meter_645_B_19:measured_power.real
2021-01-06 00:00:00 UTC,3.5861e+04,3.2015e+03,7.9692e+03,5.1240e+03,1.7486e+04,2.0806e+03,2.8002e+02,2.4001e+02,6.0007e+02,2.4001e+02,4.4004e+02,3.6003e+02,4.8005e+02,5.6006e+02,1.1603e+03,7.6012e+02,1.4804e+03,8.0013e+02,6.0007e+02,8.8016e+02,1.5205e+03,7.6012e+02,5.2005e+02,6.0007e+02,5.6006e+02
2021-01-06 00:15:00 UTC,3.2532e+04,2.3608e+03,7.4881e+03,4.8436e+03,1.5959e+04,1.8805e+03,2.4001e+02,1.6001e+02,2.4001e+02,4.8005e+02,2.0001e+02,3.6003e+02,4.0003e+02,2.8002e+02,1.0002e+03,6.8009e+02,1.4004e+03,9.6019e+02,8.0013e+02,6.4008e+02,1.4004e+03,6.0007e+02,4.0003e+02,5.2005e+02,4.4004e+02
2021-01-06 00:30:00 UTC,3.3340e+04,2.4409e+03,6.0454e+03,5.3243e+03,1.7849e+04,1.6804e+03,3.6003e+02,2.4001e+02,3.6003e+02,2.4001e+02,2.4001e+02,2.8002e+02,5.2005e+02,2.0001e+02,8.8016e+02,6.0007e+02,7.6012e+02,3.2002e+02,6.0007e+02,7.6012e+02,1.4404e+03,6.8009e+02,4.8005e+02,6.4008e+02,3.6003e+02
2021-01-06 00:45:00 UTC,3.2164e+04,3.0814e+03,7.4482e+03,6.2056e+03,1.3629e+04,1.8005e+03,5.6006e+02,5.2005e+02,2.8002e+02,2.4001e+02,2.0001e+02,3.2002e+02,7.2010e+02,2.4001e+02,8.4014e+02,9.6018e+02,1.0802e+03,5.2005e+02,2.8002e+02,1.1203e+03,1.6806e+03,9.6018e+02,8.8016e+02,7.6012e+02,6.8009e+02
2021-01-06 01:00:00 UTC,3.4298e+04,2.7611e+03,6.3658e+03,6.8481e+03,1.6603e+04,1.7204e+03,3.6003e+02,2.8002e+02,2.4001e+02,2.4001e+02,4.8005e+02,4.8005e+02,2.8002e+02,4.0003e+02,6.8009e+02,8.4014e+02,1.0802e+03,6.0007e+02,3.6003e+02,8.4014e+02,1.0002e+03,9.6018e+02,6.0007e+02,6.0007e+02,6.0007e+02
2021-01-06 01:15:00 UTC,2.8517e+04,2.8011e+03,5.8449e+03,5.6048e+03,1.2746e+04,1.5203e+03,2.4001e+02,4.0003e+02,4.8005e+02,3.2002e+02,2.4001e+02,2.0001e+02,3.2002e+02,6.0007e+02,6.0007e+02,6.4008e+02,1.2403e+03,6.0007e+02,4.8005e+02,6.0007e+02,6.8009e+02,1.0002e+03,5.6006e+02,7.2010e+02,4.0003e+02
2021-01-06 01:30:00 UTC,2.9121e+04,2.6810e+03,4.4428e+03,6.4064e+03,1.3950e+04,1.6404e+03,3.2002e+02,3.2002e+02,2.8002e+02,5.6006e+02,3.2002e+02,2.8002e+02,3.2002e+02,2.8002e+02,5.6006e+02,5.2005e+02,6.8009e+02,4.8005e+02,4.4004e+02,6.4008e+02,6.4008e+02,4.8005e+02,7.2010e+02,7.2010e+02,4.4004e+02
2021-01-06 01:45:00 UTC,3.2624e+04,2.2807e+03,4.6030e+03,5.7256e+03,1.7974e+04,2.0406e+03,3.2002e+02,3.2002e+02,2.0001e+02,2.0001e+02,3.2002e+02,3.6003e+02,3.2002e+02,2.4001e+02,8.0013e+02,6.0007e+02,4.8005e+02,4.4004e+02,3.2002e+02,7.2010e+02,7.6012e+02,4.8005e+02,5.6006e+02,4.0003e+02,5.2005e+02
2021-01-06 02:00:00 UTC,2.6758e+04,3.2416e+03,4.8033e+03,3.7222e+03,1.3070e+04,1.9205e+03,6.0007e+02,6.8009e+02,3.2002e+02,2.4001e+02,2.0001e+02,3.2002e+02,6.4008e+02,2.4001e+02,6.8009e+02,1.0002e+03,6.0007e+02,4.4004e+02,4.0003e+02,6.8009e+02,5.6006e+02,4.4004e+02,4.0003e+02,4.0003e+02,5.6006e+02
2021-01-06 02:15:00 UTC,2.8490e+04,3.0814e+03,3.6018e+03,4.8438e+03,1.5323e+04,1.6404e+03,5.2005e+02,2.8002e+02,3.2002e+02,2.4001e+02,5.2005e+02,4.8005e+02,4.0003e+02,3.2002e+02,4.4004e+02,3.2002e+02,4.0003e+02,4.8005e+02,5.6006e+02,5.6006e+02,4.4004e+02,4.0003e+02,4.4004e+02,5.6006e+02,2.4001e+02
2021-01-06 02:30:00 UTC,2.6728e+04,2.5209e+03,3.2816e+03,4.6040e+03,1.4481e+04,1.8405e+03,2.8002e+02,3.6003e+02,4.4004e+02,2.8002e+02,2.0001e+02,2.4001e+02,2.4001e+02,4.8005e+02,5.2005e+02,4.0003e+02,2.8002e+02,3.2002e+02,3.2002e+02,6.8009e+02,4.4004e+02,3.2002e+02,6.0007e+02,4.0003e+02,3.6003e+02
2021-01-06 02:45:00 UTC,2.2669e+04,2.7611e+03,3.8421e+03,3.8823e+03,1.0543e+04,1.6404e+03,2.4001e+02,4.0003e+02,3.2002e+02,6.8009e+02,1.6001e+02,2.4001e+02,2.8002e+02,4.4004e+02,5.2005e+02,6.0007e+02,4.8005e+02,4.0003e+02,4.0003e+02,5.6006e+02,4.4004e+02,4.4004e+02,5.6006e+02,2.8002e+02,5.2005e+02
2021-01-06 03:00:00 UTC,2.1545e+04,2.2807e+03,3.8020e+03,3.5620e+03,9.8999e+03,2.0006e+03,2.4001e+02,2.8002e+02,2.0001e+02,4.4004e+02,3.2002e+02,2.8002e+02,2.8002e+02,2.4001e+02,4.8005e+02,4.8005e+02,5.2005e+02,4.8005e+02,4.0003e+02,4.8005e+02,4.0003e+02,5.6006e+02,3.6003e+02,4.0003e+02,4.0003e+02
2021-01-06 03:15:00 UTC,2.6163e+04,2.9212e+03,3.5618e+03,3.7622e+03,1.4237e+04,1.6804e+03,2.8002e+02,5.6006e+02,2.4001e+02,2.8002e+02,3.2002e+02,4.4004e+02,5.2005e+02,2.8002e+02,2.8002e+02,5.2005e+02,3.6003e+02,5.6006e+02,4.8005e+02,6.0007e+02,4.0003e+02,3.6003e+02,6.0007e+02,4.8005e+02,3.2002e+02
