# file...... Meter_645_C_Power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_C:measured_power,xfmr_meter_645_C_1:measured_power,xfmr_meter_645_C_2:measured_power,xfmr_meter_645_C_3:measured_power,xfmr_meter_645_C_4:measured_power,xfmr_meter_645_C_5:measured_power,house_meter_645_C_1:measured_power,house_meter_645_C_2:measured_power,house_meter_645_C_3:measured_power,house_meter_645_C_4:measured_power,house_meter_645_C_5:measured_power,house_meter_645_C_6:measured_power,house_meter_645_C_7:measured_power,house_meter_645_C_8:measured_power,house_meter_645_C_9:measured_power,house_meter_645_C_10:measured_power,house_meter_645_C_11:measured_power,house_meter_645_C_12:measured_power,house_meter_645_C_13:measured_power,house_meter_645_C_14:measured_power,house_meter_645_C_15:measured_power,house_meter_645_C_16:measured_power,house_meter_645_C_17:measured_power,house_meter_645_C_18:measured_power,house_meter_645_C_19:measured_power,house_meter_645_C_20:measured_power,house_meter_645_C_21:measured_power,house_meter_645_C_22:measured_power,house_meter_645_C_23:measured_power
2021-01-06 00:00:00 UTC,+64755.3+195.25j,+11141.8+24.8473j,+24527.6+113.164j,+12624.6+30.5299j,+7087.6+9.5639j,+9373.18+16.6821j,+280.016+0.00132023d,+240.012+0.0011316d,+200.008+0.000942977d,+360.027+0.00169753d,+2801.36+0.0111503d,+2481.27+0.0117094d,+2761.57+0.0130337d,+2000.82+0.00944029d,+2561.35+0.0121179d,+3602.68+0.0170519d,+3843.05+0.0181914d,+2681.48+0.0126869d,+2321.11+0.0109803d,+4203.64+0.0199012d,+2921.76+0.0138251d,+2321.11+0.0109803d,+1240.32+0.00585184d,+680.095+0.00320796d,+1880.73+0.00887565d,+3242.16+0.0153092d,+1240.32+0.00585184d,+1080.24+0.00509626d,+1920.76+0.00906472d
2021-01-06 00:15:00 UTC,+68587.8+232.085j,+10499.5+22.1171j,+27027.9+137.919j,+15802.4+49.3706j,+8049.96+12.3935j,+7207.5+9.7404j,+240.012+0.00113048d,+200.008+0.000942047d,+280.016+0.00131893d,+360.027+0.00169585d,+1920.76+0.00905325d,+2521.31+0.0118868d,+2120.92+0.00999753d,+2841.66+0.0133989d,+2401.19+0.0113548d,+4123.5+0.0195133d,+3522.56+0.0166653d,+5486.21+0.0259765d,+2681.48+0.0126818d,+3722.86+0.0176144d,+2801.62+0.0132506d,+2201+0.0104073d,+3562.61+0.0168198d,+720.107+0.0033958d,+1400.4+0.00660572d,+920.174+0.00433962d,+1000.21+0.00471721d,+1040.22+0.00490602d,+2160.96+0.0101965d
2021-01-06 00:30:00 UTC,+66923.2+203.462j,+9977.37+19.8492j,+23923.2+107.425j,+15198.1+45.1895j,+7809.31+11.6254j,+10014.7+18.8933j,+160.005+0.000752547d,+240.012+0.00112888d,+240.012+0.00112888d,+520.055+0.00244632d,+1720.58+0.00772976d,+2521.3+0.0118698d,+2441.22+0.0114924d,+2120.92+0.00998327d,+1800.67+0.00849668d,+4043.36+0.0190968d,+3442.44+0.0162546d,+3322.27+0.0156864d,+2481.27+0.0117115d,+3402.38+0.0160652d,+2921.76+0.0137931d,+2441.23+0.0115223d,+4644.43+0.0219054d,+760.119+0.00357938d,+1760.64+0.00829419d,+920.174+0.00433336d,+1000.21+0.0047104d,+960.189+0.00452188d,+2241.03+0.0105594d
2021-01-06 00:45:00 UTC,+60379+171.909j,+9295.3+17.3129j,+23600.5+104.317j,+9883.29+20.3698j,+8547.28+13.9724j,+9052.3+15.5338j,+120.003+0.000564068d,+240.012+0.00112822d,+160.005+0.000752108d,+520.055+0.00244489d,+1720.61+0.00809292d,+1880.72+0.00884662d,+1880.72+0.00884662d,+2761.56+0.0129946d,+2281.07+0.0107601d,+4083.43+0.0192763d,+3362.32+0.0158675d,+2721.52+0.0128401d,+2561.35+0.0120836d,+3162.06+0.0149212d,+2881.71+0.0135967d,+2481.27+0.0117054d,+1000.2+0.00470362d,+496.05+0.00233227d,+656.088+0.00308492d,+688.097+0.00323547d,+784.126+0.00368715d,+944.183+0.00444006d,+4588.32+0.0216091d
2021-01-06 01:00:00 UTC,+70258.7+218.576j,+9616.77+18.6971j,+23560.4+104.087j,+11342.9+25.8228j,+16405.3+53.0193j,+9332.87+16.4389j,+160.005+0.000752768d,+160.005+0.000752768d,+160.005+0.000752768d,+240.012+0.00112921d,+1720.58+0.00773202d,+2361.14+0.0111183d,+2601.39+0.0122508d,+2200.99+0.0103635d,+2441.23+0.0115256d,+4123.5+0.0194816d,+3322.27+0.015691d,+2521.31+0.0119041d,+2721.52+0.0128505d,+3041.9+0.0143652d,+3122+0.0147439d,+2201+0.0103904d,+1320.36+0.00621674d,+600.074+0.00282454d,+640.084+0.00301292d,+1160.28+0.00546266d,+960.189+0.00452026d,+1120.26+0.00527416d,+4444.06+0.0209511d
2021-01-06 01:15:00 UTC,+60297.2+172.496j,+9697.38+19.1412j,+23963.1+107.666j,+8330.14+13.0501j,+8692.38+14.7463j,+9613.76+17.484j,+200.008+0.000940909d,+160.005+0.000752709d,+160.005+0.000752709d,+240.012+0.00112912d,+1600.53+0.00753376d,+2601.39+0.0122499d,+1760.64+0.00828795d,+2961.8+0.0139491d,+2601.39+0.0122824d,+4003.3+0.0189124d,+2841.66+0.0134182d,+2561.35+0.0120932d,+2641.43+0.0124717d,+3562.61+0.0168275d,+3482.5+0.0164485d,+2201+0.0103903d,+1200.3+0.00564749d,+560.064+0.00263446d,+640.084+0.00301096d,+1080.24+0.00508237d,+1080.24+0.00508237d,+1280.34+0.00602429d,+1320.36+0.0062127d
2021-01-06 01:30:00 UTC,+62990+186.529j,+11865.4+28.3681j,+24285.3+110.425j,+10579.2+22.1634j,+7448.33+10.5096j,+8811.44+14.6232j,+240.012+0.00112777d,+240.012+0.00112777d,+120.003+0.000563844d,+360.027+0.00169178d,+2321.1+0.0109157d,+2481.26+0.0116697d,+2761.56+0.0129895d,+3322.26+0.0156304d,+2441.22+0.0115077d,+4083.43+0.0192619d,+3362.32+0.0158557d,+2281.07+0.0107521d,+2681.48+0.0126415d,+3482.49+0.0164232d,+3402.38+0.0160449d,+2481.26+0.0116967d,+1160.28+0.00545268d,+600.074+0.00281938d,+640.084+0.00300741d,+840.144+0.00394772d,+3883.09+0.0182688d,+1240.31+0.00582901d,+1120.26+0.00526453d
2021-01-06 01:45:00 UTC,+69254.7+205.713j,+9897.48+19.686j,+23037.2+99.6219j,+13196.6+34.0073j,+12064.3+28.5952j,+11058.7+23.3196j,+240.012+0.00112883d,+200.008+0.00094067d,+200.008+0.00094067d,+280.016+0.001317d,+1720.61+0.00809733d,+2521.3+0.0118694d,+2521.3+0.0118694d,+2200.99+0.0103601d,+1880.73+0.00887308d,+4003.3+0.0189037d,+3322.27+0.0156834d,+2201+0.0103854d,+2761.57+0.0130335d,+3162.06+0.0149261d,+3242.16+0.0153048d,+2401.19+0.011331d,+848.147+0.00399247d,+2000.82+0.00942289d,+3666.76+0.0172805d,+840.145+0.00395479d,+3049.91+0.0143698d,+1096.25+0.00516087d,+968.192+0.00455778d
2021-01-06 02:00:00 UTC,+70625.8+226.146j,+9857.89+19.7579j,+23157.7+100.604j,+18255.5+65.4005j,+12386.8+30.6106j,+6967.38+9.24595j,+120.003+0.000564727d,+240.012+0.00112954d,+240.012+0.00112954d,+200.008+0.000941259d,+1680.58+0.00791379d,+2281.07+0.0107441d,+1920.76+0.00904567d,+3162.05+0.014899d,+2201+0.0103923d,+3923.17+0.0185369d,+3362.33+0.0158832d,+2441.23+0.0115277d,+2881.71+0.0136102d,+3041.9+0.0143677d,+3122.01+0.0147465d,+2120.93+0.0100139d,+1000.21+0.00471596d,+4644.44+0.0219313d,+2521.31+0.0118954d,+1640.55+0.00773723d,+1160.28+0.00547106d,+5005.15+0.0236382d,+1280.34+0.00603747d
2021-01-06 02:15:00 UTC,+63030.3+186.283j,+9697.19+19.0541j,+23640.6+104.587j,+13792.3+37.5395j,+6726.81+8.58148j,+9172.97+16.0827j,+160.005+0.000751925d,+200.008+0.000939929d,+200.008+0.000939929d,+160.005+0.000751925d,+1640.55+0.00771424d,+2040.85+0.00959812d,+2601.39+0.0122371d,+2681.47+0.0126143d,+2721.52+0.0128361d,+3883.1+0.0183234d,+3242.16+0.0152949d,+2561.35+0.0120798d,+2641.43+0.0124579d,+3242.16+0.0152949d,+3162.05+0.0149165d,+2120.92+0.0100009d,+1120.26+0.00527057d,+1280.34+0.0060241d,+720.106+0.00338739d,+4684.5+0.0220719d,+1080.24+0.00508221d,+2681.47+0.0126238d,+1280.34+0.0060241d
